LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EM
1689086671.995761,212705.000,31764,4,EM,1,100,RS
1689086671.995761,212705.000,31764,4,EM,1,100,RB
1689086671.995761,212705.000,31764,4,EM,1,100,2023-07-11_16-44-31-368816.csv
1689086671.995761,212705.000,31764,4,EM,1,100,PS
1689086672.047184,212755.250,31780,4,EM,1,100,RS
1689086672.098607,212805.500,31780,4,EM,1,100,RB
1689086672.150029,212855.750,31780,4,EM,1,100,2023-07-11_16-44-31-368816.csv
1689086672.201452,212906.000,31780,4,EM,1,100,PS
1689086672.252875,212956.250,31811,4,EM,1,100,RS
1689086672.304298,213006.500,31811,4,EM,1,100,RB
1689086672.355721,213056.750,31811,4,EM,1,100,2023-07-11_16-44-31-368816.csv
1689086672.407144,213107.000,31811,4,EM,1,100,PS
1689086672.460357,213159.000,31844,4,EM,1,100,RS
1689086672.513571,213211.000,31844,4,EM,1,100,RB
1689086672.566785,213263.000,31844,4,EM,1,100,2023-07-11_16-44-31-368816.csv
1689086672.619999,213315.000,31844,4,EM,1,100,PS
1689086672.671422,213365.250,31875,4,EM,1,100,RS
1689086672.722844,213415.500,31875,4,EM,1,100,RB
1689086672.774267,213465.750,31875,4,EM,1,100,2023-07-11_16-44-31-368816.csv
1689086672.825690,213516.000,31875,4,EM,1,100,PS
1689086672.881974,213571.000,31894,4,EM,1,100,RS
1689086672.938258,213626.000,31894,4,EM,1,100,RB
1689086672.994541,213681.000,31894,4,EM,1,100,2023-07-11_16-44-31-368816.csv
1689086673.050825,213736.000,31894,4,EM,1,100,PS
1689086673.102248,213786.250,31926,4,EM,1,100,RS
1689086673.153671,213836.500,31926,4,EM,1,100,RB
1689086673.205094,213886.750,31926,4,EM,1,100,2023-07-11_16-44-31-368816.csv
1689086673.256517,213937.000,31926,4,EM,1,100,PS
1689086673.308195,213987.500,31957,4,EM,1,100,RS
1689086673.359874,214038.000,31957,4,EM,1,100,RB
1689086673.411553,214088.500,31957,4,EM,1,100,2023-07-11_16-44-31-368816.csv
1689086673.463232,214139.000,31957,4,EM,1,100,PS
1689086673.516701,214191.250,31991,4,EM,1,100,RS
1689086673.570171,214243.500,31991,4,EM,1,100,RB
1689086673.623640,214295.750,31991,4,EM,1,100,2023-07-11_16-44-31-368816.csv
1689086673.677110,214348.000,31991,4,EM,1,100,PS
