LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GY
1689086672.075581,212783.000,31775,9,GY,1,100,-1.984
1689086672.075581,212783.000,31775,9,GY,1,100,-0.793
1689086672.075581,212783.000,31775,9,GY,1,100,0.000
1689086672.075581,212783.000,31775,9,GY,1,100,0.488
1689086672.075581,212783.000,31775,9,GY,1,100,0.275
1689086672.075581,212783.000,31775,9,GY,1,100,0.244
1689086672.075581,212783.000,31775,9,GY,1,100,-0.336
1689086672.075581,212783.000,31775,9,GY,1,100,-0.824
1689086672.075581,212783.000,31775,9,GY,1,100,-1.160
1689086672.115492,212822.000,31791,3,GY,1,100,0.061
1689086672.155402,212861.000,31791,3,GY,1,100,1.160
1689086672.195312,212900.000,31791,3,GY,1,100,1.160
1689086672.234881,212938.667,31806,3,GY,1,100,1.678
1689086672.274451,212977.333,31806,3,GY,1,100,2.228
1689086672.314020,213016.000,31806,3,GY,1,100,2.197
1689086672.354953,213056.000,31822,2,GY,1,100,0.793
1689086672.395887,213096.000,31822,2,GY,1,100,0.305
1689086672.431363,213130.667,31837,3,GY,1,100,1.617
1689086672.466839,213165.333,31837,3,GY,1,100,2.319
1689086672.502314,213200.000,31837,3,GY,1,100,1.099
1689086672.542225,213239.000,31856,3,GY,1,100,0.580
1689086672.582135,213278.000,31856,3,GY,1,100,1.068
1689086672.622045,213317.000,31856,3,GY,1,100,0.793
1689086672.661956,213356.000,31870,2,GY,1,100,0.427
1689086672.701866,213395.000,31870,2,GY,1,100,0.977
1689086672.741776,213434.000,31886,3,GY,1,100,0.854
1689086672.781687,213473.000,31886,3,GY,1,100,0.854
1689086672.821597,213512.000,31886,3,GY,1,100,0.366
1689086672.861098,213550.600,31906,5,GY,1,100,1.160
1689086672.900599,213589.200,31906,5,GY,1,100,1.160
1689086672.940100,213627.800,31906,5,GY,1,100,0.275
1689086672.979601,213666.400,31906,5,GY,1,100,-0.122
1689086673.019102,213705.000,31906,5,GY,1,100,0.977
1689086673.059012,213744.000,31921,3,GY,1,100,0.946
1689086673.098922,213783.000,31921,3,GY,1,100,-0.153
1689086673.138832,213822.000,31921,3,GY,1,100,-0.580
1689086673.178743,213861.000,31937,3,GY,1,100,0.519
1689086673.218653,213900.000,31937,3,GY,1,100,1.465
1689086673.258563,213939.000,31937,3,GY,1,100,1.038
1689086673.298985,213978.500,31952,2,GY,1,100,1.190
1689086673.339407,214018.000,31952,2,GY,1,100,0.305
1689086673.380000,214057.667,31968,3,GY,1,100,-0.183
1689086673.420592,214097.333,31968,3,GY,1,100,0.397
1689086673.461185,214137.000,31968,3,GY,1,100,0.275
1689086673.501607,214176.500,31984,2,GY,1,100,1.465
1689086673.542029,214216.000,31984,2,GY,1,100,1.648
1689086673.581939,214255.000,32001,3,GY,1,100,0.305
1689086673.621849,214294.000,32001,3,GY,1,100,0.641
1689086673.661760,214333.000,32001,3,GY,1,100,0.366
1689086673.700988,214371.333,32016,3,GY,1,100,0.214
1689086673.740216,214409.667,32016,3,GY,1,100,1.770
1689086673.779444,214448.000,32016,3,GY,1,100,1.373
1689086673.819354,214487.000,32033,2,GY,1,100,-0.336
1689086673.859264,214526.000,32033,2,GY,1,100,-1.038
1689086673.899516,214565.333,32048,3,GY,1,100,1.373
1689086673.939767,214604.667,32048,3,GY,1,100,1.495
1689086673.980019,214644.000,32048,3,GY,1,100,0.610
1689086674.020952,214684.000,32066,2,GY,1,100,1.282
1689086674.061886,214724.000,32066,2,GY,1,100,0.153
1689086674.101796,214763.000,32080,3,GY,1,100,-1.373
1689086674.141706,214802.000,32080,3,GY,1,100,-0.946
1689086674.181617,214841.000,32080,3,GY,1,100,-1.038
1689086674.221527,214880.000,32097,2,GY,1,100,-0.488
1689086674.261437,214919.000,32097,2,GY,1,100,-0.366
1689086674.296231,214953.000,32112,3,GY,1,100,-0.305
1689086674.331024,214987.000,32112,3,GY,1,100,0.488
1689086674.365818,215021.000,32112,3,GY,1,100,0.397
1689086674.406752,215061.000,32128,3,GY,1,100,-0.427
1689086674.447685,215101.000,32128,3,GY,1,100,0.549
1689086674.488619,215141.000,32128,3,GY,1,100,0.397
1689086674.528529,215180.000,32143,3,GY,1,100,-0.427
1689086674.568439,215219.000,32143,3,GY,1,100,0.488
1689086674.608350,215258.000,32143,3,GY,1,100,0.366
1689086674.648260,215297.000,32161,2,GY,1,100,0.519
1689086674.688170,215336.000,32161,2,GY,1,100,0.977
1689086674.728081,215375.000,32176,3,GY,1,100,2.228
1689086674.767991,215414.000,32176,3,GY,1,100,2.106
1689086674.807901,215453.000,32176,3,GY,1,100,0.519
1689086674.847811,215492.000,32193,2,GY,1,100,0.000
1689086674.887722,215531.000,32193,2,GY,1,100,0.122
1689086674.927632,215570.000,32208,3,GY,1,100,0.732
1689086674.967542,215609.000,32208,3,GY,1,100,0.793
1689086675.007453,215648.000,32208,3,GY,1,100,0.793
1689086675.047022,215686.667,32223,3,GY,1,100,0.427
1689086675.086591,215725.333,32223,3,GY,1,100,0.061
1689086675.126160,215764.000,32223,3,GY,1,100,0.977
1689086675.166070,215803.000,32239,2,GY,1,100,1.526
1689086675.205981,215842.000,32239,2,GY,1,100,1.709
1689086675.245891,215881.000,32255,3,GY,1,100,0.671
1689086675.285801,215920.000,32255,3,GY,1,100,-0.824
1689086675.325712,215959.000,32255,3,GY,1,100,0.427
1689086675.365622,215998.000,32272,2,GY,1,100,2.289
1689086675.405532,216037.000,32272,2,GY,1,100,1.587
1689086675.445443,216076.000,32287,3,GY,1,100,0.610
1689086675.485353,216115.000,32287,3,GY,1,100,1.038
1689086675.525263,216154.000,32287,3,GY,1,100,1.740
1689086675.565173,216193.000,32305,2,GY,1,100,0.946
1689086675.605084,216232.000,32305,2,GY,1,100,2.747
1689086675.644994,216271.000,32321,3,GY,1,100,1.587
1689086675.684904,216310.000,32321,3,GY,1,100,0.946
1689086675.724815,216349.000,32321,3,GY,1,100,0.702
1689086675.764043,216387.333,32336,3,GY,1,100,-0.488
1689086675.803271,216425.667,32336,3,GY,1,100,1.068
1689086675.842499,216464.000,32336,3,GY,1,100,-0.275
1689086675.882409,216503.000,32353,2,GY,1,100,0.244
1689086675.922319,216542.000,32353,2,GY,1,100,1.404
1689086675.961889,216580.667,32367,3,GY,1,100,1.740
1689086676.001458,216619.333,32367,3,GY,1,100,0.305
1689086676.041027,216658.000,32367,3,GY,1,100,-2.075
1689086676.076503,216692.667,32383,3,GY,1,100,0.122
1689086676.111979,216727.333,32383,3,GY,1,100,2.228
1689086676.147455,216762.000,32383,3,GY,1,100,2.533
1689086676.187365,216801.000,32401,2,GY,1,100,0.824
1689086676.227275,216840.000,32401,2,GY,1,100,0.763
1689086676.267185,216879.000,32417,3,GY,1,100,2.258
1689086676.307096,216918.000,32417,3,GY,1,100,2.411
1689086676.347006,216957.000,32417,3,GY,1,100,3.357
1689086676.386916,216996.000,32431,3,GY,1,100,1.831
1689086676.426826,217035.000,32431,3,GY,1,100,-0.641
1689086676.466737,217074.000,32431,3,GY,1,100,0.916
1689086676.506647,217113.000,32450,2,GY,1,100,0.580
1689086676.546557,217152.000,32450,2,GY,1,100,-4.822
1689086676.586468,217191.000,32467,3,GY,1,100,-6.378
1689086676.626378,217230.000,32467,3,GY,1,100,-0.488
1689086676.666288,217269.000,32467,3,GY,1,100,6.927
1689086676.707222,217309.000,32483,2,GY,1,100,9.491
1689086676.748155,217349.000,32483,2,GY,1,100,1.160
1689086676.788407,217388.333,32499,3,GY,1,100,-4.547
1689086676.828658,217427.667,32499,3,GY,1,100,-3.540
1689086676.868910,217467.000,32499,3,GY,1,100,-1.831
1689086676.908820,217506.000,32514,2,GY,1,100,-2.563
1689086676.948730,217545.000,32514,2,GY,1,100,-0.763
1689086676.988641,217584.000,32529,3,GY,1,100,3.845
1689086677.028551,217623.000,32529,3,GY,1,100,4.700
1689086677.068461,217662.000,32529,3,GY,1,100,-4.150
1689086677.108371,217701.000,32545,3,GY,1,100,-1.587
1689086677.148282,217740.000,32545,3,GY,1,100,4.852
1689086677.188192,217779.000,32545,3,GY,1,100,-5.676
1689086677.227079,217817.000,32563,2,GY,1,100,-13.580
1689086677.265966,217855.000,32563,2,GY,1,100,-6.348
1689086677.306900,217895.000,32578,3,GY,1,100,3.235
1689086677.347833,217935.000,32578,3,GY,1,100,4.608
1689086677.388767,217975.000,32578,3,GY,1,100,0.122
1689086677.427654,218013.000,32593,2,GY,1,100,4.486
1689086677.466541,218051.000,32593,2,GY,1,100,10.834
1689086677.506451,218090.000,32610,3,GY,1,100,6.989
1689086677.546361,218129.000,32610,3,GY,1,100,-0.885
1689086677.586272,218168.000,32610,3,GY,1,100,-2.319
1689086677.626182,218207.000,32627,3,GY,1,100,1.373
1689086677.666092,218246.000,32627,3,GY,1,100,5.249
1689086677.706002,218285.000,32627,3,GY,1,100,6.470
1689086677.745913,218324.000,32643,2,GY,1,100,4.181
1689086677.785823,218363.000,32643,2,GY,1,100,1.434
1689086677.825733,218402.000,32658,3,GY,1,100,1.343
1689086677.865644,218441.000,32658,3,GY,1,100,1.678
1689086677.905554,218480.000,32658,3,GY,1,100,0.549
1689086677.940689,218514.333,32674,3,GY,1,100,0.336
1689086677.975823,218548.667,32674,3,GY,1,100,2.808
1689086678.010958,218583.000,32674,3,GY,1,100,4.028
1689086678.050357,218621.500,32689,2,GY,1,100,3.906
1689086678.089755,218660.000,32689,2,GY,1,100,5.096
1689086678.129836,218699.167,32711,6,GY,1,100,5.219
1689086678.169917,218738.333,32711,6,GY,1,100,6.348
1689086678.209998,218777.500,32711,6,GY,1,100,9.247
1689086678.250079,218816.667,32711,6,GY,1,100,10.529
1689086678.290159,218855.833,32711,6,GY,1,100,9.491
1689086678.330240,218895.000,32711,6,GY,1,100,0.824
1689086678.370833,218934.667,32726,3,GY,1,100,-6.470
1689086678.411425,218974.333,32726,3,GY,1,100,-1.007
1689086678.452018,219014.000,32726,3,GY,1,100,6.073
1689086678.492269,219053.333,32742,3,GY,1,100,5.646
1689086678.532521,219092.667,32742,3,GY,1,100,1.801
1689086678.572772,219132.000,32742,3,GY,1,100,2.258
1689086678.612682,219171.000,32759,2,GY,1,100,5.005
1689086678.652593,219210.000,32759,2,GY,1,100,6.561
1689086678.691821,219248.333,32775,3,GY,1,100,4.364
1689086678.731049,219286.667,32775,3,GY,1,100,0.916
1689086678.770277,219325.000,32775,3,GY,1,100,0.183
1689086678.809846,219363.667,32791,3,GY,1,100,1.556
