LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SA
1689086675.417812,216049,32437,1,SA,1,100,0.052050
1689086676.882213,217480,32551,1,SA,1,100,0.021039
1689086683.073425,223530,33647,1,SA,1,100,0.192741
1689086690.058749,230356,34660,1,SA,1,100,0.260169
1689086691.459703,231725,34726,1,SA,1,100,0.039079
1689086695.319745,235497,35392,1,SA,1,100,0.195941
1689086707.690912,247586,37314,1,SA,1,100,0.217361
1689086710.086552,249927,37547,1,SA,1,100,0.034029
1689086728.648931,268066,40402,1,SA,1,100,0.167322
1689086734.970108,274243,41382,1,SA,1,100,0.174698
1689086748.155854,287128,43349,1,SA,1,100,0.096634
1689086750.947528,289856,43751,1,SA,1,100,0.087537
1689086759.995907,298698,45124,1,SA,1,100,0.172303
1689086766.051015,304615,46023,1,SA,1,100,0.053851
1689086767.780461,306305,46379,1,SA,1,100,0.356694
1689086774.963290,313324,47464,1,SA,1,100,0.305694
1689086788.333237,326389,49435,1,SA,1,100,0.136040
1689086789.197960,327234,49485,1,SA,1,100,0.014284
1689086802.317190,340054,51620,1,SA,1,100,0.574527
1689086820.475349,357798,54338,1,SA,1,100,0.606299
1689086824.608623,361837,54871,1,SA,1,100,0.189255
1689086825.406828,362617,54952,1,SA,1,100,0.022177
1689086831.261361,368338,55966,1,SA,1,100,0.708054
1689086843.842313,380632,57940,1,SA,1,100,1.808079
1689086858.425943,394883,60111,1,SA,1,100,0.996229
1689086888.514210,424285,64601,1,SA,1,100,0.021537
1689086895.038007,430660,204,1,SA,1,100,1.964661
1689086903.356745,438789,1394,1,SA,1,100,0.387905
1689086905.549764,440932,1747,1,SA,1,100,0.727612
1689086915.134374,450298,3180,1,SA,1,100,1.054410
1689086934.503145,469225,6281,1,SA,1,100,3.055100
1689086951.474230,485809,8778,1,SA,1,100,1.502095
1689086965.584053,499597,10867,1,SA,1,100,0.066423
1689086970.840954,504734,11780,1,SA,1,100,2.096642
1689086979.162762,512866,13011,1,SA,1,100,0.791537
1689087001.865578,535051,16580,1,SA,1,100,5.560224
1689087002.998416,536158,16631,1,SA,1,100,0.972748
1689087003.263461,536417,16780,1,SA,1,100,9.357069
1689087004.328759,537458,17067,1,SA,1,100,969.132019
