LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,B%
1699365016.100096,50205.000,5633,1,B%,1,100,100
1699365017.093705,51176.000,5774,1,B%,1,100,100
1699365018.091407,52151.000,5939,1,B%,1,100,100
1699365019.090132,53127.000,6101,1,B%,1,100,100
1699365020.092951,54107.000,6253,1,B%,1,100,100
1699365021.087583,55079.000,6386,1,B%,1,100,100
1699365022.088355,56057.000,6547,1,B%,1,100,100
1699365023.086057,57032.000,6666,1,B%,1,100,100
1699365024.083759,58007.000,6815,1,B%,1,100,100
1699365025.086577,58987.000,6964,1,B%,1,100,100
1699365026.085303,59963.000,7127,1,B%,1,100,100
1699365027.084028,60939.000,7288,1,B%,1,100,100
1699365028.078660,61911.000,7435,1,B%,1,100,100
1699365029.075339,62885.000,7598,1,B%,1,100,100
1699365030.076111,63863.000,7744,1,B%,1,100,100
1699365031.073813,64838.000,7914,1,B%,1,100,100
1699365032.068445,65810.000,8065,1,B%,1,100,100
1699365033.063077,66782.000,8226,1,B%,1,100,100
1699365034.060779,67757.000,8369,1,B%,1,100,100
1699365035.061551,68735.000,8532,1,B%,1,100,100
1699365036.061299,69712.000,8703,1,B%,1,100,100
1699365037.059001,70687.000,8847,1,B%,1,100,100
1699365038.056703,71662.000,9012,1,B%,1,100,100
1699365039.058498,72641.000,9176,1,B%,1,100,100
1699365040.055177,73615.000,9319,1,B%,1,100,100
1699365041.053902,74591.000,9468,1,B%,1,100,100
1699365042.051605,75566.000,9614,1,B%,1,100,100
1699365043.050330,76542.000,9778,1,B%,1,100,100
1699365044.052125,77521.000,9938,1,B%,1,100,100
1699365045.045734,78492.000,10085,1,B%,1,100,100
1699365046.043436,79467.000,10237,1,B%,1,100,100
1699365047.042161,80443.000,10399,1,B%,1,100,100
1699365048.035770,81414.000,10545,1,B%,1,100,100
1699365049.036542,82392.000,10712,1,B%,1,100,100
1699365050.034244,83367.000,10872,1,B%,1,100,100
1699365051.032969,84343.000,11017,1,B%,1,100,100
1699365052.031694,85319.000,11169,1,B%,1,100,100
1699365053.024280,86289.000,11328,1,B%,1,100,100
1699365054.026075,87268.000,11469,1,B%,1,100,100
1699365055.025823,88245.000,11630,1,B%,1,100,100
1699365056.024549,89221.000,11774,1,B%,1,100,100
1699365057.021227,90195.000,11927,1,B%,1,100,100
1699365058.018929,91170.000,12091,1,B%,1,100,100
1699365059.017655,92146.000,12236,1,B%,1,100,100
1699365060.012287,93118.000,12395,1,B%,1,100,98
1699365061.012035,94095.000,12557,1,B%,1,100,99
1699365062.011784,95072.000,12688,1,B%,1,100,99
1699365063.011533,96049.000,12847,1,B%,1,100,99
1699365064.010258,97025.000,13009,1,B%,1,100,99
1699365065.008983,98001.000,13155,1,B%,1,100,100
1699365066.008732,98978.000,13316,1,B%,1,100,99
1699365067.005410,99952.000,13462,1,B%,1,100,99
1699365068.006182,100930.000,13623,1,B%,1,100,98
