LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EA
1699365015.403240,49524.000,5508,2,EA,1,100,0.070630
1699365015.403240,49524.000,5508,2,EA,1,100,0.070882
1699365015.469754,49589.000,5524,2,EA,1,100,0.070883
1699365015.536267,49654.000,5524,2,EA,1,100,0.070903
1699365015.601757,49718.000,5539,1,EA,1,100,0.070958
1699365015.668782,49783.500,5555,2,EA,1,100,0.071028
1699365015.735807,49849.000,5555,2,EA,1,100,0.071069
1699365015.801297,49913.000,5571,1,EA,1,100,0.071116
1699365015.867811,49978.000,5588,2,EA,1,100,0.071178
1699365015.934325,50043.000,5588,2,EA,1,100,0.071204
1699365016.000326,50107.500,5603,2,EA,1,100,0.071220
1699365016.066328,50172.000,5603,2,EA,1,100,0.071284
1699365016.132842,50237.000,5620,1,EA,1,100,0.071356
1699365016.199355,50302.000,5637,2,EA,1,100,0.071416
1699365016.265868,50367.000,5637,2,EA,1,100,0.071504
1699365016.332382,50432.000,5653,1,EA,1,100,0.071590
1699365016.398384,50496.500,5668,2,EA,1,100,0.071687
1699365016.464386,50561.000,5668,2,EA,1,100,0.071761
1699365016.530899,50626.000,5684,1,EA,1,100,0.071847
1699365016.595878,50689.500,5699,2,EA,1,100,0.071949
1699365016.660856,50753.000,5699,2,EA,1,100,0.072002
1699365016.727370,50818.000,5715,1,EA,1,100,0.072046
1699365016.792860,50882.000,5731,2,EA,1,100,0.072121
1699365016.858350,50946.000,5731,2,EA,1,100,0.072191
1699365016.926398,51012.500,5746,2,EA,1,100,0.072243
1699365016.994447,51079.000,5746,2,EA,1,100,0.072307
1699365017.060960,51144.000,5761,1,EA,1,100,0.072377
1699365017.127474,51209.000,5780,2,EA,1,100,0.072464
1699365017.193987,51274.000,5780,2,EA,1,100,0.072522
1699365017.259477,51338.000,5797,1,EA,1,100,0.072578
1699365017.326502,51403.500,5812,2,EA,1,100,0.072630
1699365017.393528,51469.000,5812,2,EA,1,100,0.072669
1699365017.457994,51532.000,5828,1,EA,1,100,0.072727
1699365017.525531,51598.000,5844,2,EA,1,100,0.072772
1699365017.593068,51664.000,5844,2,EA,1,100,0.072840
1699365017.660605,51730.000,5859,1,EA,1,100,0.072916
1699365017.727118,51795.000,5878,2,EA,1,100,0.072961
