LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AK
1700035294.448809,35489.000,3364,2,AK,1,100,2546
1700035294.448809,35489.000,3364,2,AK,1,100,RD
1700035294.454952,35495.000,3366,2,AK,1,100,2546
1700035294.461094,35501.000,3366,2,AK,1,100,RD
1700035297.088950,38068.000,4189,2,AK,1,100,3367
1700035299.716807,40635.000,4189,2,AK,1,100,RD
1700035299.726020,40644.000,4191,2,AK,1,100,3367
1700035299.735234,40653.000,4191,2,AK,1,100,RD
1700035302.351317,43208.500,5018,2,AK,1,100,4192
1700035304.967401,45764.000,5018,2,AK,1,100,RD
1700035304.973032,45769.500,5020,2,AK,1,100,4192
1700035304.978662,45775.000,5020,2,AK,1,100,RD
1700035304.994018,45790.000,5023,2,AK,1,100,5021
1700035305.009373,45805.000,5023,2,AK,1,100,RD
1700035307.600376,48336.000,5833,2,AK,1,100,5021
1700035310.191379,50867.000,5833,2,AK,1,100,RD
1700035312.809511,53424.500,6644,2,AK,1,100,5834
1700035315.427642,55982.000,6644,2,AK,1,100,RD
1700035315.433784,55988.000,6646,2,AK,1,100,5834
1700035315.439926,55994.000,6646,2,AK,1,100,RD
1700035318.048844,58542.500,7446,2,AK,1,100,6647
1700035320.657762,61091.000,7446,2,AK,1,100,RD
1700035320.666464,61099.500,7448,2,AK,1,100,6647
1700035320.675165,61108.000,7448,2,AK,1,100,RD
1700035323.296368,63668.500,8264,2,AK,1,100,7449
1700035325.917570,66229.000,8264,2,AK,1,100,RD
1700035325.923712,66235.000,8266,2,AK,1,100,7449
1700035325.929855,66241.000,8266,2,AK,1,100,RD
1700035328.548498,68799.000,9086,2,AK,1,100,8267
1700035331.167141,71357.000,9086,2,AK,1,100,RD
1700035333.791926,73921.000,9907,2,AK,1,100,9087
1700035336.416712,76485.000,9907,2,AK,1,100,RD
1700035336.422854,76491.000,9909,2,AK,1,100,9087
1700035336.428996,76497.000,9909,2,AK,1,100,RD
1700035339.048663,79056.000,10729,2,AK,1,100,9910
1700035341.668330,81615.000,10729,2,AK,1,100,RD
1700035341.673960,81620.500,10731,2,AK,1,100,9910
1700035341.679591,81626.000,10731,2,AK,1,100,RD
1700035344.298746,84184.500,11550,2,AK,1,100,10732
1700035346.917901,86743.000,11550,2,AK,1,100,RD
1700035349.537056,89301.500,12370,2,AK,1,100,11551
1700035352.156211,91860.000,12370,2,AK,1,100,RD
1700035354.778949,94422.000,13177,2,AK,1,100,12371
1700035357.401687,96984.000,13177,2,AK,1,100,RD
1700035357.407829,96990.000,13179,2,AK,1,100,12371
1700035357.413971,96996.000,13179,2,AK,1,100,RD
1700035367.914136,107253.000,16415,2,AK,1,100,15597
1700035378.414302,117510.000,16415,2,AK,1,100,RD
1700035378.420444,117516.000,16417,2,AK,1,100,15597
1700035378.426586,117522.000,16417,2,AK,1,100,RD
1700035383.615246,122590.500,18049,2,AK,1,100,16413
1700035388.803906,127659.000,18049,2,AK,1,100,RD
1700035388.809537,127664.500,18051,2,AK,1,100,16413
1700035388.815167,127670.000,18051,2,AK,1,100,RD
1700035391.420502,130215.000,18862,2,AK,1,100,17233
1700035394.025837,132760.000,18862,2,AK,1,100,RD
1700035396.650111,135323.500,19685,2,AK,1,100,18863
1700035399.274384,137887.000,19685,2,AK,1,100,RD
1700035399.280526,137893.000,19687,2,AK,1,100,18863
1700035399.286669,137899.000,19687,2,AK,1,100,RD
1700035401.904288,140456.000,20515,2,AK,1,100,19688
1700035404.521908,143013.000,20515,2,AK,1,100,RD
1700035407.139527,145570.000,21340,2,AK,1,100,20516
