LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EL
1700035289.253495,30414.000,2551,2,EL,1,100,12964.599609
1700035289.253495,30414.000,2551,2,EL,1,100,12940.000000
1700035289.319012,30478.000,2568,2,EL,1,100,12934.799805
1700035289.384530,30542.000,2568,2,EL,1,100,12909.799805
1700035289.451071,30607.000,2585,2,EL,1,100,12919.400391
1700035289.517612,30672.000,2585,2,EL,1,100,12906.000000
1700035289.584152,30737.000,2601,1,EL,1,100,12895.000000
1700035289.652741,30804.000,2618,2,EL,1,100,12887.400391
1700035289.721329,30871.000,2618,2,EL,1,100,12881.400391
1700035289.787870,30936.000,2636,1,EL,1,100,12871.200195
1700035289.854411,31001.000,2651,2,EL,1,100,12873.000000
1700035289.920952,31066.000,2651,2,EL,1,100,12859.400391
1700035289.987493,31131.000,2667,1,EL,1,100,12849.200195
1700035290.054034,31196.000,2682,2,EL,1,100,12847.400391
1700035290.120575,31261.000,2682,2,EL,1,100,12842.799805
1700035290.185069,31324.000,2698,1,EL,1,100,12826.400391
1700035290.253145,31390.500,2715,2,EL,1,100,12819.599609
1700035290.321222,31457.000,2715,2,EL,1,100,12814.400391
1700035290.387763,31522.000,2732,2,EL,1,100,12810.000000
1700035290.454304,31587.000,2732,2,EL,1,100,12801.400391
1700035290.520845,31652.000,2747,1,EL,1,100,12800.200195
1700035290.586874,31716.500,2762,2,EL,1,100,12792.799805
1700035290.652903,31781.000,2762,2,EL,1,100,12788.400391
1700035290.720468,31847.000,2778,1,EL,1,100,12782.000000
1700035290.785985,31911.000,2796,2,EL,1,100,12785.400391
1700035290.851502,31975.000,2796,2,EL,1,100,12771.400391
1700035290.920090,32042.000,2811,1,EL,1,100,12767.400391
1700035290.987143,32107.500,2827,2,EL,1,100,12764.200195
1700035291.054196,32173.000,2827,2,EL,1,100,12764.400391
1700035291.120737,32238.000,2844,1,EL,1,100,12750.799805
1700035291.186766,32302.500,2860,2,EL,1,100,12744.000000
1700035291.252795,32367.000,2860,2,EL,1,100,12735.000000
1700035291.321384,32434.000,2877,1,EL,1,100,12733.799805
1700035291.388948,32500.000,2894,2,EL,1,100,12728.000000
1700035291.456513,32566.000,2894,2,EL,1,100,12720.799805
1700035291.523054,32631.000,2908,2,EL,1,100,12706.599609
1700035291.589595,32696.000,2908,2,EL,1,100,12697.799805
1700035291.655112,32760.000,2924,1,EL,1,100,12691.599609
1700035291.721653,32825.000,2944,2,EL,1,100,12683.400391
1700035291.788194,32890.000,2944,2,EL,1,100,12680.799805
1700035291.853711,32954.000,2960,1,EL,1,100,12673.400391
1700035291.922300,33021.000,2974,2,EL,1,100,12671.799805
1700035291.990888,33088.000,2974,2,EL,1,100,12671.000000
1700035292.057429,33153.000,2993,1,EL,1,100,12662.799805
1700035292.123970,33218.000,3008,2,EL,1,100,12657.599609
1700035292.190511,33283.000,3008,2,EL,1,100,12652.599609
1700035292.256028,33347.000,3024,1,EL,1,100,12650.599609
1700035292.322057,33411.500,3040,2,EL,1,100,12645.400391
1700035292.388087,33476.000,3040,2,EL,1,100,12635.400391
