LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,HR
1700035291.147353,32264,2839,1,HR,1,100,35
1700035292.084046,33179,2987,1,HR,1,100,38
1700035293.016643,34090,3133,1,HR,1,100,41
1700035294.088464,35137,3314,1,HR,1,100,43
1700035295.873810,36881,3583,1,HR,1,100,42
1700035296.785933,37772,3734,1,HR,1,100,45
1700035298.482216,39429,3995,1,HR,1,100,44
1700035300.347410,41251,4279,1,HR,1,100,42
1700035302.634372,43485,4640,1,HR,1,100,41
1700035303.684696,44511,4822,1,HR,1,100,43
1700035304.486259,45294,4935,1,HR,1,100,46
1700035306.222466,46990,5218,1,HR,1,100,45
1700035309.077586,49779,5674,1,HR,1,100,42
1700035310.572198,51239,5885,1,HR,1,100,42
1700035311.812932,52451,6081,1,HR,1,100,43
1700035312.741434,53358,6224,1,HR,1,100,45
1700035313.871607,54462,6402,1,HR,1,100,46
1700035315.602696,56153,6665,1,HR,1,100,45
1700035318.070854,58564,7056,1,HR,1,100,43
1700035319.645316,60102,7300,1,HR,1,100,42
1700035320.638312,61072,7452,1,HR,1,100,44
1700035323.841492,64201,7941,1,HR,1,100,41
1700035325.967732,66278,8270,1,HR,1,100,40
1700035326.983249,67270,8436,1,HR,1,100,42
1700035327.897420,68163,8571,1,HR,1,100,45
1700035329.393056,69624,8811,1,HR,1,100,44
1700035329.930503,70149,8893,1,HR,1,100,53
1700035330.846720,71044,9039,1,HR,1,100,54
1700035332.950439,73099,9365,1,HR,1,100,51
1700035333.551355,73686,9464,1,HR,1,100,57
1700035334.564825,74676,9615,1,HR,1,100,57
1700035335.735946,75820,9811,1,HR,1,100,57
1700035336.653188,76716,9947,1,HR,1,100,58
1700035337.546885,77589,10079,1,HR,1,100,59
1700035338.519406,78539,10240,1,HR,1,100,59
1700035339.396724,79396,10372,1,HR,1,100,60
1700035340.408146,80384,10533,1,HR,1,100,60
1700035341.328459,81283,10680,1,HR,1,100,61
1700035342.219085,82153,10817,1,HR,1,100,62
1700035343.191606,83103,10964,1,HR,1,100,62
1700035343.951197,83845,11079,1,HR,1,100,64
1700035344.921672,84793,11240,1,HR,1,100,64
1700035345.804107,85655,11372,1,HR,1,100,64
1700035346.732610,86562,11519,1,HR,1,100,64
1700035347.622211,87431,11652,1,HR,1,100,65
1700035348.664345,88449,11814,1,HR,1,100,64
1700035349.555994,89320,11960,1,HR,1,100,64
1700035350.486544,90229,12109,1,HR,1,100,65
1700035351.363861,91086,12239,1,HR,1,100,65
1700035352.372213,92071,12408,1,HR,1,100,64
1700035353.225985,92905,12538,1,HR,1,100,65
1700035354.098183,93757,12671,1,HR,1,100,66
1700035354.952979,94592,12799,1,HR,1,100,66
1700035355.913216,95530,12949,1,HR,1,100,66
