LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,RD
1700035289.202310,30364.000,2546,2,RD,1,100,TL
1700035289.202310,30364.000,2546,2,RD,1,100,TU
1700035291.831702,32932.500,3367,2,RD,1,100,TL
1700035294.461094,35501.000,3367,2,RD,1,100,TU
1700035297.098164,38077.000,4192,2,RD,1,100,TL
1700035299.735234,40653.000,4192,2,RD,1,100,TU
1700035302.357460,43214.500,5021,2,RD,1,100,TL
1700035304.979686,45776.000,5021,2,RD,1,100,TU
1700035307.585533,48321.500,5834,2,RD,1,100,TL
1700035310.191379,50867.000,5834,2,RD,1,100,TU
1700035312.815653,53430.500,6647,2,RD,1,100,TL
1700035315.439926,55994.000,6647,2,RD,1,100,TU
1700035318.058058,58551.500,7449,2,RD,1,100,TL
1700035320.676189,61109.000,7449,2,RD,1,100,TU
1700035323.303022,63675.000,8267,2,RD,1,100,TL
1700035325.929855,66241.000,8267,2,RD,1,100,TU
1700035328.549010,68799.500,9087,2,RD,1,100,TL
1700035331.168165,71358.000,9087,2,RD,1,100,TU
1700035333.798580,73927.500,9910,2,RD,1,100,TL
1700035336.428996,76497.000,9910,2,RD,1,100,TU
1700035339.054805,79062.000,10732,2,RD,1,100,TL
1700035341.680614,81627.000,10732,2,RD,1,100,TU
1700035344.299258,84185.000,11551,2,RD,1,100,TL
1700035346.917901,86743.000,11551,2,RD,1,100,TU
1700035349.537568,89302.000,12371,2,RD,1,100,TL
1700035352.157234,91861.000,12371,2,RD,1,100,TU
1700035354.785603,94428.500,13180,2,RD,1,100,TL
1700035357.413971,96996.000,13180,2,RD,1,100,TU
1700035360.013164,99535.000,13986,2,RD,1,100,TL
1700035362.612356,102074.000,13986,2,RD,1,100,TU
1700035365.241237,104642.000,14808,2,RD,1,100,TL
1700035367.870117,107210.000,14808,2,RD,1,100,TU
1700035370.484154,109763.500,15597,2,RD,1,100,TL
1700035373.098190,112317.000,15597,2,RD,1,100,TU
1700035375.712738,114871.000,16413,2,RD,1,100,TL
1700035378.327286,117425.000,16413,2,RD,1,100,TU
1700035380.941835,119979.000,17233,2,RD,1,100,TL
1700035383.556383,122533.000,17233,2,RD,1,100,TU
1700035386.185775,125101.500,18052,2,RD,1,100,TL
1700035388.815167,127670.000,18052,2,RD,1,100,TU
1700035391.420502,130215.000,18863,2,RD,1,100,TL
1700035394.025837,132760.000,18863,2,RD,1,100,TU
1700035396.656253,135329.500,19688,2,RD,1,100,TL
1700035399.286669,137899.000,19688,2,RD,1,100,TU
1700035401.904800,140456.500,20516,2,RD,1,100,TL
1700035404.522931,143014.000,20516,2,RD,1,100,TU
1700035407.140551,145571.000,21341,2,RD,1,100,TL
1700035409.758170,148128.000,21341,2,RD,1,100,TU
1700035412.381932,150691.000,22168,2,RD,1,100,TL
1700035415.005694,153254.000,22168,2,RD,1,100,TU
1700035417.627920,155815.500,22993,2,RD,1,100,TL
1700035420.250146,158377.000,22993,2,RD,1,100,TU
1700035422.868277,160934.500,23819,2,RD,1,100,TL
1700035425.486408,163492.000,23819,2,RD,1,100,TU
1700035428.109146,166054.000,24630,2,RD,1,100,TL
1700035430.731884,168616.000,24630,2,RD,1,100,TU
1700035433.357693,171181.000,25455,2,RD,1,100,TL
1700035435.983503,173746.000,25455,2,RD,1,100,TU
1700035438.596515,176298.500,26266,2,RD,1,100,TL
1700035441.209528,178851.000,26266,2,RD,1,100,TU
1700035443.834313,181415.000,27087,2,RD,1,100,TL
1700035446.459099,183979.000,27087,2,RD,1,100,TU
1700035449.080301,186539.500,27912,2,RD,1,100,TL
1700035451.701504,189100.000,27912,2,RD,1,100,TU
1700035454.327825,191665.500,28737,2,RD,1,100,TL
1700035456.954145,194231.000,28737,2,RD,1,100,TU
1700035459.568182,196784.500,29542,2,RD,1,100,TL
1700035462.182219,199338.000,29542,2,RD,1,100,TU
1700035464.802397,201897.500,30346,2,RD,1,100,TL
1700035467.422576,204457.000,30346,2,RD,1,100,TU
1700035470.038148,207012.000,31145,2,RD,1,100,TL
1700035472.653720,209567.000,31145,2,RD,1,100,TU
1700035475.293861,212146.000,31972,2,RD,1,100,TL
1700035477.934002,214725.000,31972,2,RD,1,100,TU
1700035480.532683,217263.500,32746,2,RD,1,100,TL
1700035483.131364,219802.000,32746,2,RD,1,100,TU
1700035485.763827,222373.500,33568,2,RD,1,100,TL
1700035488.396290,224945.000,33568,2,RD,1,100,TU
1700035491.010838,227499.000,34393,2,RD,1,100,TL
1700035493.625387,230053.000,34393,2,RD,1,100,TU
1700035496.240959,232608.000,35212,2,RD,1,100,TL
1700035498.856531,235163.000,35212,2,RD,1,100,TU
1700035501.485923,237731.500,36020,2,RD,1,100,TL
1700035504.115315,240300.000,36020,2,RD,1,100,TU
1700035506.740100,242864.000,36829,2,RD,1,100,TL
1700035509.364886,245428.000,36829,2,RD,1,100,TU
1700035511.977898,247980.500,37632,2,RD,1,100,TL
1700035514.590911,250533.000,37632,2,RD,1,100,TU
1700035517.220303,253101.500,38435,2,RD,1,100,TL
1700035519.849695,255670.000,38435,2,RD,1,100,TU
1700035522.469874,258229.500,39254,2,RD,1,100,TL
