LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SR
1700121927.022191,114665,13618,1,SR,1,100,0.666667
1700121928.658357,116263,13682,1,SR,1,100,0.066667
1700121928.861085,116461,13731,1,SR,1,100,0.133333
1700121929.391457,116979,13813,1,SR,1,100,0.133333
1700121929.657667,117239,13849,1,SR,1,100,0.200000
1700121930.590424,118150,14045,1,SR,1,100,0.600000
1700121931.323525,118866,14095,1,SR,1,100,0.133333
1700121931.857992,119388,14242,1,SR,1,100,0.600000
1700121933.123511,120624,14385,1,SR,1,100,0.266667
1700121933.524873,121016,14451,1,SR,1,100,0.266667
1700121934.058317,121537,14532,1,SR,1,100,0.200000
1700121934.654217,122119,14599,1,SR,1,100,0.066667
1700121934.856946,122317,14654,1,SR,1,100,0.266667
1700121935.522470,122967,14735,1,SR,1,100,0.200000
1700121936.119394,123550,14820,1,SR,1,100,0.066667
1700121936.319051,123745,14852,1,SR,1,100,0.066667
1700121936.518708,123940,14886,1,SR,1,100,0.066667
1700121937.114608,124522,14998,1,SR,1,100,0.200000
1700121937.446346,124846,15048,1,SR,1,100,0.200000
1700121937.778085,125170,15096,1,SR,1,100,0.200000
1700121938.110847,125495,15132,1,SR,1,100,0.066667
1700121938.443609,125820,15197,1,SR,1,100,0.133333
1700121938.708794,126079,15233,1,SR,1,100,0.200000
1700121939.040532,126403,15252,1,SR,1,100,0.066667
1700121939.376366,126731,15335,1,SR,1,100,0.200000
1700121939.976362,127317,15433,1,SR,1,100,0.200000
1700121940.307076,127640,15473,1,SR,1,100,0.066667
1700121940.642910,127968,15523,1,SR,1,100,0.133333
1700121940.909119,128228,15572,1,SR,1,100,0.133333
1700121941.309458,128619,15655,1,SR,1,100,0.266667
1700121941.839829,129137,15703,1,SR,1,100,0.066667
1700121942.172591,129462,15785,1,SR,1,100,0.200000
1700121942.638458,129917,15852,1,SR,1,100,0.133333
1700121943.037772,130307,15935,1,SR,1,100,0.266667
1700121943.572240,130829,15985,1,SR,1,100,0.066667
1700121943.902954,131152,16097,1,SR,1,100,0.466667
1700121944.499878,131735,16147,1,SR,1,100,0.200000
1700121945.101921,132323,16228,1,SR,1,100,0.133333
1700121945.366083,132581,16281,1,SR,1,100,0.133333
1700121945.768469,132974,16346,1,SR,1,100,0.266667
1700121946.566074,133753,16459,1,SR,1,100,0.133333
1700121946.964365,134142,16541,1,SR,1,100,0.266667
1700121947.497808,134663,16605,1,SR,1,100,0.133333
1700121947.769137,134928,16654,1,SR,1,100,0.200000
1700121948.099851,135251,16707,1,SR,1,100,0.200000
1700121949.227147,136352,16916,1,SR,1,100,0.466667
1700121949.956151,137064,16982,1,SR,1,100,0.066667
1700121950.690276,137781,17116,1,SR,1,100,0.333333
1700121951.154095,138234,17167,1,SR,1,100,0.133333
1700121951.816547,138881,17263,1,SR,1,100,0.066667
1700121952.416543,139467,17363,1,SR,1,100,0.133333
1700121952.817905,139859,17427,1,SR,1,100,0.133333
1700121953.215172,140247,17541,1,SR,1,100,0.466667
1700121953.948272,140963,17590,1,SR,1,100,0.066667
1700121954.144858,141155,17672,1,SR,1,100,0.333333
1700121954.745877,141742,17770,1,SR,1,100,0.400000
1700121955.811739,142783,17898,1,SR,1,100,0.133333
1700121956.073854,143039,17924,1,SR,1,100,0.066667
1700121956.672825,143624,18023,1,SR,1,100,0.133333
1700121957.604559,144534,18200,1,SR,1,100,0.333333
1700121958.471788,145381,18377,1,SR,1,100,0.533333
1700121959.538674,146423,18573,1,SR,1,100,0.733333
1700121961.596680,148433,18782,1,SR,1,100,0.066667
1700121962.061523,148887,19089,1,SR,1,100,1.600000
1700121964.456386,151226,19295,1,SR,1,100,0.533333
1700121965.256038,152007,19426,1,SR,1,100,0.600000
1700121967.187082,153893,19717,1,SR,1,100,0.600000
1700121969.448840,156102,20050,1,SR,1,100,0.466667
1700121972.972022,159543,20564,1,SR,1,100,0.266667
1700121973.770651,160323,20660,1,SR,1,100,0.133333
1700121975.434461,161948,20930,1,SR,1,100,0.200000
1700121978.429320,164873,21397,1,SR,1,100,0.333333
1700121980.222139,166624,21653,1,SR,1,100,0.200000
1700121986.942909,173188,22754,1,SR,1,100,0.666667
1700121988.271909,174486,22901,1,SR,1,100,0.266667
1700121988.940505,175139,23001,1,SR,1,100,0.266667
1700121990.797829,176953,23305,1,SR,1,100,0.333333
1700121992.799521,178908,23612,1,SR,1,100,0.400000
1700122006.234916,192030,25609,1,SR,1,100,0.066667
1700122010.691880,196383,26282,1,SR,1,100,0.200000
1700122014.418815,200023,26828,1,SR,1,100,0.133333
1700122015.486725,201066,27004,1,SR,1,100,0.200000
1700122016.679549,202231,27164,1,SR,1,100,0.133333
1700122017.746435,203273,27344,1,SR,1,100,0.200000
1700122019.875088,205352,27668,1,SR,1,100,0.200000
1700122021.072008,206521,27843,1,SR,1,100,0.200000
1700122022.138894,207563,28003,1,SR,1,100,0.200000
1700122025.395867,210744,28468,1,SR,1,100,0.200000
1700122027.465135,212765,28771,1,SR,1,100,0.266667
1700122028.529973,213805,28933,1,SR,1,100,0.200000
1700122031.187974,216401,29401,1,SR,1,100,0.600000
1700122031.923122,217119,29437,1,SR,1,100,0.133333
1700122039.113854,224142,30565,1,SR,1,100,0.333333
1700122050.239369,235008,32230,1,SR,1,100,0.200000
1700122052.701808,237413,32788,1,SR,1,100,1.400000
1700122054.237633,238913,32901,1,SR,1,100,0.533333
1700122056.366286,240992,33177,1,SR,1,100,0.333333
1700122094.318566,278059,38953,1,SR,1,100,0.333333
1700122096.318209,280012,39273,1,SR,1,100,0.466667
1700122097.182367,280856,39340,1,SR,1,100,0.066667
1700122163.733752,345855,49485,1,SR,1,100,0.466667
1700122164.334772,346442,49518,1,SR,1,100,0.066667
1700122164.664462,346764,49585,1,SR,1,100,0.133333
1700122208.806115,389876,56390,1,SR,1,100,0.866667
1700122210.208835,391246,56568,1,SR,1,100,0.600000
1700122213.069565,394040,56924,1,SR,1,100,0.133333
1700122215.926199,396830,57384,1,SR,1,100,0.266667
1700122225.441146,406123,58927,1,SR,1,100,0.800000
1700122227.042499,407687,59090,1,SR,1,100,0.266667
1700122228.774910,409379,59349,1,SR,1,100,0.266667
1700122234.563945,415033,60240,1,SR,1,100,0.466667
1700122237.428771,417831,60717,1,SR,1,100,0.800000
1700122245.209259,425430,61891,1,SR,1,100,0.933333
1700122246.805493,426989,62021,1,SR,1,100,0.200000
1700122247.406512,427576,62120,1,SR,1,100,0.200000
1700122248.271694,428421,62282,1,SR,1,100,0.333333
1700122248.738585,428877,62315,1,SR,1,100,0.066667
1700122248.937218,429071,62460,1,SR,1,100,0.866667
1700122253.330701,433362,63056,1,SR,1,100,0.400000
1700122254.797925,434795,63268,1,SR,1,100,0.333333
1700122265.983850,445720,64938,1,SR,1,100,0.066667
1700122273.633281,453191,628,1,SR,1,100,0.533333
1700122274.965353,454492,774,1,SR,1,100,0.066667
1700122275.163986,454686,793,1,SR,1,100,0.066667
1700122276.430530,455923,1008,1,SR,1,100,0.133333
1700122276.700835,456187,1040,1,SR,1,100,0.133333
1700122276.966021,456446,1121,1,SR,1,100,0.400000
1700122277.497416,456965,1189,1,SR,1,100,0.200000
1700122278.764984,458203,1364,1,SR,1,100,0.066667
1700122279.829822,459243,1557,1,SR,1,100,0.333333
1700122280.565995,459962,1642,1,SR,1,100,0.066667
