LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TL
1700121935.160015,122613.000,14646,1,TL,1,100,2023-11-16_09-05-30-160881
1700121935.178445,122631.000,14648,1,TL,1,100,2023-11-16_09-05-30-161112
1700121940.391034,127722.000,15449,1,TL,1,100,2023-11-16_09-05-35-509793
1700121940.409464,127740.000,15451,1,TL,1,100,2023-11-16_09-05-35-509984
1700121940.434037,127764.000,15454,1,TL,1,100,2023-11-16_09-05-40-438854
1700121945.620006,132829.000,16277,1,TL,1,100,2023-11-16_09-05-40-488054
1700121950.865360,137952.000,17092,1,TL,1,100,2023-11-16_09-05-45-834593
1700121950.882766,137969.000,17094,1,TL,1,100,2023-11-16_09-05-46-540626
1700121956.123000,143087.000,17916,1,TL,1,100,2023-11-16_09-05-51-321030
1700121956.141430,143105.000,17918,1,TL,1,100,2023-11-16_09-05-51-321388
1700121961.376545,148218.000,18731,1,TL,1,100,2023-11-16_09-05-56-513934
1700121966.612684,153332.000,19538,1,TL,1,100,2023-11-16_09-06-02-444341
1700121971.843703,158441.000,20335,1,TL,1,100,2023-11-16_09-06-07-856155
1700121982.314957,168668.000,21937,1,TL,1,100,2023-11-16_09-06-18-759799
1700121987.547000,173778.000,22734,1,TL,1,100,2023-11-16_09-06-24-595591
1700121992.788258,178897.000,23543,1,TL,1,100,2023-11-16_09-06-29-640377
1700121998.060233,184046.000,24340,1,TL,1,100,2023-11-16_09-06-35-117793
1700122003.332207,189195.000,25139,1,TL,1,100,2023-11-16_09-06-40-414778
1700122003.351661,189214.000,25141,1,TL,1,100,2023-11-16_09-06-40-414923
1700122008.601110,194341.000,25941,1,TL,1,100,2023-11-16_09-06-45-284043
1700122013.839297,199457.000,26710,1,TL,1,100,2023-11-16_09-06-50-292163
1700122013.857727,199475.000,26712,1,TL,1,100,2023-11-16_09-06-50-842528
1700122019.077483,204573.000,27503,1,TL,1,100,2023-11-16_09-06-55-207239
1700122019.094890,204590.000,27505,1,TL,1,100,2023-11-16_09-06-55-535285
1700122024.305431,209679.000,28288,1,TL,1,100,2023-11-16_09-07-00-824751
1700122029.536451,214788.000,29045,1,TL,1,100,2023-11-16_09-07-05-743635
1700122029.553857,214805.000,29047,1,TL,1,100,2023-11-16_09-07-05-743899
1700122034.789995,219919.000,29846,1,TL,1,100,2023-11-16_09-07-11-200649
1700122055.723288,240364.000,33028,1,TL,1,100,2023-11-16_09-07-33-054410
1700122060.991167,245509.000,33831,1,TL,1,100,2023-11-16_09-07-38-373859
1700122061.009597,245527.000,33833,1,TL,1,100,2023-11-16_09-07-38-374046
1700122066.255974,250651.000,34629,1,TL,1,100,2023-11-16_09-07-43-595665
1700122071.496209,255769.000,35430,1,TL,1,100,2023-11-16_09-07-48-314324
1700122076.758968,260909.000,36231,1,TL,1,100,2023-11-16_09-07-53-579728
1700122081.981797,266010.000,37016,1,TL,1,100,2023-11-16_09-07-59-113178
1700122082.000226,266028.000,37018,1,TL,1,100,2023-11-16_09-07-59-476820
1700122087.235342,271141.000,37814,1,TL,1,100,2023-11-16_09-08-04-028063
1700122087.254795,271160.000,37816,1,TL,1,100,2023-11-16_09-08-04-028267
1700122092.509364,276292.000,38617,1,TL,1,100,2023-11-16_09-08-10-017428
1700122097.776219,281436.000,39418,1,TL,1,100,2023-11-16_09-08-14-513249
1700122097.794649,281454.000,39420,1,TL,1,100,2023-11-16_09-08-14-591213
1700122103.005191,286543.000,40205,1,TL,1,100,2023-11-16_09-08-19-844715
1700122103.023621,286561.000,40207,1,TL,1,100,2023-11-16_09-08-19-844855
1700122108.236210,291652.000,40990,1,TL,1,100,2023-11-16_09-08-24-270714
1700122108.253616,291669.000,40992,1,TL,1,100,2023-11-16_09-08-24-378600
1700122113.484636,296778.000,41793,1,TL,1,100,2023-11-16_09-08-29-112372
1700122118.725894,301897.000,42589,1,TL,1,100,2023-11-16_09-08-35-889008
1700122118.743300,301914.000,42591,1,TL,1,100,2023-11-16_09-08-35-889276
1700122123.954865,307004.000,43378,1,TL,1,100,2023-11-16_09-08-40-792916
1700122123.973295,307022.000,43380,1,TL,1,100,2023-11-16_09-08-40-793076
1700122129.184861,312112.000,44165,1,TL,1,100,2023-11-16_09-08-45-243969
1700122129.204314,312131.000,44167,1,TL,1,100,2023-11-16_09-08-45-560359
1700122134.536698,317339.000,44936,1,TL,1,100,2023-11-16_09-08-51-085188
1700122150.228733,332665.000,47333,1,TL,1,100,2023-11-16_09-09-07-080142
1700122160.717392,342909.000,48935,1,TL,1,100,2023-11-16_09-09-17-918930
1700122171.189670,353137.000,50539,1,TL,1,100,2023-11-16_09-09-28-093735
1700122171.208100,353155.000,50541,1,TL,1,100,2023-11-16_09-09-28-094129
1700122176.451406,358276.000,51340,1,TL,1,100,2023-11-16_09-09-33-429466
1700122181.679353,363382.000,52136,1,TL,1,100,2023-11-16_09-09-38-402345
1700122181.698807,363401.000,52138,1,TL,1,100,2023-11-16_09-09-38-402520
1700122192.165965,373624.000,53720,1,TL,1,100,2023-11-16_09-09-49-594505
1700122197.394937,378731.000,54515,1,TL,1,100,2023-11-16_09-09-54-230164
1700122202.632099,383846.000,55312,1,TL,1,100,2023-11-16_09-09-58-879839
1700122202.649505,383863.000,55314,1,TL,1,100,2023-11-16_09-09-59-120499
1700122207.892812,388984.000,56115,1,TL,1,100,2023-11-16_09-10-03-815616
1700122213.153523,394122.000,56917,1,TL,1,100,2023-11-16_09-10-09-797845
1700122213.170929,394139.000,56919,1,TL,1,100,2023-11-16_09-10-10-205978
1700122218.405020,399251.000,57720,1,TL,1,100,2023-11-16_09-10-14-842459
1700122218.423450,399269.000,57722,1,TL,1,100,2023-11-16_09-10-14-842733
1700122223.659589,404383.000,58522,1,TL,1,100,2023-11-16_09-10-20-218699
1700122223.678019,404401.000,58524,1,TL,1,100,2023-11-16_09-10-20-218901
1700122228.889585,409491.000,59312,1,TL,1,100,2023-11-16_09-10-25-769490
1700122239.392579,419749.000,60892,1,TL,1,100,2023-11-16_09-10-36-473140
1700122239.409985,419766.000,60894,1,TL,1,100,2023-11-16_09-10-36-473965
1700122255.110210,435100.000,63263,1,TL,1,100,2023-11-16_09-10-51-560660
1700122260.338158,440206.000,64064,1,TL,1,100,2023-11-16_09-10-56-584054
1700122265.611156,445356.000,64865,1,TL,1,100,2023-11-16_09-11-02-418523
1700122265.628562,445373.000,64867,1,TL,1,100,2023-11-16_09-11-02-418666
1700122270.842175,450465.000,116,1,TL,1,100,2023-11-16_09-11-07-095987
1700122276.071147,455572.000,919,1,TL,1,100,2023-11-16_09-11-12-003481
1700122276.089577,455590.000,921,1,TL,1,100,2023-11-16_09-11-12-003647
1700122281.320596,460699.000,1738,1,TL,1,100,2023-11-16_09-11-17-786216
1700122286.573117,465829.000,2540,1,TL,1,100,2023-11-16_09-11-22-662145
1700122291.802089,470936.000,3345,1,TL,1,100,2023-11-16_09-11-27-574873
1700122291.820519,470954.000,3347,1,TL,1,100,2023-11-16_09-11-27-575206
1700122297.055634,476067.000,4147,1,TL,1,100,2023-11-16_09-11-33-526922
1700122307.516649,486284.000,5735,1,TL,1,100,2023-11-16_09-11-43-281403
1700122312.775313,491420.000,6532,1,TL,1,100,2023-11-16_09-11-48-866290
1700122318.019642,496542.000,7330,1,TL,1,100,2023-11-16_09-11-54-140626
1700122318.038072,496560.000,7332,1,TL,1,100,2023-11-16_09-11-54-140965
1700122323.272163,501672.000,8131,1,TL,1,100,2023-11-16_09-11-59-672694
1700122323.289569,501689.000,8133,1,TL,1,100,2023-11-16_09-12-00-024152
1700122328.525708,506803.000,8932,1,TL,1,100,2023-11-16_09-12-05-023776
1700122328.546186,506823.000,8934,1,TL,1,100,2023-11-16_09-12-05-023963
1700122333.763895,511919.000,9733,1,TL,1,100,2023-11-16_09-12-10-024628
1700122359.978377,537522.000,13707,1,TL,1,100,2023-11-16_09-12-37-472568
1700122359.995783,537539.000,13709,1,TL,1,100,2023-11-16_09-12-37-486551
1700122370.462941,547762.000,15300,1,TL,1,100,2023-11-16_09-12-47-392444
1700122370.481371,547780.000,15302,1,TL,1,100,2023-11-16_09-12-47-392929
1700122380.960815,558015.000,16877,1,TL,1,100,2023-11-16_09-12-57-438222
1700122396.657969,573346.000,19300,1,TL,1,100,2023-11-16_09-13-13-055463
1700122396.677423,573365.000,19302,1,TL,1,100,2023-11-16_09-13-13-055563
1700122401.913562,578479.000,20101,1,TL,1,100,2023-11-16_09-13-18-261712
1700122401.930968,578496.000,20103,1,TL,1,100,2023-11-16_09-13-18-536335
1700122407.144581,583588.000,20890,1,TL,1,100,2023-11-16_09-13-23-822348
1700122407.161987,583605.000,20892,1,TL,1,100,2023-11-16_09-13-23-826192
1700122412.411436,588732.000,21699,1,TL,1,100,2023-11-16_09-13-29-294504
1700122417.670100,593868.000,22499,1,TL,1,100,2023-11-16_09-13-34-511719
1700122428.135211,604089.000,24097,1,TL,1,100,2023-11-16_09-13-44-231755
1700122433.406162,609237.000,24904,1,TL,1,100,2023-11-16_09-13-48-789651
1700122438.645372,614354.000,25706,1,TL,1,100,2023-11-16_09-13-53-977620
1700122438.665850,614374.000,25708,1,TL,1,100,2023-11-16_09-13-53-977741
1700122443.876391,619463.000,26496,1,TL,1,100,2023-11-16_09-13-59-157104
1700122449.149390,624613.000,27294,1,TL,1,100,2023-11-16_09-14-04-744421
1700122454.379385,629721.000,28081,1,TL,1,100,2023-11-16_09-14-10-012515
1700122454.397815,629739.000,28083,1,TL,1,100,2023-11-16_09-14-10-012700
1700122459.628835,634848.000,28851,1,TL,1,100,2023-11-16_09-14-14-982013
1700122459.664670,634883.000,28854,1,TL,1,100,2023-11-16_09-14-19-668288
1700122464.864974,639962.000,29621,1,TL,1,100,2023-11-16_09-14-20-402662
1700122480.591820,655322.000,32004,1,TL,1,100,2023-11-16_09-14-36-797541
