RD,TS_received,TS_sent,AK,RoundTrip,
117497,122613,2023-11-16_09-05-30-160881,122622,5116,
122634,127722,2023-11-16_09-05-35-509793,127730,5088,
127743,127764,2023-11-16_09-05-40-438854,127767,21,
132832,137952,2023-11-16_09-05-45-834593,137960,5120,
137972,143087,2023-11-16_09-05-51-321030,143096,5115,
143109,148218,2023-11-16_09-05-56-513934,148221,5109,
148221,153332,2023-11-16_09-06-02-444341,153335,5111,
153335,158441,2023-11-16_09-06-07-856155,158443,5106,
158444,0,,163542,-158444,
163542,168668,2023-11-16_09-06-18-759799,168671,5126,
168671,173778,2023-11-16_09-06-24-595591,173781,5107,
173781,0,,178888,-173781,
178900,184046,2023-11-16_09-06-35-117793,184049,5146,
184050,189195,2023-11-16_09-06-40-414778,189205,5145,
189217,0,,194333,-189217,
194345,199457,2023-11-16_09-06-50-292163,199467,5112,
199479,204573,2023-11-16_09-06-55-207239,204581,5094,
204593,209679,2023-11-16_09-07-00-824751,209681,5086,
209682,214788,2023-11-16_09-07-05-743635,214797,5106,
214809,219919,2023-11-16_09-07-11-200649,219922,5110,
219922,
225022,
230130,
235238,240364,2023-11-16_09-07-33-054410,240367,5126,
240367,245509,2023-11-16_09-07-38-373859,245518,5142,
245530,250651,2023-11-16_09-07-43-595665,250654,5121,
250654,255769,2023-11-16_09-07-48-314324,255772,5115,
255772,260909,2023-11-16_09-07-53-579728,260911,5137,
260912,266010,2023-11-16_09-07-59-113178,266019,5098,
266031,271141,2023-11-16_09-08-04-028063,271151,5110,
271163,276292,2023-11-16_09-08-10-017428,276296,5129,
276297,281436,2023-11-16_09-08-14-513249,281445,5139,
281457,286543,2023-11-16_09-08-19-844715,286552,5086,
286564,291652,2023-11-16_09-08-24-270714,291661,5088,
291673,
296778,301897,2023-11-16_09-08-35-889008,301905,5119,
301917,307004,2023-11-16_09-08-40-792916,307014,5087,
307026,312112,2023-11-16_09-08-45-243969,312121,5086,
312134,317339,2023-11-16_09-08-51-085188,317342,5205,
317342,
322439,
327547,332665,2023-11-16_09-09-07-080142,332667,5118,
332668,
337783,342909,2023-11-16_09-09-17-918930,342912,5126,
342913,
348021,353137,2023-11-16_09-09-28-093735,353146,5116,
353158,358276,2023-11-16_09-09-33-429466,358280,5118,
358281,363382,2023-11-16_09-09-38-402345,363392,5101,
363404,
368507,373624,2023-11-16_09-09-49-594505,373626,5117,
373627,378731,2023-11-16_09-09-54-230164,378734,5104,
378734,383846,2023-11-16_09-09-58-879839,383854,5112,
383867,388984,2023-11-16_09-10-03-815616,388992,5117,
388997,394122,2023-11-16_09-10-09-797845,394130,5125,
394142,399251,2023-11-16_09-10-14-842459,399260,5109,
399272,404383,2023-11-16_09-10-20-218699,404392,5111,
404404,409491,2023-11-16_09-10-25-769490,409494,5087,
409494,
414599,419749,2023-11-16_09-10-36-473140,419758,5150,
419770,
424857,
429965,435100,2023-11-16_09-10-51-560660,435103,5135,
435103,440206,2023-11-16_09-10-56-584054,440209,5103,
440210,445356,2023-11-16_09-11-02-418523,445365,5146,
445376,450465,2023-11-16_09-11-07-095987,450468,5089,
450468,455572,2023-11-16_09-11-12-003481,455580,5104,
455593,460699,2023-11-16_09-11-17-786216,460702,5106,
460702,465829,2023-11-16_09-11-22-662145,465832,5127,
465832,470936,2023-11-16_09-11-27-574873,470945,5104,
470957,476067,2023-11-16_09-11-33-526922,476070,5110,
476071,
