LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PG
0.087000,4128811.000,50410,2,PG,1,100,10250
0.087000,4128811.000,50410,2,PG,1,100,10281
0.126667,4128850.667,50427,3,PG,1,100,10274
0.166333,4128890.333,50427,3,PG,1,100,10221
0.206000,4128930.000,50427,3,PG,1,100,10183
0.245000,4128969.000,50444,2,PG,1,100,10147
0.284000,4129008.000,50444,2,PG,1,100,10141
0.323000,4129047.000,50460,3,PG,1,100,10152
0.362000,4129086.000,50460,3,PG,1,100,10157
0.401000,4129125.000,50460,3,PG,1,100,10173
0.440000,4129164.000,50475,3,PG,1,100,10193
0.479000,4129203.000,50475,3,PG,1,100,10198
0.518000,4129242.000,50475,3,PG,1,100,10218
0.556500,4129280.500,50491,2,PG,1,100,10226
0.595000,4129319.000,50491,2,PG,1,100,10252
0.634667,4129358.667,50506,3,PG,1,100,10266
0.674333,4129398.333,50506,3,PG,1,100,10269
0.714000,4129438.000,50506,3,PG,1,100,10241
0.754000,4129478.000,50523,2,PG,1,100,10197
0.794000,4129518.000,50523,2,PG,1,100,10157
0.833000,4129557.000,50538,3,PG,1,100,10135
0.872000,4129596.000,50538,3,PG,1,100,10143
0.911000,4129635.000,50538,3,PG,1,100,10157
0.950000,4129674.000,50553,2,PG,1,100,10169
0.989000,4129713.000,50553,2,PG,1,100,10185
1.032333,4129756.333,50568,3,PG,1,100,10196
1.075667,4129799.667,50568,3,PG,1,100,10200
1.119000,4129843.000,50568,3,PG,1,100,10221
1.158500,4129882.500,50587,2,PG,1,100,10237
1.198000,4129922.000,50587,2,PG,1,100,10258
1.237000,4129961.000,50602,3,PG,1,100,10277
1.276000,4130000.000,50602,3,PG,1,100,10258
1.315000,4130039.000,50602,3,PG,1,100,10221
1.353333,4130077.333,50620,3,PG,1,100,10171
1.391667,4130115.667,50620,3,PG,1,100,10143
1.430000,4130154.000,50620,3,PG,1,100,10136
1.468500,4130192.500,50635,2,PG,1,100,10150
1.507000,4130231.000,50635,2,PG,1,100,10161
1.546000,4130270.000,50651,3,PG,1,100,10166
1.585000,4130309.000,50651,3,PG,1,100,10186
1.624000,4130348.000,50651,3,PG,1,100,10194
1.664000,4130388.000,50666,2,PG,1,100,10214
1.704000,4130428.000,50666,2,PG,1,100,10234
1.743667,4130467.667,50683,3,PG,1,100,10258
1.783333,4130507.333,50683,3,PG,1,100,10282
1.823000,4130547.000,50683,3,PG,1,100,10308
1.862000,4130586.000,50697,3,PG,1,100,10291
1.901000,4130625.000,50697,3,PG,1,100,10241
1.940000,4130664.000,50697,3,PG,1,100,10215
1.978500,4130702.500,50713,2,PG,1,100,10185
2.017000,4130741.000,50713,2,PG,1,100,10176
2.055333,4130779.333,50729,3,PG,1,100,10187
2.093667,4130817.667,50729,3,PG,1,100,10206
2.132000,4130856.000,50729,3,PG,1,100,10217
2.171000,4130895.000,50747,2,PG,1,100,10223
2.210000,4130934.000,50747,2,PG,1,100,10240
2.250000,4130974.000,50762,3,PG,1,100,10253
2.290000,4131014.000,50762,3,PG,1,100,10264
2.330000,4131054.000,50762,3,PG,1,100,10300
2.370000,4131094.000,50777,2,PG,1,100,10322
2.410000,4131134.000,50777,2,PG,1,100,10317
2.453333,4131177.333,50793,3,PG,1,100,10285
