LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AY
1700426645.716424,33949.000,2095,15,AY,1,100,0.914
1700426645.716424,33949.000,2095,15,AY,1,100,0.891
1700426645.716424,33949.000,2095,15,AY,1,100,0.874
1700426645.716424,33949.000,2095,15,AY,1,100,0.926
1700426645.716424,33949.000,2095,15,AY,1,100,0.935
1700426645.716424,33949.000,2095,15,AY,1,100,0.940
1700426645.716424,33949.000,2095,15,AY,1,100,0.932
1700426645.716424,33949.000,2095,15,AY,1,100,0.923
1700426645.716424,33949.000,2095,15,AY,1,100,0.923
1700426645.716424,33949.000,2095,15,AY,1,100,0.887
1700426645.716424,33949.000,2095,15,AY,1,100,0.907
1700426645.716424,33949.000,2095,15,AY,1,100,0.838
1700426645.716424,33949.000,2095,15,AY,1,100,0.893
1700426645.716424,33949.000,2095,15,AY,1,100,0.882
1700426645.716424,33949.000,2095,15,AY,1,100,0.883
1700426645.757645,33988.333,2114,3,AY,1,100,0.934
1700426645.798865,34027.667,2114,3,AY,1,100,0.898
1700426645.840086,34067.000,2114,3,AY,1,100,0.901
1700426645.876415,34101.667,2130,3,AY,1,100,0.885
1700426645.912745,34136.333,2130,3,AY,1,100,0.882
1700426645.949075,34171.000,2130,3,AY,1,100,0.877
1700426645.988899,34209.000,2148,2,AY,1,100,0.884
1700426646.028722,34247.000,2148,2,AY,1,100,0.895
1700426646.070292,34286.667,2163,3,AY,1,100,0.887
1700426646.111861,34326.333,2163,3,AY,1,100,0.873
1700426646.153431,34366.000,2163,3,AY,1,100,0.883
1700426646.193953,34404.667,2180,3,AY,1,100,0.885
1700426646.234475,34443.333,2180,3,AY,1,100,0.873
1700426646.274997,34482.000,2180,3,AY,1,100,0.892
1700426646.315868,34521.000,2196,2,AY,1,100,0.889
1700426646.356739,34560.000,2196,2,AY,1,100,0.890
1700426646.397610,34599.000,2216,3,AY,1,100,0.889
1700426646.438482,34638.000,2216,3,AY,1,100,0.908
1700426646.479353,34677.000,2216,3,AY,1,100,0.888
1700426646.520224,34716.000,2232,2,AY,1,100,0.889
1700426646.561095,34755.000,2232,2,AY,1,100,0.888
1700426646.601966,34794.000,2248,3,AY,1,100,0.889
