LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GX
1700426645.716424,33949.000,2097,15,GX,1,100,-63.477
1700426645.716424,33949.000,2097,15,GX,1,100,-67.230
1700426645.716424,33949.000,2097,15,GX,1,100,-71.716
1700426645.716424,33949.000,2097,15,GX,1,100,-72.693
1700426645.716424,33949.000,2097,15,GX,1,100,-68.756
1700426645.716424,33949.000,2097,15,GX,1,100,-68.298
1700426645.716424,33949.000,2097,15,GX,1,100,-64.850
1700426645.716424,33949.000,2097,15,GX,1,100,-57.373
1700426645.716424,33949.000,2097,15,GX,1,100,-46.021
1700426645.716424,33949.000,2097,15,GX,1,100,-39.093
1700426645.716424,33949.000,2097,15,GX,1,100,-31.891
1700426645.716424,33949.000,2097,15,GX,1,100,-24.475
1700426645.716424,33949.000,2097,15,GX,1,100,-19.440
1700426645.716424,33949.000,2097,15,GX,1,100,-10.651
1700426645.716424,33949.000,2097,15,GX,1,100,-3.113
1700426645.757645,33988.333,2116,3,GX,1,100,0.732
1700426645.798865,34027.667,2116,3,GX,1,100,0.763
1700426645.840086,34067.000,2116,3,GX,1,100,2.838
1700426645.876415,34101.667,2132,3,GX,1,100,6.073
1700426645.912745,34136.333,2132,3,GX,1,100,5.219
1700426645.949075,34171.000,2132,3,GX,1,100,5.524
1700426645.988899,34209.000,2150,2,GX,1,100,4.028
1700426646.028722,34247.000,2150,2,GX,1,100,1.556
1700426646.070292,34286.667,2165,3,GX,1,100,1.221
1700426646.111861,34326.333,2165,3,GX,1,100,2.441
1700426646.153431,34366.000,2165,3,GX,1,100,3.967
1700426646.193953,34404.667,2182,3,GX,1,100,4.242
1700426646.234475,34443.333,2182,3,GX,1,100,4.272
1700426646.274997,34482.000,2182,3,GX,1,100,5.951
1700426646.315868,34521.000,2198,2,GX,1,100,7.294
1700426646.356739,34560.000,2198,2,GX,1,100,5.859
1700426646.397610,34599.000,2218,3,GX,1,100,4.486
1700426646.438482,34638.000,2218,3,GX,1,100,3.754
1700426646.479353,34677.000,2218,3,GX,1,100,2.502
1700426646.520224,34716.000,2234,2,GX,1,100,2.594
1700426646.561095,34755.000,2234,2,GX,1,100,1.801
1700426646.601966,34794.000,2250,3,GX,1,100,0.946
1700426646.642838,34833.000,2250,3,GX,1,100,1.099
1700426646.683709,34872.000,2250,3,GX,1,100,1.221
1700426646.724580,34911.000,2267,3,GX,1,100,0.885
1700426646.765451,34950.000,2267,3,GX,1,100,0.458
1700426646.806322,34989.000,2267,3,GX,1,100,1.068
1700426646.846145,35027.000,2286,2,GX,1,100,0.824
1700426646.885968,35065.000,2286,2,GX,1,100,1.160
1700426646.926840,35104.000,2302,3,GX,1,100,0.793
1700426646.967711,35143.000,2302,3,GX,1,100,0.854
1700426647.008582,35182.000,2302,3,GX,1,100,1.068
1700426647.049453,35221.000,2319,3,GX,1,100,1.099
1700426647.090324,35260.000,2319,3,GX,1,100,1.373
1700426647.131196,35299.000,2319,3,GX,1,100,1.923
1700426647.172067,35338.000,2335,2,GX,1,100,2.533
1700426647.212938,35377.000,2335,2,GX,1,100,3.601
1700426647.253809,35416.000,2352,3,GX,1,100,5.249
1700426647.294680,35455.000,2352,3,GX,1,100,7.080
1700426647.335552,35494.000,2352,3,GX,1,100,9.766
1700426647.376423,35533.000,2369,2,GX,1,100,12.238
1700426647.417294,35572.000,2369,2,GX,1,100,9.521
1700426647.457466,35610.333,2386,3,GX,1,100,2.899
1700426647.497639,35648.667,2386,3,GX,1,100,-1.068
1700426647.537812,35687.000,2386,3,GX,1,100,-0.824
1700426647.578683,35726.000,2401,3,GX,1,100,2.441
1700426647.619554,35765.000,2401,3,GX,1,100,4.944
1700426647.660425,35804.000,2401,3,GX,1,100,11.536
1700426647.696406,35838.333,2419,3,GX,1,100,14.771
1700426647.732386,35872.667,2419,3,GX,1,100,9.003
1700426647.768367,35907.000,2419,3,GX,1,100,3.876
1700426647.810286,35947.000,2437,2,GX,1,100,-5.493
1700426647.852205,35987.000,2437,2,GX,1,100,-11.200
1700426647.893076,36026.000,2454,3,GX,1,100,-13.855
1700426647.933948,36065.000,2454,3,GX,1,100,-14.771
1700426647.974819,36104.000,2454,3,GX,1,100,-12.177
1700426648.015690,36143.000,2469,2,GX,1,100,-9.277
1700426648.056561,36182.000,2469,2,GX,1,100,-8.087
1700426648.097432,36221.000,2487,3,GX,1,100,-6.104
1700426648.138303,36260.000,2487,3,GX,1,100,-2.716
1700426648.179175,36299.000,2487,3,GX,1,100,-1.678
1700426648.220046,36338.000,2503,2,GX,1,100,-1.007
1700426648.260917,36377.000,2503,2,GX,1,100,0.854
1700426648.301090,36415.333,2522,3,GX,1,100,2.533
1700426648.341262,36453.667,2522,3,GX,1,100,2.258
1700426648.381434,36492.000,2522,3,GX,1,100,1.312
1700426648.423354,36532.000,2539,3,GX,1,100,0.549
1700426648.465273,36572.000,2539,3,GX,1,100,0.519
1700426648.507192,36612.000,2539,3,GX,1,100,1.404
1700426648.548063,36651.000,2555,2,GX,1,100,2.411
1700426648.588934,36690.000,2555,2,GX,1,100,3.143
1700426648.629806,36729.000,2571,3,GX,1,100,3.357
1700426648.670677,36768.000,2571,3,GX,1,100,6.195
1700426648.711548,36807.000,2571,3,GX,1,100,12.909
1700426648.752419,36846.000,2589,2,GX,1,100,15.869
1700426648.793290,36885.000,2589,2,GX,1,100,14.191
1700426648.834162,36924.000,2607,3,GX,1,100,13.397
1700426648.875033,36963.000,2607,3,GX,1,100,6.073
1700426648.915904,37002.000,2607,3,GX,1,100,-0.397
1700426648.957037,37041.250,2629,4,GX,1,100,-2.106
1700426648.998170,37080.500,2629,4,GX,1,100,-0.580
1700426649.039303,37119.750,2629,4,GX,1,100,0.671
1700426649.080436,37159.000,2629,4,GX,1,100,1.160
1700426649.122006,37198.667,2646,3,GX,1,100,-1.251
1700426649.163576,37238.333,2646,3,GX,1,100,-1.678
1700426649.205146,37278.000,2646,3,GX,1,100,-0.061
1700426649.246017,37317.000,2663,2,GX,1,100,3.326
1700426649.286888,37356.000,2663,2,GX,1,100,6.500
1700426649.327760,37395.000,2678,3,GX,1,100,8.423
1700426649.368631,37434.000,2678,3,GX,1,100,3.571
1700426649.409502,37473.000,2678,3,GX,1,100,-0.702
1700426649.446181,37508.000,2696,3,GX,1,100,-2.838
1700426649.482860,37543.000,2696,3,GX,1,100,0.214
1700426649.519540,37578.000,2696,3,GX,1,100,0.916
1700426649.560760,37617.333,2712,3,GX,1,100,-2.136
1700426649.601981,37656.667,2712,3,GX,1,100,3.326
1700426649.643201,37696.000,2712,3,GX,1,100,1.221
1700426649.684072,37735.000,2729,2,GX,1,100,-0.244
1700426649.724943,37774.000,2729,2,GX,1,100,0.244
1700426649.765465,37812.667,2745,3,GX,1,100,-0.916
1700426649.805987,37851.333,2745,3,GX,1,100,-0.122
1700426649.846509,37890.000,2745,3,GX,1,100,1.190
1700426649.886856,37928.500,2764,2,GX,1,100,1.404
1700426649.927203,37967.000,2764,2,GX,1,100,1.526
1700426649.968075,38006.000,2780,3,GX,1,100,0.854
1700426650.008946,38045.000,2780,3,GX,1,100,-0.977
1700426650.049817,38084.000,2780,3,GX,1,100,-2.258
1700426650.091387,38123.667,2798,3,GX,1,100,-1.129
1700426650.132957,38163.333,2798,3,GX,1,100,-0.275
1700426650.174526,38203.000,2798,3,GX,1,100,-0.183
1700426650.215922,38242.500,2814,2,GX,1,100,-0.641
1700426650.257317,38282.000,2814,2,GX,1,100,-0.275
1700426650.298188,38321.000,2830,3,GX,1,100,-0.092
1700426650.339059,38360.000,2830,3,GX,1,100,0.275
1700426650.379930,38399.000,2830,3,GX,1,100,0.366
1700426650.420802,38438.000,2847,2,GX,1,100,0.153
1700426650.461673,38477.000,2847,2,GX,1,100,-0.092
1700426650.501845,38515.333,2864,3,GX,1,100,-0.458
1700426650.542018,38553.667,2864,3,GX,1,100,-0.397
1700426650.582190,38592.000,2864,3,GX,1,100,-0.153
1700426650.623061,38631.000,2880,2,GX,1,100,0.397
1700426650.663933,38670.000,2880,2,GX,1,100,-0.153
1700426650.705590,38709.750,2898,4,GX,1,100,-0.763
1700426650.747247,38749.500,2898,4,GX,1,100,-1.038
1700426650.788904,38789.250,2898,4,GX,1,100,-0.916
1700426650.830561,38829.000,2898,4,GX,1,100,-0.610
1700426650.871782,38868.333,2915,3,GX,1,100,0.092
1700426650.913002,38907.667,2915,3,GX,1,100,-0.092
1700426650.954223,38947.000,2915,3,GX,1,100,-0.549
1700426650.995094,38986.000,2932,2,GX,1,100,-0.549
1700426651.035965,39025.000,2932,2,GX,1,100,-0.366
1700426651.076836,39064.000,2948,3,GX,1,100,-0.122
1700426651.117707,39103.000,2948,3,GX,1,100,-0.458
1700426651.158579,39142.000,2948,3,GX,1,100,-0.336
1700426651.194909,39176.667,2966,3,GX,1,100,0.336
1700426651.231239,39211.333,2966,3,GX,1,100,0.885
1700426651.267569,39246.000,2966,3,GX,1,100,0.610
1700426651.307392,39284.000,2982,2,GX,1,100,0.671
1700426651.347215,39322.000,2982,2,GX,1,100,0.092
1700426651.388086,39361.000,2998,3,GX,1,100,-0.824
1700426651.428957,39400.000,2998,3,GX,1,100,-1.801
1700426651.469828,39439.000,2998,3,GX,1,100,1.160
1700426651.510700,39478.000,3015,2,GX,1,100,2.686
1700426651.551571,39517.000,3015,2,GX,1,100,2.472
1700426651.592442,39556.000,3032,3,GX,1,100,1.282
1700426651.633313,39595.000,3032,3,GX,1,100,0.854
1700426651.674184,39634.000,3032,3,GX,1,100,1.099
1700426651.715055,39673.000,3048,3,GX,1,100,0.977
1700426651.755927,39712.000,3048,3,GX,1,100,0.336
1700426651.796798,39751.000,3048,3,GX,1,100,1.251
1700426651.837669,39790.000,3065,2,GX,1,100,1.617
1700426651.878540,39829.000,3065,2,GX,1,100,0.488
1700426651.918713,39867.333,3083,3,GX,1,100,-0.610
1700426651.958885,39905.667,3083,3,GX,1,100,-1.038
