LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,DC
1700427445.343189,620233.000,30136,4,DC,2,100,EA
1700427445.343189,620233.000,30136,4,DC,2,100,2
1700427445.343189,620233.000,30136,4,DC,2,100,EL
1700427445.343189,620233.000,30136,4,DC,2,100,2
1700427445.420579,620308.750,30185,4,DC,2,100,EA
1700427445.497968,620384.500,30185,4,DC,2,100,1
1700427445.575357,620460.250,30185,4,DC,2,100,EL
1700427445.652746,620536.000,30185,4,DC,2,100,1
1700427445.678798,620561.500,30203,4,DC,2,100,EA
1700427445.704850,620587.000,30203,4,DC,2,100,2
1700427445.730902,620612.500,30203,4,DC,2,100,EL
1700427445.756954,620638.000,30203,4,DC,2,100,2
1700427445.782495,620663.000,30219,4,DC,2,100,EA
1700427445.808036,620688.000,30219,4,DC,2,100,2
1700427445.833577,620713.000,30219,4,DC,2,100,EL
1700427445.859118,620738.000,30219,4,DC,2,100,2
1700427445.884914,620763.250,30236,4,DC,2,100,EA
1700427445.910711,620788.500,30236,4,DC,2,100,1
1700427445.936507,620813.750,30236,4,DC,2,100,EL
1700427445.962303,620839.000,30236,4,DC,2,100,1
1700427445.988355,620864.500,30252,4,DC,2,100,EA
1700427446.014407,620890.000,30252,4,DC,2,100,2
1700427446.040459,620915.500,30252,4,DC,2,100,EL
1700427446.066511,620941.000,30252,4,DC,2,100,2
1700427446.092052,620966.000,30271,4,DC,2,100,EA
1700427446.117593,620991.000,30271,4,DC,2,100,1
1700427446.143134,621016.000,30271,4,DC,2,100,EL
1700427446.168675,621041.000,30271,4,DC,2,100,1
1700427446.194471,621066.250,30287,4,DC,2,100,EA
1700427446.220268,621091.500,30287,4,DC,2,100,2
1700427446.246064,621116.750,30287,4,DC,2,100,EL
1700427446.271861,621142.000,30287,4,DC,2,100,2
1700427446.297657,621167.250,30304,4,DC,2,100,EA
1700427446.323453,621192.500,30304,4,DC,2,100,1
1700427446.349250,621217.750,30304,4,DC,2,100,EL
1700427446.375046,621243.000,30304,4,DC,2,100,1
1700427446.401353,621268.750,30322,4,DC,2,100,EA
1700427446.427661,621294.500,30322,4,DC,2,100,2
1700427446.453968,621320.250,30322,4,DC,2,100,EL
1700427446.480275,621346.000,30322,4,DC,2,100,2
1700427446.505561,621370.750,30339,4,DC,2,100,EA
1700427446.530846,621395.500,30339,4,DC,2,100,1
1700427446.556132,621420.250,30339,4,DC,2,100,EL
1700427446.581418,621445.000,30339,4,DC,2,100,1
1700427446.607214,621470.250,30355,4,DC,2,100,EA
1700427446.633010,621495.500,30355,4,DC,2,100,2
1700427446.658807,621520.750,30355,4,DC,2,100,EL
1700427446.684603,621546.000,30355,4,DC,2,100,2
1700427446.710655,621571.500,30373,4,DC,2,100,EA
1700427446.736707,621597.000,30373,4,DC,2,100,2
1700427446.762759,621622.500,30373,4,DC,2,100,EL
1700427446.788810,621648.000,30373,4,DC,2,100,2
1700427446.814352,621673.000,30389,4,DC,2,100,EA
1700427446.839893,621698.000,30389,4,DC,2,100,1
1700427446.865433,621723.000,30389,4,DC,2,100,EL
1700427446.890975,621748.000,30389,4,DC,2,100,1
1700427446.916771,621773.250,30405,4,DC,2,100,EA
1700427446.942567,621798.500,30405,4,DC,2,100,2
1700427446.968364,621823.750,30405,4,DC,2,100,EL
1700427446.994160,621849.000,30405,4,DC,2,100,2
1700427447.020212,621874.500,30422,4,DC,2,100,EA
1700427447.046264,621900.000,30422,4,DC,2,100,1
1700427447.072316,621925.500,30422,4,DC,2,100,EL
1700427447.098367,621951.000,30422,4,DC,2,100,1
1700427447.124164,621976.250,30443,4,DC,2,100,EA
1700427447.149961,622001.500,30443,4,DC,2,100,2
1700427447.175757,622026.750,30443,4,DC,2,100,EL
1700427447.201553,622052.000,30443,4,DC,2,100,2
1700427447.227094,622077.000,30459,4,DC,2,100,EA
1700427447.252635,622102.000,30459,4,DC,2,100,1
1700427447.278176,622127.000,30459,4,DC,2,100,EL
1700427447.303717,622152.000,30459,4,DC,2,100,1
1700427447.329769,622177.500,30476,4,DC,2,100,EA
1700427447.355821,622203.000,30476,4,DC,2,100,2
1700427447.381873,622228.500,30476,4,DC,2,100,EL
1700427447.407925,622254.000,30476,4,DC,2,100,2
1700427447.433466,622279.000,30492,4,DC,2,100,EA
1700427447.459007,622304.000,30492,4,DC,2,100,1
1700427447.484548,622329.000,30492,4,DC,2,100,EL
1700427447.510089,622354.000,30492,4,DC,2,100,1
1700427447.535885,622379.250,30509,4,DC,2,100,EA
1700427447.561682,622404.500,30509,4,DC,2,100,2
1700427447.587478,622429.750,30509,4,DC,2,100,EL
1700427447.613274,622455.000,30509,4,DC,2,100,2
1700427447.639326,622480.500,30526,4,DC,2,100,EA
1700427447.665378,622506.000,30526,4,DC,2,100,2
1700427447.691430,622531.500,30526,4,DC,2,100,EL
1700427447.717482,622557.000,30526,4,DC,2,100,2
1700427447.743023,622582.000,30543,4,DC,2,100,EA
1700427447.768564,622607.000,30543,4,DC,2,100,1
1700427447.794105,622632.000,30543,4,DC,2,100,EL
1700427447.819646,622657.000,30543,4,DC,2,100,1
1700427447.845442,622682.250,30558,4,DC,2,100,EA
1700427447.871238,622707.500,30558,4,DC,2,100,2
1700427447.897035,622732.750,30558,4,DC,2,100,EL
1700427447.922831,622758.000,30558,4,DC,2,100,2
1700427447.948628,622783.250,30575,4,DC,2,100,EA
1700427447.974424,622808.500,30575,4,DC,2,100,1
1700427448.000221,622833.750,30575,4,DC,2,100,EL
1700427448.026017,622859.000,30575,4,DC,2,100,1
1700427448.052069,622884.500,30594,4,DC,2,100,EA
1700427448.078121,622910.000,30594,4,DC,2,100,2
1700427448.104172,622935.500,30594,4,DC,2,100,EL
1700427448.130224,622961.000,30594,4,DC,2,100,2
1700427448.155765,622986.000,30611,4,DC,2,100,EA
1700427448.181306,623011.000,30611,4,DC,2,100,1
1700427448.206847,623036.000,30611,4,DC,2,100,EL
1700427448.232388,623061.000,30611,4,DC,2,100,1
1700427448.258185,623086.250,30627,4,DC,2,100,EA
1700427448.283981,623111.500,30627,4,DC,2,100,2
1700427448.309778,623136.750,30627,4,DC,2,100,EL
1700427448.335574,623162.000,30627,4,DC,2,100,2
1700427448.376184,623201.750,30645,4,DC,2,100,EA
1700427448.416795,623241.500,30645,4,DC,2,100,2
1700427448.457405,623281.250,30645,4,DC,2,100,EL
1700427448.498015,623321.000,30645,4,DC,2,100,2
1700427448.523556,623346.000,30661,4,DC,2,100,EA
1700427448.549097,623371.000,30661,4,DC,2,100,2
1700427448.574638,623396.000,30661,4,DC,2,100,EL
1700427448.600179,623421.000,30661,4,DC,2,100,2
1700427448.625975,623446.250,30678,4,DC,2,100,EA
1700427448.651772,623471.500,30678,4,DC,2,100,1
1700427448.677568,623496.750,30678,4,DC,2,100,EL
1700427448.703365,623522.000,30678,4,DC,2,100,1
1700427448.729416,623547.500,30695,4,DC,2,100,EA
1700427448.755468,623573.000,30695,4,DC,2,100,2
1700427448.781520,623598.500,30695,4,DC,2,100,EL
1700427448.807572,623624.000,30695,4,DC,2,100,2
1700427448.833113,623649.000,30712,4,DC,2,100,EA
1700427448.858654,623674.000,30712,4,DC,2,100,2
1700427448.884195,623699.000,30712,4,DC,2,100,EL
1700427448.909736,623724.000,30712,4,DC,2,100,2
1700427448.935532,623749.250,30728,4,DC,2,100,EA
1700427448.961329,623774.500,30728,4,DC,2,100,1
1700427448.987125,623799.750,30728,4,DC,2,100,EL
1700427449.012922,623825.000,30728,4,DC,2,100,1
1700427449.038974,623850.500,30747,4,DC,2,100,EA
1700427449.065025,623876.000,30747,4,DC,2,100,2
1700427449.091077,623901.500,30747,4,DC,2,100,EL
1700427449.117129,623927.000,30747,4,DC,2,100,2
1700427449.142670,623952.000,30763,4,DC,2,100,EA
1700427449.168211,623977.000,30763,4,DC,2,100,1
1700427449.193752,624002.000,30763,4,DC,2,100,EL
1700427449.219293,624027.000,30763,4,DC,2,100,1
1700427449.245345,624052.500,30782,4,DC,2,100,EA
1700427449.271397,624078.000,30782,4,DC,2,100,2
1700427449.297448,624103.500,30782,4,DC,2,100,EL
1700427449.323500,624129.000,30782,4,DC,2,100,2
1700427449.349297,624154.250,30799,4,DC,2,100,EA
1700427449.375093,624179.500,30799,4,DC,2,100,1
1700427449.400890,624204.750,30799,4,DC,2,100,EL
1700427449.426686,624230.000,30799,4,DC,2,100,1
1700427449.452227,624255.000,30815,4,DC,2,100,EA
1700427449.477768,624280.000,30815,4,DC,2,100,2
1700427449.503309,624305.000,30815,4,DC,2,100,EL
1700427449.528850,624330.000,30815,4,DC,2,100,2
1700427449.554646,624355.250,30831,4,DC,2,100,EA
1700427449.580443,624380.500,30831,4,DC,2,100,1
1700427449.606239,624405.750,30831,4,DC,2,100,EL
1700427449.632036,624431.000,30831,4,DC,2,100,1
1700427449.658087,624456.500,30849,4,DC,2,100,EA
1700427449.684139,624482.000,30849,4,DC,2,100,2
1700427449.710191,624507.500,30849,4,DC,2,100,EL
1700427449.736243,624533.000,30849,4,DC,2,100,2
1700427449.761784,624558.000,30865,4,DC,2,100,EA
1700427449.787325,624583.000,30865,4,DC,2,100,2
1700427449.812866,624608.000,30865,4,DC,2,100,EL
1700427449.838407,624633.000,30865,4,DC,2,100,2
1700427449.864203,624658.250,30882,4,DC,2,100,EA
1700427449.890000,624683.500,30882,4,DC,2,100,1
1700427449.915796,624708.750,30882,4,DC,2,100,EL
1700427449.941593,624734.000,30882,4,DC,2,100,1
1700427449.967645,624759.500,30898,4,DC,2,100,EA
1700427449.993696,624785.000,30898,4,DC,2,100,2
1700427450.019748,624810.500,30898,4,DC,2,100,EL
1700427450.045800,624836.000,30898,4,DC,2,100,2
1700427450.071341,624861.000,30917,4,DC,2,100,EA
1700427450.096882,624886.000,30917,4,DC,2,100,1
1700427450.122423,624911.000,30917,4,DC,2,100,EL
1700427450.147964,624936.000,30917,4,DC,2,100,1
1700427450.173760,624961.250,30933,4,DC,2,100,EA
1700427450.199557,624986.500,30933,4,DC,2,100,2
1700427450.225353,625011.750,30933,4,DC,2,100,EL
1700427450.251150,625037.000,30933,4,DC,2,100,2
1700427450.276946,625062.250,30950,4,DC,2,100,EA
1700427450.302743,625087.500,30950,4,DC,2,100,1
1700427450.328539,625112.750,30950,4,DC,2,100,EL
1700427450.354336,625138.000,30950,4,DC,2,100,1
1700427450.380643,625163.750,30966,4,DC,2,100,EA
1700427450.406950,625189.500,30966,4,DC,2,100,2
1700427450.433257,625215.250,30966,4,DC,2,100,EL
1700427450.459564,625241.000,30966,4,DC,2,100,2
1700427450.484850,625265.750,30983,4,DC,2,100,EA
1700427450.510136,625290.500,30983,4,DC,2,100,1
1700427450.535421,625315.250,30983,4,DC,2,100,EL
1700427450.560707,625340.000,30983,4,DC,2,100,1
1700427450.586759,625365.500,31001,4,DC,2,100,EA
1700427450.612810,625391.000,31001,4,DC,2,100,2
1700427450.638862,625416.500,31001,4,DC,2,100,EL
1700427450.664914,625442.000,31001,4,DC,2,100,2
1700427450.690711,625467.250,31019,4,DC,2,100,EA
1700427450.716507,625492.500,31019,4,DC,2,100,1
1700427450.742303,625517.750,31019,4,DC,2,100,EL
1700427450.768100,625543.000,31019,4,DC,2,100,1
1700427450.793641,625568.000,31035,4,DC,2,100,EA
1700427450.819182,625593.000,31035,4,DC,2,100,2
1700427450.844723,625618.000,31035,4,DC,2,100,EL
1700427450.870264,625643.000,31035,4,DC,2,100,2
1700427450.896060,625668.250,31051,4,DC,2,100,EA
1700427450.921857,625693.500,31051,4,DC,2,100,2
1700427450.947653,625718.750,31051,4,DC,2,100,EL
1700427450.973449,625744.000,31051,4,DC,2,100,2
1700427450.999501,625769.500,31068,4,DC,2,100,EA
1700427451.025553,625795.000,31068,4,DC,2,100,1
1700427451.051605,625820.500,31068,4,DC,2,100,EL
1700427451.077657,625846.000,31068,4,DC,2,100,1
1700427451.103198,625871.000,31087,4,DC,2,100,EA
1700427451.128739,625896.000,31087,4,DC,2,100,2
1700427451.154280,625921.000,31087,4,DC,2,100,EL
1700427451.179821,625946.000,31087,4,DC,2,100,2
1700427451.205617,625971.250,31103,4,DC,2,100,EA
1700427451.231414,625996.500,31103,4,DC,2,100,1
1700427451.257210,626021.750,31103,4,DC,2,100,EL
1700427451.283007,626047.000,31103,4,DC,2,100,1
1700427451.309058,626072.500,31120,4,DC,2,100,EA
1700427451.335110,626098.000,31120,4,DC,2,100,2
1700427451.361162,626123.500,31120,4,DC,2,100,EL
1700427451.387214,626149.000,31120,4,DC,2,100,2
1700427451.412755,626174.000,31136,4,DC,2,100,EA
1700427451.438296,626199.000,31136,4,DC,2,100,1
1700427451.463837,626224.000,31136,4,DC,2,100,EL
1700427451.489378,626249.000,31136,4,DC,2,100,1
1700427451.515174,626274.250,31153,4,DC,2,100,EA
1700427451.540971,626299.500,31153,4,DC,2,100,2
1700427451.566767,626324.750,31153,4,DC,2,100,EL
1700427451.592564,626350.000,31153,4,DC,2,100,2
1700427451.618360,626375.250,31169,4,DC,2,100,EA
1700427451.644156,626400.500,31169,4,DC,2,100,1
1700427451.669953,626425.750,31169,4,DC,2,100,EL
1700427451.695749,626451.000,31169,4,DC,2,100,1
