LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AZ
0.106000,1421697.000,27139,14,AZ,1,100,-0.359
0.106000,1421697.000,27139,14,AZ,1,100,-0.359
0.106000,1421697.000,27139,14,AZ,1,100,-0.352
0.106000,1421697.000,27139,14,AZ,1,100,-0.331
0.106000,1421697.000,27139,14,AZ,1,100,-0.292
0.106000,1421697.000,27139,14,AZ,1,100,-0.298
0.106000,1421697.000,27139,14,AZ,1,100,-0.303
0.106000,1421697.000,27139,14,AZ,1,100,-0.311
0.106000,1421697.000,27139,14,AZ,1,100,-0.322
0.106000,1421697.000,27139,14,AZ,1,100,-0.338
0.106000,1421697.000,27139,14,AZ,1,100,-0.331
0.106000,1421697.000,27139,14,AZ,1,100,-0.313
0.106000,1421697.000,27139,14,AZ,1,100,-0.313
0.106000,1421697.000,27139,14,AZ,1,100,-0.311
0.145000,1421736.000,27156,3,AZ,1,100,-0.310
0.184000,1421775.000,27156,3,AZ,1,100,-0.323
0.223000,1421814.000,27156,3,AZ,1,100,-0.318
0.255500,1421846.500,27172,2,AZ,1,100,-0.317
0.288000,1421879.000,27172,2,AZ,1,100,-0.329
0.327000,1421918.000,27189,3,AZ,1,100,-0.313
0.366000,1421957.000,27189,3,AZ,1,100,-0.305
0.405000,1421996.000,27189,3,AZ,1,100,-0.295
0.444000,1422035.000,27206,3,AZ,1,100,-0.313
0.483000,1422074.000,27206,3,AZ,1,100,-0.325
0.522000,1422113.000,27206,3,AZ,1,100,-0.323
0.560000,1422151.000,27225,2,AZ,1,100,-0.311
0.598000,1422189.000,27225,2,AZ,1,100,-0.311
0.637000,1422228.000,27240,3,AZ,1,100,-0.308
0.676000,1422267.000,27240,3,AZ,1,100,-0.308
0.715000,1422306.000,27240,3,AZ,1,100,-0.307
0.754000,1422345.000,27259,4,AZ,1,100,-0.313
0.793000,1422384.000,27259,4,AZ,1,100,-0.311
0.832000,1422423.000,27259,4,AZ,1,100,-0.322
0.871000,1422462.000,27259,4,AZ,1,100,-0.310
0.910000,1422501.000,27274,2,AZ,1,100,-0.310
0.949000,1422540.000,27274,2,AZ,1,100,-0.309
0.988000,1422579.000,27291,3,AZ,1,100,-0.307
1.027000,1422618.000,27291,3,AZ,1,100,-0.317
1.066000,1422657.000,27291,3,AZ,1,100,-0.312
1.104667,1422695.667,27308,3,AZ,1,100,-0.314
1.143333,1422734.333,27308,3,AZ,1,100,-0.311
1.182000,1422773.000,27308,3,AZ,1,100,-0.311
1.220500,1422811.500,27325,2,AZ,1,100,-0.311
1.259000,1422850.000,27325,2,AZ,1,100,-0.312
1.298000,1422889.000,27340,3,AZ,1,100,-0.311
1.337000,1422928.000,27340,3,AZ,1,100,-0.306
1.376000,1422967.000,27340,3,AZ,1,100,-0.307
1.415000,1423006.000,27358,2,AZ,1,100,-0.310
1.454000,1423045.000,27358,2,AZ,1,100,-0.306
1.493000,1423084.000,27376,3,AZ,1,100,-0.301
1.532000,1423123.000,27376,3,AZ,1,100,-0.298
1.571000,1423162.000,27376,3,AZ,1,100,-0.302
1.610667,1423201.667,27393,3,AZ,1,100,-0.318
1.650333,1423241.333,27393,3,AZ,1,100,-0.314
1.690000,1423281.000,27393,3,AZ,1,100,-0.317
1.729500,1423320.500,27410,2,AZ,1,100,-0.306
1.769000,1423360.000,27410,2,AZ,1,100,-0.298
1.808000,1423399.000,27426,3,AZ,1,100,-0.292
1.847000,1423438.000,27426,3,AZ,1,100,-0.301
1.886000,1423477.000,27426,3,AZ,1,100,-0.307
1.925000,1423516.000,27442,2,AZ,1,100,-0.315
1.964000,1423555.000,27442,2,AZ,1,100,-0.309
1.998000,1423589.000,27459,3,AZ,1,100,-0.318
2.032000,1423623.000,27459,3,AZ,1,100,-0.297
2.066000,1423657.000,27459,3,AZ,1,100,-0.300
2.105667,1423696.667,27476,3,AZ,1,100,-0.293
2.145333,1423736.333,27476,3,AZ,1,100,-0.307
2.185000,1423776.000,27476,3,AZ,1,100,-0.305
2.224000,1423815.000,27492,2,AZ,1,100,-0.307
2.263000,1423854.000,27492,2,AZ,1,100,-0.306
2.302000,1423893.000,27508,3,AZ,1,100,-0.295
2.341000,1423932.000,27508,3,AZ,1,100,-0.304
2.380000,1423971.000,27508,3,AZ,1,100,-0.299
