LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BV
0.463000,1422054.000,27213,1,BV,1,100,3.78
1.434000,1423025.000,27365,1,BV,1,100,3.77
2.412000,1424003.000,27533,1,BV,1,100,3.77
3.388000,1424979.000,27683,1,BV,1,100,3.77
4.361000,1425952.000,27852,1,BV,1,100,3.77
5.339000,1426930.000,28020,1,BV,1,100,3.76
6.314000,1427905.000,28173,1,BV,1,100,3.77
7.291000,1428882.000,28323,1,BV,1,100,3.77
8.264000,1429855.000,28492,1,BV,1,100,3.77
9.240000,1430831.000,28660,1,BV,1,100,3.76
10.218000,1431809.000,28812,1,BV,1,100,3.77
11.193000,1432784.000,28963,1,BV,1,100,3.76
12.172000,1433763.000,29132,1,BV,1,100,3.77
13.149000,1434740.000,29301,1,BV,1,100,3.76
14.122000,1435713.000,29454,1,BV,1,100,3.76
15.094000,1436685.000,29625,1,BV,1,100,3.77
16.065000,1437656.000,29796,1,BV,1,100,3.77
17.042000,1438633.000,29949,1,BV,1,100,3.76
18.019000,1439610.000,30102,1,BV,1,100,3.76
18.992000,1440583.000,30271,1,BV,1,100,3.76
19.966000,1441557.000,30441,1,BV,1,100,3.77
20.946000,1442537.000,30593,1,BV,1,100,3.78
21.919000,1443510.000,30764,1,BV,1,100,3.78
22.895000,1444486.000,30933,1,BV,1,100,3.78
23.870000,1445461.000,31087,1,BV,1,100,3.79
24.843000,1446434.000,31255,1,BV,1,100,3.79
25.822000,1447413.000,31425,1,BV,1,100,3.79
26.793000,1448384.000,31576,1,BV,1,100,3.79
27.769000,1449360.000,31746,1,BV,1,100,3.79
28.744000,1450335.000,31899,1,BV,1,100,3.79
29.715000,1451306.000,32070,1,BV,1,100,3.79
30.694000,1452285.000,32237,1,BV,1,100,3.79
31.670000,1453261.000,32389,1,BV,1,100,3.79
32.646000,1454237.000,32560,1,BV,1,100,3.79
33.620000,1455211.000,32713,1,BV,1,100,3.79
34.596000,1456187.000,32883,1,BV,1,100,3.79
35.567000,1457158.000,33035,1,BV,1,100,3.79
36.539000,1458130.000,33202,1,BV,1,100,3.79
37.516000,1459107.000,33354,1,BV,1,100,3.79
38.488000,1460079.000,33525,1,BV,1,100,3.79
39.470000,1461061.000,33693,1,BV,1,100,3.79
