LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MZ
0.106000,1421697.000,27145,14,MZ,1,100,-76
0.106000,1421697.000,27145,14,MZ,1,100,-77
0.106000,1421697.000,27145,14,MZ,1,100,-77
0.106000,1421697.000,27145,14,MZ,1,100,-75
0.106000,1421697.000,27145,14,MZ,1,100,-76
0.106000,1421697.000,27145,14,MZ,1,100,-76
0.106000,1421697.000,27145,14,MZ,1,100,-76
0.106000,1421697.000,27145,14,MZ,1,100,-75
0.106000,1421697.000,27145,14,MZ,1,100,-76
0.106000,1421697.000,27145,14,MZ,1,100,-77
0.106000,1421697.000,27145,14,MZ,1,100,-76
0.106000,1421697.000,27145,14,MZ,1,100,-75
0.106000,1421697.000,27145,14,MZ,1,100,-76
0.106000,1421697.000,27145,14,MZ,1,100,-76
0.145000,1421736.000,27162,3,MZ,1,100,-77
0.184000,1421775.000,27162,3,MZ,1,100,-77
0.223000,1421814.000,27162,3,MZ,1,100,-76
0.255500,1421846.500,27178,2,MZ,1,100,-77
0.288000,1421879.000,27178,2,MZ,1,100,-76
0.327000,1421918.000,27195,3,MZ,1,100,-76
0.366000,1421957.000,27195,3,MZ,1,100,-75
0.405000,1421996.000,27195,3,MZ,1,100,-76
0.444000,1422035.000,27212,3,MZ,1,100,-76
0.483000,1422074.000,27212,3,MZ,1,100,-76
0.522000,1422113.000,27212,3,MZ,1,100,-75
0.560000,1422151.000,27231,2,MZ,1,100,-76
0.598000,1422189.000,27231,2,MZ,1,100,-77
0.637000,1422228.000,27246,3,MZ,1,100,-74
0.676000,1422267.000,27246,3,MZ,1,100,-75
0.715000,1422306.000,27246,3,MZ,1,100,-77
0.754000,1422345.000,27265,4,MZ,1,100,-76
0.793000,1422384.000,27265,4,MZ,1,100,-75
0.832000,1422423.000,27265,4,MZ,1,100,-77
0.871000,1422462.000,27265,4,MZ,1,100,-75
0.910000,1422501.000,27280,2,MZ,1,100,-75
0.949000,1422540.000,27280,2,MZ,1,100,-77
0.988000,1422579.000,27297,3,MZ,1,100,-75
1.027000,1422618.000,27297,3,MZ,1,100,-76
1.066000,1422657.000,27297,3,MZ,1,100,-76
1.104667,1422695.667,27314,3,MZ,1,100,-75
1.143333,1422734.333,27314,3,MZ,1,100,-76
1.182000,1422773.000,27314,3,MZ,1,100,-75
1.220500,1422811.500,27331,2,MZ,1,100,-75
1.259000,1422850.000,27331,2,MZ,1,100,-76
1.298000,1422889.000,27346,3,MZ,1,100,-75
1.337000,1422928.000,27346,3,MZ,1,100,-77
1.376000,1422967.000,27346,3,MZ,1,100,-78
1.415000,1423006.000,27364,2,MZ,1,100,-76
1.454000,1423045.000,27364,2,MZ,1,100,-76
1.493000,1423084.000,27382,3,MZ,1,100,-75
1.532000,1423123.000,27382,3,MZ,1,100,-77
1.571000,1423162.000,27382,3,MZ,1,100,-77
1.610667,1423201.667,27399,3,MZ,1,100,-76
1.650333,1423241.333,27399,3,MZ,1,100,-75
1.690000,1423281.000,27399,3,MZ,1,100,-76
1.729500,1423320.500,27416,2,MZ,1,100,-75
1.769000,1423360.000,27416,2,MZ,1,100,-77
1.808000,1423399.000,27432,3,MZ,1,100,-76
1.847000,1423438.000,27432,3,MZ,1,100,-75
1.886000,1423477.000,27432,3,MZ,1,100,-75
1.925000,1423516.000,27448,2,MZ,1,100,-77
1.964000,1423555.000,27448,2,MZ,1,100,-75
1.998000,1423589.000,27465,3,MZ,1,100,-76
2.032000,1423623.000,27465,3,MZ,1,100,-76
2.066000,1423657.000,27465,3,MZ,1,100,-77
2.105667,1423696.667,27482,3,MZ,1,100,-76
2.145333,1423736.333,27482,3,MZ,1,100,-77
2.185000,1423776.000,27482,3,MZ,1,100,-77
2.224000,1423815.000,27498,2,MZ,1,100,-75
2.263000,1423854.000,27498,2,MZ,1,100,-76
2.302000,1423893.000,27514,3,MZ,1,100,-75
2.341000,1423932.000,27514,3,MZ,1,100,-77
2.380000,1423971.000,27514,3,MZ,1,100,-76
2.419000,1424010.000,27532,3,MZ,1,100,-76
2.458000,1424049.000,27532,3,MZ,1,100,-75
2.497000,1424088.000,27532,3,MZ,1,100,-75
2.536000,1424127.000,27550,2,MZ,1,100,-76
2.575000,1424166.000,27550,2,MZ,1,100,-76
2.613667,1424204.667,27567,3,MZ,1,100,-76
2.652333,1424243.333,27567,3,MZ,1,100,-76
2.691000,1424282.000,27567,3,MZ,1,100,-75
2.731000,1424322.000,27583,2,MZ,1,100,-76
2.771000,1424362.000,27583,2,MZ,1,100,-76
2.810000,1424401.000,27600,3,MZ,1,100,-76
2.849000,1424440.000,27600,3,MZ,1,100,-77
2.888000,1424479.000,27600,3,MZ,1,100,-76
2.927000,1424518.000,27616,3,MZ,1,100,-76
2.966000,1424557.000,27616,3,MZ,1,100,-75
3.005000,1424596.000,27616,3,MZ,1,100,-75
3.044000,1424635.000,27634,2,MZ,1,100,-76
3.083000,1424674.000,27634,2,MZ,1,100,-75
3.122000,1424713.000,27649,3,MZ,1,100,-75
3.161000,1424752.000,27649,3,MZ,1,100,-76
3.200000,1424791.000,27649,3,MZ,1,100,-76
3.239000,1424830.000,27666,2,MZ,1,100,-75
3.278000,1424869.000,27666,2,MZ,1,100,-75
3.316667,1424907.667,27682,3,MZ,1,100,-75
3.355333,1424946.333,27682,3,MZ,1,100,-75
3.394000,1424985.000,27682,3,MZ,1,100,-75
3.432667,1425023.667,27702,3,MZ,1,100,-76
3.471333,1425062.333,27702,3,MZ,1,100,-77
3.510000,1425101.000,27702,3,MZ,1,100,-77
3.549000,1425140.000,27718,2,MZ,1,100,-77
3.588000,1425179.000,27718,2,MZ,1,100,-75
3.627000,1425218.000,27734,3,MZ,1,100,-75
3.666000,1425257.000,27734,3,MZ,1,100,-75
3.705000,1425296.000,27734,3,MZ,1,100,-76
3.739667,1425330.667,27751,3,MZ,1,100,-76
3.774333,1425365.333,27751,3,MZ,1,100,-75
3.809000,1425400.000,27751,3,MZ,1,100,-76
3.848000,1425439.000,27768,2,MZ,1,100,-75
3.887000,1425478.000,27768,2,MZ,1,100,-76
3.926000,1425517.000,27784,3,MZ,1,100,-75
3.965000,1425556.000,27784,3,MZ,1,100,-76
4.004000,1425595.000,27784,3,MZ,1,100,-77
4.042333,1425633.333,27801,3,MZ,1,100,-76
4.080667,1425671.667,27801,3,MZ,1,100,-75
4.119000,1425710.000,27801,3,MZ,1,100,-75
4.158000,1425749.000,27817,2,MZ,1,100,-75
4.197000,1425788.000,27817,2,MZ,1,100,-75
4.236333,1425827.333,27834,3,MZ,1,100,-76
4.275667,1425866.667,27834,3,MZ,1,100,-75
4.315000,1425906.000,27834,3,MZ,1,100,-75
4.355000,1425946.000,27851,2,MZ,1,100,-76
4.395000,1425986.000,27851,2,MZ,1,100,-77
