LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PI
1700429565.532799,1223951.000,2271,6,PI,1,100,167561
1700429322.812261,986654.000,2271,6,PI,1,100,167566
1700429080.091723,749357.000,2271,6,PI,1,100,167570
1700428837.371185,512060.000,2271,6,PI,1,100,167590
1700428594.650647,274763.000,2271,6,PI,1,100,167587
1700428351.930109,37466.000,2271,6,PI,1,100,167587
1700428351.974092,37509.000,2288,3,PI,1,100,167606
1700428352.018075,37552.000,2288,3,PI,1,100,167593
1700428352.062057,37595.000,2288,3,PI,1,100,167592
1700428352.102631,37634.667,2305,3,PI,1,100,167585
1700428352.143204,37674.333,2305,3,PI,1,100,167588
1700428352.183777,37714.000,2305,3,PI,1,100,167599
1700428352.223669,37753.000,2321,2,PI,1,100,167607
1700428352.263560,37792.000,2321,2,PI,1,100,167602
1700428352.303451,37831.000,2337,3,PI,1,100,167610
1700428352.343343,37870.000,2337,3,PI,1,100,167619
1700428352.383234,37909.000,2337,3,PI,1,100,167632
1700428352.423125,37948.000,2353,2,PI,1,100,167654
1700428352.463017,37987.000,2353,2,PI,1,100,167669
1700428352.502908,38026.000,2367,3,PI,1,100,167676
1700428352.542799,38065.000,2367,3,PI,1,100,167674
1700428352.582691,38104.000,2367,3,PI,1,100,167673
1700428352.622241,38142.667,2384,3,PI,1,100,167675
1700428352.661792,38181.333,2384,3,PI,1,100,167666
1700428352.701342,38220.000,2384,3,PI,1,100,167662
1700428352.742256,38260.000,2399,2,PI,1,100,167657
1700428352.783170,38300.000,2399,2,PI,1,100,167643
1700428352.823062,38339.000,2415,3,PI,1,100,167604
1700428352.862953,38378.000,2415,3,PI,1,100,167604
1700428352.902845,38417.000,2415,3,PI,1,100,167589
1700428352.942736,38456.000,2431,3,PI,1,100,167578
1700428352.982627,38495.000,2431,3,PI,1,100,167527
1700428353.022519,38534.000,2431,3,PI,1,100,167476
1700428353.062410,38573.000,2448,2,PI,1,100,167445
1700428353.102301,38612.000,2448,2,PI,1,100,167385
1700428353.141852,38650.667,2463,3,PI,1,100,167369
1700428353.181402,38689.333,2463,3,PI,1,100,167340
1700428353.220953,38728.000,2463,3,PI,1,100,167328
1700428353.260333,38766.500,2480,2,PI,1,100,167319
1700428353.299712,38805.000,2480,2,PI,1,100,167295
1700428353.340627,38845.000,2495,3,PI,1,100,167267
1700428353.381541,38885.000,2495,3,PI,1,100,167279
1700428353.422455,38925.000,2495,3,PI,1,100,167304
1700428353.468995,38970.500,2510,2,PI,1,100,167315
1700428353.515535,39016.000,2510,2,PI,1,100,167314
1700428353.555426,39055.000,2525,3,PI,1,100,167317
1700428353.595318,39094.000,2525,3,PI,1,100,167335
1700428353.635209,39133.000,2525,3,PI,1,100,167438
1700428353.675101,39172.000,2542,2,PI,1,100,167428
1700428353.714992,39211.000,2542,2,PI,1,100,167414
1700428353.754627,39249.750,2559,4,PI,1,100,167382
1700428353.794263,39288.500,2559,4,PI,1,100,167354
1700428353.833899,39327.250,2559,4,PI,1,100,167389
1700428353.873534,39366.000,2559,4,PI,1,100,167389
1700428353.913426,39405.000,2575,2,PI,1,100,167339
1700428353.953317,39444.000,2575,2,PI,1,100,167311
1700428353.992867,39482.667,2590,3,PI,1,100,167352
1700428354.032418,39521.333,2590,3,PI,1,100,167346
1700428354.071968,39560.000,2590,3,PI,1,100,167385
1700428354.111348,39598.500,2608,2,PI,1,100,167350
1700428354.150728,39637.000,2608,2,PI,1,100,167315
1700428354.190620,39676.000,2623,3,PI,1,100,167279
1700428354.230511,39715.000,2623,3,PI,1,100,167253
1700428354.270402,39754.000,2623,3,PI,1,100,167281
1700428354.311316,39794.000,2640,3,PI,1,100,167290
1700428354.352231,39834.000,2640,3,PI,1,100,167174
1700428354.393145,39874.000,2640,3,PI,1,100,167154
1700428354.433548,39913.500,2655,2,PI,1,100,167192
1700428354.473951,39953.000,2655,2,PI,1,100,167179
1700428354.513842,39992.000,2670,3,PI,1,100,167178
1700428354.553733,40031.000,2670,3,PI,1,100,167161
1700428354.593625,40070.000,2670,3,PI,1,100,167162
1700428354.632834,40108.333,2686,3,PI,1,100,167206
1700428354.672044,40146.667,2686,3,PI,1,100,167250
1700428354.711253,40185.000,2686,3,PI,1,100,167273
1700428354.750633,40223.500,2702,2,PI,1,100,167289
1700428354.790013,40262.000,2702,2,PI,1,100,167316
1700428354.829904,40301.000,2717,2,PI,1,100,167344
