LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PR
1700429565.532799,1223951.000,2272,6,PR,1,100,132055
1700429322.812261,986654.000,2272,6,PR,1,100,132050
1700429080.091723,749357.000,2272,6,PR,1,100,132050
1700428837.371185,512060.000,2272,6,PR,1,100,132062
1700428594.650647,274763.000,2272,6,PR,1,100,132050
1700428351.930109,37466.000,2272,6,PR,1,100,132061
1700428351.974092,37509.000,2289,3,PR,1,100,132071
1700428352.018075,37552.000,2289,3,PR,1,100,132057
1700428352.062057,37595.000,2289,3,PR,1,100,132042
1700428352.102631,37634.667,2306,3,PR,1,100,132051
1700428352.143204,37674.333,2306,3,PR,1,100,132057
1700428352.183777,37714.000,2306,3,PR,1,100,132053
1700428352.223669,37753.000,2322,2,PR,1,100,132057
1700428352.263560,37792.000,2322,2,PR,1,100,132050
1700428352.303451,37831.000,2338,3,PR,1,100,132059
1700428352.343343,37870.000,2338,3,PR,1,100,132054
1700428352.383234,37909.000,2338,3,PR,1,100,132056
1700428352.423125,37948.000,2354,2,PR,1,100,132085
1700428352.463017,37987.000,2354,2,PR,1,100,132075
1700428352.502908,38026.000,2368,3,PR,1,100,132076
1700428352.542799,38065.000,2368,3,PR,1,100,132087
1700428352.582691,38104.000,2368,3,PR,1,100,132076
1700428352.622241,38142.667,2385,3,PR,1,100,132076
1700428352.661792,38181.333,2385,3,PR,1,100,132063
1700428352.701342,38220.000,2385,3,PR,1,100,132069
1700428352.742256,38260.000,2400,2,PR,1,100,132066
1700428352.783170,38300.000,2400,2,PR,1,100,132052
1700428352.823062,38339.000,2416,3,PR,1,100,132039
1700428352.862953,38378.000,2416,3,PR,1,100,132031
1700428352.902845,38417.000,2416,3,PR,1,100,132014
1700428352.942736,38456.000,2432,3,PR,1,100,131998
1700428352.982627,38495.000,2432,3,PR,1,100,131980
1700428353.022519,38534.000,2432,3,PR,1,100,131941
1700428353.062410,38573.000,2449,2,PR,1,100,131924
1700428353.102301,38612.000,2449,2,PR,1,100,131899
1700428353.141852,38650.667,2464,3,PR,1,100,131874
1700428353.181402,38689.333,2464,3,PR,1,100,131865
1700428353.220953,38728.000,2464,3,PR,1,100,131878
1700428353.260333,38766.500,2481,2,PR,1,100,131868
1700428353.299712,38805.000,2481,2,PR,1,100,131866
1700428353.340627,38845.000,2496,3,PR,1,100,131869
1700428353.381541,38885.000,2496,3,PR,1,100,131884
1700428353.422455,38925.000,2496,3,PR,1,100,131899
1700428353.468995,38970.500,2511,2,PR,1,100,131902
1700428353.515535,39016.000,2511,2,PR,1,100,131923
1700428353.555426,39055.000,2526,3,PR,1,100,131919
1700428353.595318,39094.000,2526,3,PR,1,100,131937
1700428353.635209,39133.000,2526,3,PR,1,100,131988
1700428353.675101,39172.000,2543,2,PR,1,100,131970
1700428353.714992,39211.000,2543,2,PR,1,100,131976
1700428353.754627,39249.750,2560,4,PR,1,100,131956
1700428353.794263,39288.500,2560,4,PR,1,100,131918
1700428353.833899,39327.250,2560,4,PR,1,100,131950
1700428353.873534,39366.000,2560,4,PR,1,100,131940
1700428353.913426,39405.000,2576,2,PR,1,100,131916
1700428353.953317,39444.000,2576,2,PR,1,100,131895
1700428353.992867,39482.667,2591,3,PR,1,100,131928
1700428354.032418,39521.333,2591,3,PR,1,100,131914
1700428354.071968,39560.000,2591,3,PR,1,100,131926
1700428354.111348,39598.500,2609,2,PR,1,100,131920
1700428354.150728,39637.000,2609,2,PR,1,100,131889
1700428354.190620,39676.000,2624,3,PR,1,100,131856
1700428354.230511,39715.000,2624,3,PR,1,100,131857
1700428354.270402,39754.000,2624,3,PR,1,100,131869
1700428354.311316,39794.000,2641,3,PR,1,100,131866
1700428354.352231,39834.000,2641,3,PR,1,100,131794
1700428354.393145,39874.000,2641,3,PR,1,100,131796
1700428354.433548,39913.500,2656,2,PR,1,100,131814
1700428354.473951,39953.000,2656,2,PR,1,100,131799
1700428354.513842,39992.000,2671,3,PR,1,100,131811
1700428354.553733,40031.000,2671,3,PR,1,100,131806
1700428354.593625,40070.000,2671,3,PR,1,100,131808
1700428354.632834,40108.333,2687,3,PR,1,100,131826
1700428354.672044,40146.667,2687,3,PR,1,100,131862
1700428354.711253,40185.000,2687,3,PR,1,100,131875
1700428354.750633,40223.500,2703,2,PR,1,100,131874
1700428354.790013,40262.000,2703,2,PR,1,100,131896
1700428354.829904,40301.000,2718,2,PR,1,100,131912
1700428354.869796,40340.000,2718,2,PR,1,100,131915
1700428354.914460,40383.667,2737,3,PR,1,100,131923
1700428354.959125,40427.333,2737,3,PR,1,100,131920
1700428355.003790,40471.000,2737,3,PR,1,100,131861
1700428355.044363,40510.667,2751,3,PR,1,100,131832
1700428355.084936,40550.333,2751,3,PR,1,100,131822
1700428355.125510,40590.000,2751,3,PR,1,100,131812
1700428355.165401,40629.000,2769,2,PR,1,100,131800
1700428355.205292,40668.000,2769,2,PR,1,100,131795
1700428355.245184,40707.000,2785,3,PR,1,100,131791
1700428355.285075,40746.000,2785,3,PR,1,100,131813
1700428355.324966,40785.000,2785,3,PR,1,100,131813
1700428355.364858,40824.000,2801,2,PR,1,100,131808
1700428355.404749,40863.000,2801,2,PR,1,100,131816
1700428355.444299,40901.667,2815,3,PR,1,100,131819
1700428355.483850,40940.333,2815,3,PR,1,100,131816
1700428355.523400,40979.000,2815,3,PR,1,100,131806
1700428355.563292,41018.000,2831,2,PR,1,100,131823
1700428355.603183,41057.000,2831,2,PR,1,100,131840
1700428355.643075,41096.000,2847,3,PR,1,100,131824
1700428355.682966,41135.000,2847,3,PR,1,100,131826
1700428355.722857,41174.000,2847,3,PR,1,100,131850
1700428355.762748,41213.000,2865,3,PR,1,100,131855
1700428355.802640,41252.000,2865,3,PR,1,100,131869
1700428355.842531,41291.000,2865,3,PR,1,100,131863
1700428355.882423,41330.000,2880,2,PR,1,100,131845
1700428355.922314,41369.000,2880,2,PR,1,100,131805
1700428355.962205,41408.000,2896,3,PR,1,100,131785
1700428356.002097,41447.000,2896,3,PR,1,100,131778
1700428356.041988,41486.000,2896,3,PR,1,100,131769
1700428356.081368,41524.500,2913,2,PR,1,100,131805
1700428356.120748,41563.000,2913,2,PR,1,100,131803
1700428356.160384,41601.750,2929,4,PR,1,100,131830
1700428356.200019,41640.500,2929,4,PR,1,100,131871
1700428356.239655,41679.250,2929,4,PR,1,100,131865
1700428356.279290,41718.000,2929,4,PR,1,100,131872
1700428356.325319,41763.000,2945,2,PR,1,100,131844
1700428356.371347,41808.000,2945,2,PR,1,100,131837
1700428356.410728,41846.500,2961,2,PR,1,100,131812
1700428356.450107,41885.000,2961,2,PR,1,100,131795
1700428356.489999,41924.000,2977,3,PR,1,100,131767
1700428356.529890,41963.000,2977,3,PR,1,100,131749
1700428356.569782,42002.000,2977,3,PR,1,100,131756
1700428356.610696,42042.000,2994,3,PR,1,100,131773
1700428356.651610,42082.000,2994,3,PR,1,100,131764
1700428356.692524,42122.000,2994,3,PR,1,100,131760
1700428356.732927,42161.500,3009,2,PR,1,100,131763
1700428356.773330,42201.000,3009,2,PR,1,100,131765
1700428356.813221,42240.000,3025,3,PR,1,100,131771
1700428356.853112,42279.000,3025,3,PR,1,100,131748
1700428356.893004,42318.000,3025,3,PR,1,100,131749
1700428356.932384,42356.500,3040,2,PR,1,100,131735
1700428356.971764,42395.000,3040,2,PR,1,100,131747
1700428357.011485,42433.833,3061,6,PR,1,100,131734
