LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BI
1700520706.451491,38772,1337,1,BI,1,100,8960
1700520708.986524,41251,1743,1,BI,1,100,2520
1700520713.625051,45787,2456,1,BI,1,100,4600
1700520714.657880,46797,2618,1,BI,1,100,1040
1700520715.508685,47629,2746,1,BI,1,100,840
1700520717.838175,49907,3105,1,BI,1,100,2320
1700520718.611263,50663,3236,1,BI,1,100,760
1700520720.794520,52798,3576,1,BI,1,100,2160
1700520723.199682,55150,3934,1,BI,1,100,2400
1700520724.850163,56764,4193,1,BI,1,100,1640
1700520727.394399,59252,4584,1,BI,1,100,2520
1700520728.361781,60198,4748,1,BI,1,100,960
1700520729.197248,61015,4878,1,BI,1,100,840
1700520730.614576,62401,5095,1,BI,1,100,1400
1700520732.228243,63979,5336,1,BI,1,100,1600
1700520733.237552,64966,5499,1,BI,1,100,1000
1700520734.244816,65951,5661,1,BI,1,100,1000
1700520735.340024,67022,5827,1,BI,1,100,1080
1700520736.252185,67914,5975,1,BI,1,100,920
1700520737.145940,68788,6110,1,BI,1,100,880
1700520738.158317,69778,6274,1,BI,1,100,1000
1700520739.156378,70754,6436,1,BI,1,100,1000
1700520740.091037,71668,6569,1,BI,1,100,920
1700520741.056374,72612,6733,1,BI,1,100,960
1700520742.301904,73830,6917,1,BI,1,100,1240
1700520744.119070,75607,7211,1,BI,1,100,1800
1700520745.126333,76592,7377,1,BI,1,100,1000
1700520747.213466,78633,7702,1,BI,1,100,2080
1700520748.141989,79541,7833,1,BI,1,100,920
1700520749.063355,80442,7979,1,BI,1,100,920
1700520750.307863,81659,8174,1,BI,1,100,1240
1700520751.320239,82649,8336,1,BI,1,100,1000
1700520753.167060,84455,8614,1,BI,1,100,1840
1700520754.016843,85286,8760,1,BI,1,100,840
1700520754.732665,85986,8877,1,BI,1,100,720
1700520755.861619,87090,9041,1,BI,1,100,1120
1700520757.623564,88813,9338,1,BI,1,100,1760
1700520758.840461,90003,9516,1,BI,1,100,1200
1700520760.692395,91814,9796,1,BI,1,100,1840
1700520762.431843,93515,10055,1,BI,1,100,1720
1700520764.320590,95362,10340,1,BI,1,100,1880
1700520764.996531,96023,10455,1,BI,1,100,680
1700520766.408745,97404,10663,1,BI,1,100,1400
1700520767.463049,98435,10827,1,BI,1,100,1040
1700520768.062294,99021,10927,1,BI,1,100,600
1700520769.107394,100043,11094,1,BI,1,100,1040
1700520770.442914,101349,11288,1,BI,1,100,1320
1700520772.012609,102884,11532,1,BI,1,100,1560
1700520773.146676,103993,11709,1,BI,1,100,1120
1700520775.074282,105878,11987,1,BI,1,100,1920
1700520775.884184,106670,12121,1,BI,1,100,800
1700520777.053019,107813,12289,1,BI,1,100,1160
1700520777.851672,108594,12402,1,BI,1,100,800
1700520778.662596,109387,12537,1,BI,1,100,800
1700520779.757804,110458,12699,1,BI,1,100,1080
1700520780.634174,111315,12848,1,BI,1,100,880
1700520781.763128,112419,13029,1,BI,1,100,1120
1700520783.454513,114073,13289,1,BI,1,100,1680
1700520784.780829,115370,13505,1,BI,1,100,1320
1700520785.433250,116008,13605,1,BI,1,100,640
1700520786.269739,116826,13735,1,BI,1,100,840
1700520788.652404,119156,14110,1,BI,1,100,2360
1700520790.184263,120654,14344,1,BI,1,100,1520
1700520792.271395,122695,14670,1,BI,1,100,2080
1700520793.724514,124116,14900,1,BI,1,100,1440
1700520794.770637,125139,15064,1,BI,1,100,1040
1700520795.655188,126004,15211,1,BI,1,100,880
1700520797.626767,127932,15504,1,BI,1,100,1960
1700520800.207817,130456,15899,1,BI,1,100,2560
1700520801.500387,131720,16098,1,BI,1,100,1280
1700520802.296994,132499,16226,1,BI,1,100,800
1700520803.065992,133251,16357,1,BI,1,100,760
1700520803.781814,133951,16472,1,BI,1,100,720
1700520805.598979,135728,16739,1,BI,1,100,1800
1700520807.167652,137262,16984,1,BI,1,100,1560
1700520808.939823,138995,17278,1,BI,1,100,1760
1700520809.616786,139657,17377,1,BI,1,100,680
1700520811.835834,141827,17721,1,BI,1,100,2200
1700520812.806284,142776,17870,1,BI,1,100,960
1700520813.926035,143871,18049,1,BI,1,100,1120
1700520814.737981,144665,18182,1,BI,1,100,800
1700520815.750358,145655,18331,1,BI,1,100,1000
1700520816.703424,146587,18476,1,BI,1,100,960
1700520818.729200,148568,18803,1,BI,1,100,2000
1700520819.685334,149503,18951,1,BI,1,100,960
1700520820.819401,150612,19118,1,BI,1,100,1120
1700520821.750992,151523,19264,1,BI,1,100,920
1700520822.765414,152515,19428,1,BI,1,100,1000
1700520824.168425,153887,19656,1,BI,1,100,1400
1700520825.582685,155270,19867,1,BI,1,100,1400
1700520826.458033,156126,20004,1,BI,1,100,880
1700520827.387579,157035,20152,1,BI,1,100,920
1700520828.026706,157660,20249,1,BI,1,100,640
1700520829.198609,158806,20446,1,BI,1,100,1160
1700520830.094409,159682,20579,1,BI,1,100,880
1700520831.294945,160856,20776,1,BI,1,100,1200
1700520833.105975,162627,21051,1,BI,1,100,1800
1700520834.670557,164157,21293,1,BI,1,100,1560
1700520835.352633,164824,21395,1,BI,1,100,680
1700520837.052199,166486,21654,1,BI,1,100,1680
1700520837.889711,167305,21784,1,BI,1,100,840
1700520838.976738,168368,21964,1,BI,1,100,1080
1700520840.067855,169435,22128,1,BI,1,100,1080
1700520840.944226,170292,22276,1,BI,1,100,880
1700520841.798100,171127,22395,1,BI,1,100,840
1700520843.207246,172505,22621,1,BI,1,100,1400
1700520845.013163,174271,22896,1,BI,1,100,1800
1700520846.221880,175453,23091,1,BI,1,100,1200
1700520847.115635,176327,23223,1,BI,1,100,880
1700520848.801907,177976,23494,1,BI,1,100,1680
1700520849.762131,178915,23642,1,BI,1,100,960
1700520850.694745,179827,23792,1,BI,1,100,920
1700520851.545550,180659,23924,1,BI,1,100,840
1700520852.299209,181396,24047,1,BI,1,100,760
1700520853.631660,182699,24242,1,BI,1,100,1320
1700520855.609374,184633,24570,1,BI,1,100,1960
1700520856.290428,185299,24667,1,BI,1,100,680
1700520857.182138,186171,24820,1,BI,1,100,880
1700520858.383696,187346,24999,1,BI,1,100,1200
1700520859.073953,188021,25099,1,BI,1,100,680
1700520860.241765,189163,25294,1,BI,1,100,1160
1700520861.974055,190857,25556,1,BI,1,100,1720
1700520863.383202,192235,25774,1,BI,1,100,1400
1700520863.938475,192778,25871,1,BI,1,100,560
1700520866.321140,195108,26243,1,BI,1,100,2360
1700520866.837554,195613,26326,1,BI,1,100,520
1700520867.774259,196529,26457,1,BI,1,100,920
1700520869.341909,198062,26699,1,BI,1,100,1560
1700520870.354286,199052,26863,1,BI,1,100,1000
1700520871.231679,199910,26991,1,BI,1,100,880
1700520872.282915,200938,27156,1,BI,1,100,1040
1700520873.211438,201846,27290,1,BI,1,100,920
1700520874.083719,202699,27433,1,BI,1,100,880
1700520875.097118,203690,27582,1,BI,1,100,1000
1700520876.063478,204635,27745,1,BI,1,100,960
1700520877.032905,205583,27894,1,BI,1,100,960
1700520877.995175,206524,28039,1,BI,1,100,960
1700520878.923698,207432,28171,1,BI,1,100,920
1700520879.936075,208422,28337,1,BI,1,100,1000
1700520880.810400,209277,28468,1,BI,1,100,880
1700520881.775738,210221,28612,1,BI,1,100,960
1700520882.826973,211249,28774,1,BI,1,100,1040
1700520883.817876,212218,28913,1,BI,1,100,1000
1700520884.794461,213173,29046,1,BI,1,100,960
