LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MY
1700520704.221195,36591.000,1012,15,MY,1,100,-3
1700520704.221195,36591.000,1012,15,MY,1,100,-3
1700520704.221195,36591.000,1012,15,MY,1,100,-2
1700520704.221195,36591.000,1012,15,MY,1,100,-2
1700520704.221195,36591.000,1012,15,MY,1,100,-2
1700520704.221195,36591.000,1012,15,MY,1,100,-2
1700520704.221195,36591.000,1012,15,MY,1,100,-4
1700520704.221195,36591.000,1012,15,MY,1,100,-3
1700520704.221195,36591.000,1012,15,MY,1,100,-2
1700520704.221195,36591.000,1012,15,MY,1,100,-2
1700520704.221195,36591.000,1012,15,MY,1,100,-3
1700520704.221195,36591.000,1012,15,MY,1,100,-4
1700520704.221195,36591.000,1012,15,MY,1,100,-2
1700520704.221195,36591.000,1012,15,MY,1,100,-2
1700520704.221195,36591.000,1012,15,MY,1,100,-3
1700520704.255963,36625.000,1029,3,MY,1,100,-3
1700520704.290731,36659.000,1029,3,MY,1,100,-3
1700520704.325500,36693.000,1029,3,MY,1,100,-2
1700520704.365381,36732.000,1046,3,MY,1,100,-3
1700520704.405263,36771.000,1046,3,MY,1,100,-3
1700520704.445145,36810.000,1046,3,MY,1,100,-4
1700520704.485026,36849.000,1062,3,MY,1,100,-4
1700520704.524908,36888.000,1062,3,MY,1,100,-3
1700520704.564789,36927.000,1062,3,MY,1,100,-4
1700520704.604671,36966.000,1080,2,MY,1,100,-3
1700520704.644552,37005.000,1080,2,MY,1,100,-2
1700520704.684434,37044.000,1095,3,MY,1,100,-2
1700520704.724315,37083.000,1095,3,MY,1,100,-3
1700520704.764197,37122.000,1095,3,MY,1,100,-4
1700520704.804078,37161.000,1110,2,MY,1,100,-4
1700520704.843960,37200.000,1110,2,MY,1,100,-3
1700520704.883159,37238.333,1127,3,MY,1,100,-4
1700520704.922359,37276.667,1127,3,MY,1,100,-5
1700520704.961559,37315.000,1127,3,MY,1,100,-6
1700520705.001441,37354.000,1142,3,MY,1,100,-7
1700520705.041322,37393.000,1142,3,MY,1,100,-9
1700520705.081203,37432.000,1142,3,MY,1,100,-10
1700520705.120574,37470.500,1158,2,MY,1,100,-10
1700520705.159944,37509.000,1158,2,MY,1,100,-12
1700520705.199826,37548.000,1173,3,MY,1,100,-13
1700520705.239707,37587.000,1173,3,MY,1,100,-14
1700520705.279588,37626.000,1173,3,MY,1,100,-16
1700520705.319981,37665.500,1190,4,MY,1,100,-15
1700520705.360374,37705.000,1190,4,MY,1,100,-17
1700520705.400767,37744.500,1190,4,MY,1,100,-17
1700520705.441160,37784.000,1190,4,MY,1,100,-17
