LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SF
1700520704.325500,36693.000,1015,1,SF,1,100,4.0690
1700520704.656823,37017.000,1066,1,SF,1,100,6.1042
1700520704.922700,37277.000,1113,1,SF,1,100,6.0336
1700520705.251978,37599.000,1160,1,SF,1,100,5.9638
1700520705.588415,37928.000,1210,1,SF,1,100,7.9770
1700520705.918715,38251.000,1259,1,SF,1,100,7.8847
1700520706.253107,38578.000,1306,1,SF,1,100,7.7935
1700520706.650899,38967.000,1374,1,SF,1,100,9.7856
1700520706.983245,39292.000,1420,1,SF,1,100,9.6724
1700520707.247077,39550.000,1468,1,SF,1,100,9.5605
1700520707.579422,39875.000,1514,1,SF,1,100,9.4499
1700520707.908701,40197.000,1565,1,SF,1,100,11.4229
1700520708.309561,40589.000,1627,1,SF,1,100,11.2907
1700520708.640884,40913.000,1678,1,SF,1,100,13.2424
1700520708.907784,41174.000,1727,1,SF,1,100,15.1714
1700520709.240129,41499.000,1776,1,SF,1,100,14.9959
1700520709.569408,41821.000,1823,1,SF,1,100,14.8225
1700520709.971291,42214.000,1889,1,SF,1,100,16.7332
1700520710.302614,42538.000,1935,1,SF,1,100,16.5397
1700520710.638028,42866.000,1988,1,SF,1,100,18.4306
1700520710.967306,43188.000,2038,1,SF,1,100,20.2996
1700520711.236250,43451.000,2086,1,SF,1,100,20.0648
1700520711.567574,43775.000,2134,1,SF,1,100,21.9150
1700520711.897875,44098.000,2183,1,SF,1,100,21.6614
1700520712.229198,44422.000,2230,1,SF,1,100,21.4109
1700520712.624945,44809.000,2294,1,SF,1,100,21.1632
1700520712.894912,45073.000,2341,1,SF,1,100,20.9184
1700520713.227258,45398.000,2389,1,SF,1,100,20.6764
1700520713.558582,45722.000,2438,1,SF,1,100,22.5194
1700520713.956374,46111.000,2504,1,SF,1,100,22.2589
1700520714.287698,46435.000,2550,1,SF,1,100,22.0014
1700520714.552552,46694.000,2600,1,SF,1,100,23.8292
1700520714.883875,47018.000,2652,1,SF,1,100,25.6358
1700520715.215198,47342.000,2699,1,SF,1,100,25.3392
1700520715.615036,47733.000,2766,1,SF,1,100,25.0461
1700520715.880913,47993.000,2799,1,SF,1,100,24.7564
1700520716.280751,48384.000,2863,1,SF,1,100,26.5522
1700520716.612074,48708.000,2914,1,SF,1,100,28.3273
1700520716.875906,48966.000,2961,1,SF,1,100,27.9996
1700520717.212342,49295.000,3007,1,SF,1,100,27.6757
1700520717.542643,49618.000,3055,1,SF,1,100,27.3556
1700520717.944525,50011.000,3123,1,SF,1,100,29.1214
1700520718.209380,50270.000,3171,1,SF,1,100,30.8668
1700520718.544793,50598.000,3219,1,SF,1,100,30.5097
1700520718.876117,50922.000,3271,1,SF,1,100,32.2390
1700520719.273909,51311.000,3335,1,SF,1,100,33.9483
1700520719.609323,51639.000,3384,1,SF,1,100,33.5556
1700520719.873155,51897.000,3433,1,SF,1,100,35.2497
1700520720.210613,52227.000,3480,1,SF,1,100,34.8419
1700520720.542959,52552.000,3526,1,SF,1,100,34.4388
1700520720.940752,52941.000,3592,1,SF,1,100,34.0405
1700520721.205606,53200.000,3631,1,SF,1,100,35.7289
