LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,HR
1667057458.983363,72668,9832,1,HR,1,100,55
1667057461.050589,74687,10173,1,HR,1,100,52
1667057461.846149,75464,10309,1,HR,1,100,55
1667057462.661163,76260,10430,1,HR,1,100,57
1667057463.458770,77039,10564,1,HR,1,100,59
1667057464.229757,77792,10685,1,HR,1,100,61
1667057465.031460,78575,10795,1,HR,1,100,63
1667057467.376160,80865,11150,1,HR,1,100,59
1667057468.907894,82361,11405,1,HR,1,100,56
1667057469.801747,83234,11563,1,HR,1,100,58
1667057471.417440,84812,11817,1,HR,1,100,55
1667057473.425281,86773,12154,1,HR,1,100,52
1667057476.566565,89841,12668,1,HR,1,100,48
1667057477.421510,90676,12802,1,HR,1,100,51
1667057478.179186,91416,12921,1,HR,1,100,54
1667057478.911265,92131,13042,1,HR,1,100,58
1667057479.636176,92839,13162,1,HR,1,100,61
1667057480.524910,93707,13318,1,HR,1,100,62
1667057481.259036,94424,13439,1,HR,1,100,64
1667057482.019784,95167,13559,1,HR,1,100,66
1667057482.956640,96082,13711,1,HR,1,100,66
1667057483.713292,96821,13848,1,HR,1,100,67
1667057484.448442,97539,13967,1,HR,1,100,69
1667057485.402705,98471,14120,1,HR,1,100,69
1667057486.136831,99188,14229,1,HR,1,100,70
1667057487.624538,100641,14484,1,HR,1,100,67
1667057488.340235,101340,14602,1,HR,1,100,69
1667057490.770941,103714,14996,1,HR,1,100,64
1667057492.380491,105286,15265,1,HR,1,100,60
1667057493.951133,106820,15521,1,HR,1,100,58
1667057494.607444,107461,15625,1,HR,1,100,62
1667057495.404027,108239,15759,1,HR,1,100,64
1667057496.258973,109074,15901,1,HR,1,100,65
1667057497.057604,109854,16037,1,HR,1,100,66
1667057498.590362,111351,16277,1,HR,1,100,63
1667057499.279438,112024,16394,1,HR,1,100,66
1667057499.996158,112724,16515,1,HR,1,100,68
1667057500.892059,113599,16651,1,HR,1,100,68
1667057503.756893,116397,17129,1,HR,1,100,62
1667057504.484876,117108,17246,1,HR,1,100,65
1667057505.204669,117811,17366,1,HR,1,100,67
1667057505.982822,118571,17487,1,HR,1,100,68
1667057508.229229,120765,17863,1,HR,1,100,63
1667057510.041508,122535,18152,1,HR,1,100,60
1667057511.450376,123911,18387,1,HR,1,100,58
1667057512.824432,125253,18614,1,HR,1,100,56
1667057514.393026,126785,18867,1,HR,1,100,54
1667057516.018957,128373,19139,1,HR,1,100,52
1667057518.590960,130885,19551,1,HR,1,100,49
1667057519.443858,131718,19685,1,HR,1,100,51
1667057522.058864,134272,20109,1,HR,1,100,48
1667057522.779680,134976,20215,1,HR,1,100,52
1667057523.587526,135765,20352,1,HR,1,100,55
1667057524.431208,136589,20486,1,HR,1,100,57
1667057525.162263,137303,20606,1,HR,1,100,60
1667057525.994683,138116,20760,1,HR,1,100,61
1667057526.887512,138988,20897,1,HR,1,100,62
1667057529.188185,141235,21274,1,HR,1,100,58
1667057530.189546,142213,21444,1,HR,1,100,58
1667057532.928442,144888,21874,1,HR,1,100,54
1667057533.974854,145910,22060,1,HR,1,100,54
1667057534.789868,146706,22180,1,HR,1,100,57
1667057537.277912,149136,22585,1,HR,1,100,53
1667057538.929441,150749,22861,1,HR,1,100,51
1667057541.224994,152991,23248,1,HR,1,100,48
1667057542.077891,153824,23385,1,HR,1,100,51
1667057544.446141,156137,23743,1,HR,1,100,48
1667057545.255011,156927,23880,1,HR,1,100,51
1667057546.946471,158579,24168,1,HR,1,100,49
1667057548.557045,160152,24430,1,HR,1,100,48
1667057550.821882,162364,24801,1,HR,1,100,45
1667057552.993545,164485,25156,1,HR,1,100,43
1667057555.289098,166727,25513,1,HR,1,100,41
1667057556.008891,167430,25633,1,HR,1,100,46
1667057557.340967,168731,25852,1,HR,1,100,46
1667057559.410241,170752,26181,1,HR,1,100,44
1667057562.098967,173378,26621,1,HR,1,100,42
1667057563.554934,174800,26860,1,HR,1,100,42
1667057565.736836,176931,27217,1,HR,1,100,40
1667057566.414649,177593,27318,1,HR,1,100,46
1667057567.147751,178309,27439,1,HR,1,100,50
1667057568.364128,179497,27641,1,HR,1,100,50
1667057569.855931,180954,27870,1,HR,1,100,49
1667057570.531696,181614,27989,1,HR,1,100,54
1667057573.480489,184494,28462,1,HR,1,100,50
1667057575.011199,185989,28703,1,HR,1,100,49
1667057577.553509,188472,29125,1,HR,1,100,46
1667057578.766815,189657,29312,1,HR,1,100,46
1667057580.098891,190958,29536,1,HR,1,100,46
1667057581.352128,192182,29739,1,HR,1,100,46
1667057584.336757,195097,30227,1,HR,1,100,43
1667057585.549039,196281,30421,1,HR,1,100,44
