LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SR
1669722215.221565,1054345,35635,1,SR,1,100,0.200000
1669722216.283136,1055382,35685,1,SR,1,100,0.066667
1669722216.616860,1055708,35737,1,SR,1,100,0.066667
1669722217.748042,1056813,35934,1,SR,1,100,0.200000
1669722218.079719,1057137,35966,1,SR,1,100,0.133333
1669722218.813708,1057854,36080,1,SR,1,100,0.066667
1669722222.271747,1061232,36612,1,SR,1,100,0.200000
1669722222.604447,1061557,36645,1,SR,1,100,0.066667
1669722224.800271,1063702,36980,1,SR,1,100,0.133333
1669722225.533236,1064418,37092,1,SR,1,100,0.133333
1669722227.794577,1066627,37388,1,SR,1,100,0.200000
1669722228.124206,1066949,37439,1,SR,1,100,0.133333
1669722229.059862,1067863,37582,1,SR,1,100,0.133333
1669722229.856297,1068641,37695,1,SR,1,100,0.066667
1669722230.057964,1068838,37727,1,SR,1,100,0.066667
1669722233.180231,1071888,38196,1,SR,1,100,0.066667
1669722234.244873,1072928,38371,1,SR,1,100,0.133333
1669722235.237857,1073898,38546,1,SR,1,100,0.266667
1669722236.037362,1074679,38641,1,SR,1,100,0.133333
1669722236.306593,1074942,38707,1,SR,1,100,0.200000
1669722245.556693,1083978,40104,1,SR,1,100,0.133333
1669722245.822854,1084238,40152,1,SR,1,100,0.200000
1669722247.022623,1085410,40328,1,SR,1,100,0.133333
1669722249.349480,1087683,40672,1,SR,1,100,0.066667
1669722250.020000,1088338,40800,1,SR,1,100,0.133333
1669722257.612739,1095755,41972,1,SR,1,100,0.200000
1669722291.820502,1129171,47160,1,SR,1,100,0.066667
1669722293.355019,1130670,47399,1,SR,1,100,0.066667
