LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EA
1669790657.111529,22695.000,1513,1,EA,1,100,0.030198
1669790657.177564,22759.500,1533,2,EA,1,100,0.030198
1669790657.243598,22824.000,1533,2,EA,1,100,0.030198
1669790657.309633,22888.500,1548,2,EA,1,100,0.030198
1669790657.375668,22953.000,1548,2,EA,1,100,0.030198
1669790657.443238,23019.000,1565,1,EA,1,100,0.030198
1669790657.509273,23083.500,1582,2,EA,1,100,0.030198
1669790657.575308,23148.000,1582,2,EA,1,100,0.030198
1669790657.642878,23214.000,1599,1,EA,1,100,0.030198
1669790657.708401,23278.000,1614,2,EA,1,100,0.030198
1669790657.773924,23342.000,1614,2,EA,1,100,0.030198
1669790657.840470,23407.000,1632,1,EA,1,100,0.030198
1669790657.906505,23471.500,1652,2,EA,1,100,0.030198
1669790657.972540,23536.000,1652,2,EA,1,100,0.030198
1669790658.039086,23601.000,1669,2,EA,1,100,0.030198
1669790658.105633,23666.000,1669,2,EA,1,100,0.030198
1669790658.172691,23731.500,1686,2,EA,1,100,0.030198
1669790658.239750,23797.000,1686,2,EA,1,100,0.030199
1669790658.307320,23863.000,1703,1,EA,1,100,0.030199
1669790658.374379,23928.500,1718,2,EA,1,100,0.030198
1669790658.441437,23994.000,1718,2,EA,1,100,0.030198
1669790658.507984,24059.000,1736,1,EA,1,100,0.030198
1669790658.574530,24124.000,1752,2,EA,1,100,0.030198
1669790658.641077,24189.000,1752,2,EA,1,100,0.030198
1669790658.709159,24255.500,1771,2,EA,1,100,0.030198
1669790658.777241,24322.000,1771,2,EA,1,100,0.030198
1669790658.843788,24387.000,1788,1,EA,1,100,0.030198
1669790658.910335,24452.000,1806,2,EA,1,100,0.030198
1669790658.976881,24517.000,1806,2,EA,1,100,0.030198
1669790659.042404,24581.000,1822,1,EA,1,100,0.030198
1669790659.108951,24646.000,1840,2,EA,1,100,0.030198
1669790659.175497,24711.000,1840,2,EA,1,100,0.030198
1669790659.241020,24775.000,1856,1,EA,1,100,0.030198
1669790659.309102,24841.500,1872,2,EA,1,100,0.030198
1669790659.377185,24908.000,1872,2,EA,1,100,0.030198
1669790659.443731,24973.000,1888,1,EA,1,100,0.030198
1669790659.510278,25038.000,1908,2,EA,1,100,0.030198
1669790659.576824,25103.000,1908,2,EA,1,100,0.030198
1669790659.643371,25168.000,1924,2,EA,1,100,0.030198
1669790659.709918,25233.000,1924,2,EA,1,100,0.030198
1669790659.776464,25298.000,1941,1,EA,1,100,0.030198
1669790659.843011,25363.000,1959,2,EA,1,100,0.030198
1669790659.909557,25428.000,1959,2,EA,1,100,0.030198
1669790659.975080,25492.000,1976,1,EA,1,100,0.030198
1669790660.041115,25556.500,1992,2,EA,1,100,0.030198
1669790660.107150,25621.000,1992,2,EA,1,100,0.030198
1669790660.173696,25686.000,2010,1,EA,1,100,0.030198
1669790660.240755,25751.500,2029,2,EA,1,100,0.030198
1669790660.307813,25817.000,2029,2,EA,1,100,0.030198
1669790660.375896,25883.500,2048,2,EA,1,100,0.030198
1669790660.443978,25950.000,2048,2,EA,1,100,0.030198
1669790660.510524,26015.000,2065,1,EA,1,100,0.030198
1669790660.577071,26080.000,2082,2,EA,1,100,0.030199
1669790660.643618,26145.000,2082,2,EA,1,100,0.030198
1669790660.708117,26208.000,2098,1,EA,1,100,0.030198
1669790660.774151,26272.500,2115,2,EA,1,100,0.030198
1669790660.840186,26337.000,2115,2,EA,1,100,0.030198
1669790660.908268,26403.500,2133,2,EA,1,100,0.030198
1669790660.976351,26470.000,2133,2,EA,1,100,0.030198
1669790661.043921,26536.000,2150,1,EA,1,100,0.030198
1669790661.110467,26601.000,2167,2,EA,1,100,0.030198
1669790661.177014,26666.000,2167,2,EA,1,100,0.030198
1669790661.243561,26731.000,2186,1,EA,1,100,0.030198
1669790661.310107,26796.000,2201,2,EA,1,100,0.030198
