LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GX
1669790657.163743,22746.000,1519,10,GX,1,100,-0.092
1669790657.163743,22746.000,1519,10,GX,1,100,0.153
1669790657.163743,22746.000,1519,10,GX,1,100,0.061
1669790657.163743,22746.000,1519,10,GX,1,100,-0.732
1669790657.163743,22746.000,1519,10,GX,1,100,-0.092
1669790657.163743,22746.000,1519,10,GX,1,100,0.244
1669790657.163743,22746.000,1519,10,GX,1,100,-0.336
1669790657.163743,22746.000,1519,10,GX,1,100,-0.031
1669790657.163743,22746.000,1519,10,GX,1,100,-0.641
1669790657.163743,22746.000,1519,10,GX,1,100,-0.336
1669790657.203671,22785.000,1538,2,GX,1,100,-0.244
1669790657.243598,22824.000,1538,2,GX,1,100,-0.214
1669790657.283526,22863.000,1554,3,GX,1,100,-0.458
1669790657.323454,22902.000,1554,3,GX,1,100,-0.244
1669790657.363382,22941.000,1554,3,GX,1,100,0.183
1669790657.403310,22980.000,1571,3,GX,1,100,0.061
1669790657.443238,23019.000,1571,3,GX,1,100,-0.153
1669790657.483166,23058.000,1571,3,GX,1,100,0.153
1669790657.523094,23097.000,1588,2,GX,1,100,-0.336
1669790657.563022,23136.000,1588,2,GX,1,100,-0.519
1669790657.602950,23175.000,1604,3,GX,1,100,-0.580
1669790657.642878,23214.000,1604,3,GX,1,100,-0.336
1669790657.682806,23253.000,1604,3,GX,1,100,0.092
1669790657.721710,23291.000,1620,2,GX,1,100,0.061
1669790657.760614,23329.000,1620,2,GX,1,100,-0.458
1669790657.800542,23368.000,1638,3,GX,1,100,-0.854
1669790657.840470,23407.000,1638,3,GX,1,100,-0.183
1669790657.880398,23446.000,1638,3,GX,1,100,-0.244
1669790657.919985,23484.667,1658,3,GX,1,100,0.702
1669790657.959572,23523.333,1658,3,GX,1,100,0.519
1669790657.999158,23562.000,1658,3,GX,1,100,0.732
1669790658.039086,23601.000,1675,2,GX,1,100,1.007
1669790658.079014,23640.000,1675,2,GX,1,100,0.488
1669790658.119198,23679.250,1692,4,GX,1,100,-0.122
1669790658.159382,23718.500,1692,4,GX,1,100,0.397
1669790658.199566,23757.750,1692,4,GX,1,100,0.366
1669790658.239750,23797.000,1692,4,GX,1,100,-0.061
1669790658.280360,23836.667,1708,3,GX,1,100,0.000
1669790658.320971,23876.333,1708,3,GX,1,100,0.397
1669790658.361581,23916.000,1708,3,GX,1,100,0.031
1669790658.401509,23955.000,1724,2,GX,1,100,-0.183
1669790658.441437,23994.000,1724,2,GX,1,100,-0.244
1669790658.476929,24028.667,1742,3,GX,1,100,-0.061
1669790658.512420,24063.333,1742,3,GX,1,100,0.061
1669790658.547912,24098.000,1742,3,GX,1,100,0.122
1669790658.588181,24137.333,1758,3,GX,1,100,0.000
1669790658.628450,24176.667,1758,3,GX,1,100,-0.336
1669790658.668720,24216.000,1758,3,GX,1,100,-0.671
1669790658.709671,24256.000,1777,2,GX,1,100,-0.732
1669790658.750623,24296.000,1777,2,GX,1,100,0.336
1669790658.790551,24335.000,1793,3,GX,1,100,0.336
1669790658.830479,24374.000,1793,3,GX,1,100,0.732
1669790658.870407,24413.000,1793,3,GX,1,100,0.885
1669790658.910335,24452.000,1812,2,GX,1,100,0.641
1669790658.950263,24491.000,1812,2,GX,1,100,0.427
1669790658.990191,24530.000,1828,3,GX,1,100,-0.305
1669790659.030119,24569.000,1828,3,GX,1,100,-0.031
1669790659.070047,24608.000,1828,3,GX,1,100,-0.336
1669790659.109633,24646.667,1846,3,GX,1,100,-0.244
1669790659.149220,24685.333,1846,3,GX,1,100,0.031
1669790659.188807,24724.000,1846,3,GX,1,100,0.061
1669790659.228734,24763.000,1861,2,GX,1,100,0.031
1669790659.268662,24802.000,1861,2,GX,1,100,0.061
1669790659.309273,24841.667,1878,3,GX,1,100,-0.031
1669790659.349884,24881.333,1878,3,GX,1,100,0.366
1669790659.390494,24921.000,1878,3,GX,1,100,0.183
1669790659.430422,24960.000,1894,2,GX,1,100,-0.031
1669790659.470350,24999.000,1894,2,GX,1,100,-0.275
1669790659.510278,25038.000,1914,3,GX,1,100,-0.549
1669790659.550206,25077.000,1914,3,GX,1,100,-0.580
1669790659.590134,25116.000,1914,3,GX,1,100,-0.671
1669790659.630062,25155.000,1930,3,GX,1,100,0.366
1669790659.669990,25194.000,1930,3,GX,1,100,0.610
1669790659.709918,25233.000,1930,3,GX,1,100,0.427
1669790659.749846,25272.000,1946,2,GX,1,100,0.488
1669790659.789773,25311.000,1946,2,GX,1,100,-0.092
1669790659.829701,25350.000,1965,3,GX,1,100,-0.702
1669790659.869629,25389.000,1965,3,GX,1,100,0.122
1669790659.909557,25428.000,1965,3,GX,1,100,0.183
1669790659.949485,25467.000,1982,2,GX,1,100,-0.061
1669790659.989413,25506.000,1982,2,GX,1,100,0.214
1669790660.028659,25544.333,1998,3,GX,1,100,0.153
1669790660.067904,25582.667,1998,3,GX,1,100,-0.061
1669790660.107150,25621.000,1998,3,GX,1,100,-0.427
1669790660.147078,25660.000,2015,3,GX,1,100,-0.427
1669790660.187006,25699.000,2015,3,GX,1,100,0.488
1669790660.226933,25738.000,2015,3,GX,1,100,0.702
1669790660.263108,25773.333,2035,3,GX,1,100,0.031
1669790660.299282,25808.667,2035,3,GX,1,100,-0.153
1669790660.335456,25844.000,2035,3,GX,1,100,-0.702
1669790660.376407,25884.000,2054,2,GX,1,100,-0.793
1669790660.417359,25924.000,2054,2,GX,1,100,-0.244
1669790660.457287,25963.000,2071,3,GX,1,100,-0.031
1669790660.497215,26002.000,2071,3,GX,1,100,-0.244
1669790660.537143,26041.000,2071,3,GX,1,100,0.183
1669790660.577071,26080.000,2088,3,GX,1,100,-0.244
1669790660.616999,26119.000,2088,3,GX,1,100,0.336
1669790660.656927,26158.000,2088,3,GX,1,100,0.366
1669790660.695831,26196.000,2103,2,GX,1,100,0.244
1669790660.734735,26234.000,2103,2,GX,1,100,-0.092
1669790660.774663,26273.000,2121,3,GX,1,100,0.244
1669790660.814591,26312.000,2121,3,GX,1,100,0.427
1669790660.854519,26351.000,2121,3,GX,1,100,0.092
1669790660.895129,26390.667,2139,3,GX,1,100,-0.153
1669790660.935740,26430.333,2139,3,GX,1,100,0.061
1669790660.976351,26470.000,2139,3,GX,1,100,0.183
1669790661.016790,26509.500,2156,2,GX,1,100,0.366
1669790661.057230,26549.000,2156,2,GX,1,100,0.305
1669790661.097158,26588.000,2173,3,GX,1,100,0.305
1669790661.137086,26627.000,2173,3,GX,1,100,0.183
1669790661.177014,26666.000,2173,3,GX,1,100,-0.275
1669790661.216942,26705.000,2191,2,GX,1,100,0.488
1669790661.256870,26744.000,2191,2,GX,1,100,0.671
1669790661.296798,26783.000,2207,3,GX,1,100,0.092
1669790661.336726,26822.000,2207,3,GX,1,100,0.519
1669790661.376654,26861.000,2207,3,GX,1,100,0.244
1669790661.416240,26899.667,2224,3,GX,1,100,-0.092
1669790661.455827,26938.333,2224,3,GX,1,100,-0.122
1669790661.495414,26977.000,2224,3,GX,1,100,0.458
1669790661.535342,27016.000,2241,2,GX,1,100,0.031
1669790661.575270,27055.000,2241,2,GX,1,100,-0.153
1669790661.615880,27094.667,2258,3,GX,1,100,0.397
1669790661.656491,27134.333,2258,3,GX,1,100,0.610
1669790661.697101,27174.000,2258,3,GX,1,100,0.214
1669790661.737029,27213.000,2273,2,GX,1,100,0.183
1669790661.776957,27252.000,2273,2,GX,1,100,0.580
1669790661.816885,27291.000,2291,3,GX,1,100,0.458
1669790661.856813,27330.000,2291,3,GX,1,100,0.336
1669790661.896741,27369.000,2291,3,GX,1,100,0.244
1669790661.932233,27403.667,2309,3,GX,1,100,0.549
1669790661.967724,27438.333,2309,3,GX,1,100,-0.214
1669790662.003216,27473.000,2309,3,GX,1,100,-1.007
1669790662.043144,27512.000,2328,2,GX,1,100,0.336
1669790662.083071,27551.000,2328,2,GX,1,100,0.336
1669790662.122317,27589.333,2344,3,GX,1,100,0.122
1669790662.161562,27627.667,2344,3,GX,1,100,0.244
1669790662.200808,27666.000,2344,3,GX,1,100,0.214
1669790662.240736,27705.000,2361,3,GX,1,100,-0.061
1669790662.280664,27744.000,2361,3,GX,1,100,-0.458
1669790662.320592,27783.000,2361,3,GX,1,100,0.000
1669790662.360520,27822.000,2377,2,GX,1,100,0.122
1669790662.400448,27861.000,2377,2,GX,1,100,-0.214
1669790662.440376,27900.000,2395,3,GX,1,100,-0.061
1669790662.480304,27939.000,2395,3,GX,1,100,0.183
1669790662.520231,27978.000,2395,3,GX,1,100,-0.031
1669790662.560671,28017.500,2410,2,GX,1,100,-0.458
1669790662.601111,28057.000,2410,2,GX,1,100,-0.397
1669790662.641722,28096.667,2427,3,GX,1,100,-0.214
