LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,T1
1669790657.169885,22752.000,1515,1,T1,1,100,27.257
1669790657.302979,22882.000,1550,1,T1,1,100,27.217
1669790657.436072,23012.000,1567,1,T1,1,100,27.271
1669790657.568141,23141.000,1584,1,T1,1,100,27.259
1669790657.702258,23272.000,1616,1,T1,1,100,27.289
1669790657.834327,23401.000,1634,1,T1,1,100,27.303
1669790657.966397,23530.000,1654,1,T1,1,100,27.308
1669790658.098466,23659.000,1671,1,T1,1,100,27.417
1669790658.232583,23790.000,1688,1,T1,1,100,27.287
1669790658.367724,23922.000,1720,1,T1,1,100,27.337
1669790658.500817,24052.000,1738,1,T1,1,100,27.358
1669790658.633910,24182.000,1754,1,T1,1,100,27.261
1669790658.770075,24315.000,1773,1,T1,1,100,27.290
1669790658.904192,24446.000,1808,1,T1,1,100,27.303
1669790659.036261,24575.000,1824,1,T1,1,100,27.273
1669790659.169355,24705.000,1842,1,T1,1,100,27.331
1669790659.302448,24835.000,1874,1,T1,1,100,27.391
1669790659.436565,24966.000,1890,1,T1,1,100,27.276
1669790659.569658,25096.000,1910,1,T1,1,100,27.261
1669790659.702751,25226.000,1926,1,T1,1,100,27.290
1669790659.834821,25355.000,1961,1,T1,1,100,27.338
1669790659.968937,25486.000,1978,1,T1,1,100,27.359
1669790660.101007,25615.000,1994,1,T1,1,100,27.333
1669790660.233076,25744.000,2031,1,T1,1,100,27.250
1669790660.369241,25877.000,2050,1,T1,1,100,27.179
1669790660.503358,26008.000,2067,1,T1,1,100,27.219
1669790660.636451,26138.000,2084,1,T1,1,100,27.308
1669790660.767497,26266.000,2117,1,T1,1,100,27.310
1669790660.900590,26396.000,2135,1,T1,1,100,27.418
1669790661.037778,26530.000,2152,1,T1,1,100,27.358
1669790661.170871,26660.000,2169,1,T1,1,100,27.368
1669790661.302941,26789.000,2203,1,T1,1,100,27.230
1669790661.436034,26919.000,2220,1,T1,1,100,27.241
1669790661.568103,27048.000,2237,1,T1,1,100,27.353
1669790661.703244,27180.000,2254,1,T1,1,100,27.365
1669790661.836337,27310.000,2287,1,T1,1,100,27.406
1669790661.968407,27439.000,2305,1,T1,1,100,27.424
1669790662.101500,27569.000,2324,1,T1,1,100,27.396
1669790662.234593,27699.000,2357,1,T1,1,100,27.491
1669790662.366663,27828.000,2373,1,T1,1,100,27.425
1669790662.499756,27958.000,2391,1,T1,1,100,27.432
1669790662.634896,28090.000,2423,1,T1,1,100,27.506
