LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AK
1669792105.632777,287892.000,42720,2,AK,1,100,41891
1669792105.632777,287892.000,42720,2,AK,1,100,RD
1669792105.639431,287898.500,42722,2,AK,1,100,41891
1669792105.646084,287905.000,42722,2,AK,1,100,RD
1669792105.669628,287928.000,42725,2,AK,1,100,42723
1669792105.693172,287951.000,42725,2,AK,1,100,RD
1669792108.279428,290477.500,43536,2,AK,1,100,42723
1669792110.865684,293004.000,43536,2,AK,1,100,RD
1669792113.494934,295572.500,44359,2,AK,1,100,43537
1669792116.124183,298141.000,44359,2,AK,1,100,RD
1669792116.130325,298147.000,44361,2,AK,1,100,43537
1669792116.136467,298153.000,44361,2,AK,1,100,RD
1669792116.191232,298206.500,44364,2,AK,1,100,44362
1669792116.245998,298260.000,44364,2,AK,1,100,RD
1669792118.793355,300748.500,45173,2,AK,1,100,44362
1669792121.340712,303237.000,45173,2,AK,1,100,RD
1669792123.955631,305791.500,45986,2,AK,1,100,45174
1669792126.570549,308346.000,45986,2,AK,1,100,RD
1669792129.198775,310913.500,46814,2,AK,1,100,45987
1669792131.827000,313481.000,46814,2,AK,1,100,RD
1669792131.837749,313491.500,46816,2,AK,1,100,45987
1669792131.848497,313502.000,46816,2,AK,1,100,RD
1669792131.884837,313537.500,46819,2,AK,1,100,46817
1669792131.921176,313573.000,46819,2,AK,1,100,RD
1669792134.482353,316075.000,47639,2,AK,1,100,46817
1669792137.043530,318577.000,47639,2,AK,1,100,RD
1669792137.059396,318592.500,47642,2,AK,1,100,47640
1669792137.075263,318608.000,47642,2,AK,1,100,RD
1669792139.677385,321150.000,48465,2,AK,1,100,47640
1669792142.279508,323692.000,48465,2,AK,1,100,RD
1669792144.913364,326265.000,49296,2,AK,1,100,48466
1669792147.547220,328838.000,49296,2,AK,1,100,RD
1669792147.557968,328848.500,49298,2,AK,1,100,48466
1669792147.568716,328859.000,49298,2,AK,1,100,RD
1669792147.595331,328885.000,49301,2,AK,1,100,49299
1669792147.621946,328911.000,49301,2,AK,1,100,RD
1669792150.192847,331422.500,50115,2,AK,1,100,49299
1669792152.763749,333934.000,50115,2,AK,1,100,RD
1669792155.387368,336497.000,50927,2,AK,1,100,50116
1669792158.010987,339060.000,50927,2,AK,1,100,RD
1669792158.019688,339068.500,50929,2,AK,1,100,50116
1669792158.028389,339077.000,50929,2,AK,1,100,RD
1669792158.042209,339090.500,50932,2,AK,1,100,50930
1669792158.056028,339104.000,50932,2,AK,1,100,RD
1669792160.642796,341631.000,51741,2,AK,1,100,50930
1669792163.229564,344158.000,51741,2,AK,1,100,RD
1669792163.253108,344181.000,51744,2,AK,1,100,51742
1669792163.276652,344204.000,51744,2,AK,1,100,RD
1669792165.877239,346744.500,52564,2,AK,1,100,51742
1669792168.477826,349285.000,52564,2,AK,1,100,RD
1669792168.490110,349297.000,52567,2,AK,1,100,52565
1669792168.502394,349309.000,52567,2,AK,1,100,RD
1669792171.113217,351859.500,53396,2,AK,1,100,52565
1669792173.724041,354410.000,53396,2,AK,1,100,RD
1669792176.349196,356974.500,54229,2,AK,1,100,53397
1669792178.974351,359539.000,54229,2,AK,1,100,RD
1669792178.984587,359549.000,54231,2,AK,1,100,53397
1669792178.994824,359559.000,54231,2,AK,1,100,RD
1669792179.022462,359586.000,54234,2,AK,1,100,54232
1669792179.050101,359613.000,54234,2,AK,1,100,RD
1669792181.649153,362152.000,55063,2,AK,1,100,54232
1669792184.248204,364691.000,55063,2,AK,1,100,RD
1669792186.863634,367246.000,55893,2,AK,1,100,55064
1669792189.479064,369801.000,55893,2,AK,1,100,RD
1669792189.484694,369806.500,55895,2,AK,1,100,55064
1669792189.490324,369812.000,55895,2,AK,1,100,RD
1669792189.502097,369823.500,55898,2,AK,1,100,55896
1669792189.513869,369835.000,55898,2,AK,1,100,RD
1669792192.138512,372399.000,56718,2,AK,1,100,55896
1669792194.763155,374963.000,56718,2,AK,1,100,RD
1669792197.384727,377524.000,57529,2,AK,1,100,56719
1669792200.006299,380085.000,57529,2,AK,1,100,RD
1669792200.016023,380094.500,57531,2,AK,1,100,56719
1669792200.025748,380104.000,57531,2,AK,1,100,RD
1669792200.040079,380118.000,57534,2,AK,1,100,57532
1669792200.054410,380132.000,57534,2,AK,1,100,RD
1669792202.646296,382664.000,58339,2,AK,1,100,57532
1669792205.238183,385196.000,58339,2,AK,1,100,RD
1669792205.261214,385218.500,58342,2,AK,1,100,58340
1669792205.284247,385241.000,58342,2,AK,1,100,RD
1669792207.887393,387784.000,59160,2,AK,1,100,58340
1669792210.490539,390327.000,59160,2,AK,1,100,RD
1669792210.522273,390358.000,59163,2,AK,1,100,59161
1669792210.554006,390389.000,59163,2,AK,1,100,RD
1669792213.151522,392926.500,59981,2,AK,1,100,59161
1669792215.749038,395464.000,59981,2,AK,1,100,RD
1669792215.761322,395476.000,59984,2,AK,1,100,59982
1669792215.773606,395488.000,59984,2,AK,1,100,RD
1669792218.384941,398039.000,60788,2,AK,1,100,59982
1669792220.996277,400590.000,60788,2,AK,1,100,RD
1669792223.632180,403165.000,61603,2,AK,1,100,60789
1669792226.268083,405740.000,61603,2,AK,1,100,RD
1669792226.274225,405746.000,61605,2,AK,1,100,60789
1669792226.280367,405752.000,61605,2,AK,1,100,RD
1669792226.292651,405764.000,61608,2,AK,1,100,61606
1669792226.304935,405776.000,61608,2,AK,1,100,RD
1669792228.899892,408311.000,62395,2,AK,1,100,61606
1669792231.494849,410846.000,62395,2,AK,1,100,RD
1669792231.507644,410858.500,62398,2,AK,1,100,62396
1669792231.520440,410871.000,62398,2,AK,1,100,RD
1669792234.128193,413418.500,63209,2,AK,1,100,62396
1669792236.735945,415966.000,63209,2,AK,1,100,RD
1669792236.748229,415978.000,63212,2,AK,1,100,63210
1669792236.760513,415990.000,63212,2,AK,1,100,RD
1669792239.374919,418544.000,64020,2,AK,1,100,63210
1669792241.989326,421098.000,64020,2,AK,1,100,RD
1669792242.029760,421137.500,64023,2,AK,1,100,64021
1669792242.070194,421177.000,64023,2,AK,1,100,RD
1669792244.664128,423711.000,64827,2,AK,1,100,64021
1669792247.258061,426245.000,64827,2,AK,1,100,RD
1669792247.302590,426288.500,64830,2,AK,1,100,64828
1669792247.347119,426332.000,64830,2,AK,1,100,RD
1669792249.927745,428853.000,91,2,AK,1,100,64828
1669792252.508371,431374.000,91,2,AK,1,100,RD
1669792252.520143,431385.500,94,2,AK,1,100,92
1669792252.531915,431397.000,94,2,AK,1,100,RD
1669792255.135061,433940.000,897,2,AK,1,100,92
1669792257.738208,436483.000,897,2,AK,1,100,RD
1669792257.759704,436504.000,900,2,AK,1,100,898
1669792257.781201,436525.000,900,2,AK,1,100,RD
1669792260.402773,439086.000,1709,2,AK,1,100,898
1669792263.024345,441647.000,1709,2,AK,1,100,RD
1669792263.069386,441691.000,1712,2,AK,1,100,1710
1669792263.114426,441735.000,1712,2,AK,1,100,RD
