LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BV
1671981902.772607,240277.000,36611,1,BV,1,100,4.13
1671981903.770518,241252.000,36763,1,BV,1,100,4.13
1671981904.770476,242229.000,36912,1,BV,1,100,4.13
1671981905.768387,243204.000,37073,1,BV,1,100,4.13
1671981906.764251,244177.000,37222,1,BV,1,100,4.13
1671981907.764209,245154.000,37385,1,BV,1,100,4.13
1671981908.761096,246128.000,37531,1,BV,1,100,4.13
1671981909.763101,247107.000,37699,1,BV,1,100,4.13
1671981910.756918,248078.000,37847,1,BV,1,100,4.13
1671981911.758923,249057.000,38011,1,BV,1,100,4.13
1671981912.757857,250033.000,38175,1,BV,1,100,4.13
1671981913.752698,251005.000,38322,1,BV,1,100,4.13
1671981914.754703,251984.000,38480,1,BV,1,100,4.13
1671981915.756708,252963.000,38643,1,BV,1,100,4.13
1671981916.757689,253941.000,38788,1,BV,1,100,4.13
1671981917.753553,254914.000,38930,1,BV,1,100,4.13
1671981918.750441,255888.000,39095,1,BV,1,100,4.13
1671981919.750399,256865.000,39250,1,BV,1,100,4.13
1671981920.745239,257837.000,39397,1,BV,1,100,4.13
1671981921.746221,258815.000,39558,1,BV,1,100,4.13
1671981922.745155,259791.000,39720,1,BV,1,100,4.13
1671981923.743066,260766.000,39868,1,BV,1,100,4.13
1671981924.742001,261742.000,40042,1,BV,1,100,4.13
1671981925.741959,262719.000,40186,1,BV,1,100,4.13
1671981926.741917,263696.000,40350,1,BV,1,100,4.12
1671981927.739828,264671.000,40500,1,BV,1,100,4.13
1671981928.739786,265648.000,40669,1,BV,1,100,4.13
1671981929.736673,266622.000,40832,1,BV,1,100,4.13
1671981930.739702,267602.000,40984,1,BV,1,100,4.13
1671981931.733519,268573.000,41130,1,BV,1,100,4.13
1671981932.728359,269545.000,41301,1,BV,1,100,4.13
1671981933.728317,270522.000,41468,1,BV,1,100,4.13
1671981934.724181,271495.000,41615,1,BV,1,100,4.13
1671981935.727209,272475.000,41768,1,BV,1,100,4.13
1671981936.725120,273450.000,41935,1,BV,1,100,4.13
1671981937.724055,274426.000,42098,1,BV,1,100,4.13
1671981938.726060,275405.000,42247,1,BV,1,100,4.13
1671981939.719877,276376.000,42416,1,BV,1,100,4.13
1671981940.722905,277356.000,42571,1,BV,1,100,4.13
1671981941.721840,278332.000,42718,1,BV,1,100,4.13
1671981942.719751,279307.000,42883,1,BV,1,100,4.13
1671981943.718685,280283.000,43047,1,BV,1,100,4.13
1671981944.717620,281259.000,43194,1,BV,1,100,4.13
1671981945.717578,282236.000,43363,1,BV,1,100,4.13
1671981946.712418,283208.000,43513,1,BV,1,100,4.13
1671981947.710329,284183.000,43661,1,BV,1,100,4.13
1671981948.711311,285161.000,43824,1,BV,1,100,4.13
1671981949.714339,286141.000,43991,1,BV,1,100,4.12
1671981950.713274,287117.000,44138,1,BV,1,100,4.12
1671981951.707091,288088.000,44295,1,BV,1,100,4.13
1671981952.708072,289066.000,44448,1,BV,1,100,4.12
1671981953.705983,290041.000,44609,1,BV,1,100,4.12
1671981954.705941,291018.000,44757,1,BV,1,100,4.13
1671981955.704875,291994.000,44926,1,BV,1,100,4.13
1671981956.702786,292969.000,45079,1,BV,1,100,4.13
1671981957.704792,293948.000,45244,1,BV,1,100,4.12
1671981958.698608,294919.000,45391,1,BV,1,100,4.13
1671981959.702661,295900.000,45560,1,BV,1,100,4.13
1671981960.701595,296876.000,45726,1,BV,1,100,4.13
1671981961.698483,297850.000,45866,1,BV,1,100,4.13
1671981962.703558,298832.000,46028,1,BV,1,100,4.12
1671981963.701469,299807.000,46192,1,BV,1,100,4.12
1671981964.700403,300783.000,46338,1,BV,1,100,4.13
1671981965.696267,301756.000,46502,1,BV,1,100,4.12
1671981966.691108,302728.000,46658,1,BV,1,100,4.12
1671981967.694136,303708.000,46804,1,BV,1,100,4.12
1671981968.691024,304682.000,46954,1,BV,1,100,4.12
1671981969.688935,305657.000,47121,1,BV,1,100,4.12
1671981970.687869,306633.000,47285,1,BV,1,100,4.12
1671981971.691921,307614.000,47430,1,BV,1,100,4.12
1671981972.689832,308589.000,47567,1,BV,1,100,4.12
1671981973.687743,309564.000,47732,1,BV,1,100,4.12
1671981974.686678,310540.000,47898,1,BV,1,100,4.13
1671981975.686636,311517.000,48045,1,BV,1,100,4.13
1671981976.690688,312498.000,48211,1,BV,1,100,4.13
1671981977.685528,313470.000,48368,1,BV,1,100,4.13
1671981978.684463,314446.000,48532,1,BV,1,100,4.12
1671981979.684421,315423.000,48681,1,BV,1,100,4.13
1671981980.678237,316394.000,48848,1,BV,1,100,4.13
1671981981.681266,317374.000,49013,1,BV,1,100,4.13
1671981982.685318,318355.000,49170,1,BV,1,100,4.13
1671981983.683229,319330.000,49317,1,BV,1,100,4.13
1671981984.680116,320304.000,49484,1,BV,1,100,4.13
1671981985.680074,321281.000,49654,1,BV,1,100,4.12
1671981986.681056,322259.000,49803,1,BV,1,100,4.13
1671981987.677943,323233.000,49977,1,BV,1,100,4.13
1671981988.675854,324208.000,50111,1,BV,1,100,4.12
1671981989.673765,325183.000,50275,1,BV,1,100,4.12
1671981990.675770,326162.000,50417,1,BV,1,100,4.13
1671981991.671634,327135.000,50579,1,BV,1,100,4.12
1671981992.669545,328110.000,50741,1,BV,1,100,4.12
1671981993.668480,329086.000,50889,1,BV,1,100,4.12
1671981994.666391,330061.000,51031,1,BV,1,100,4.13
1671981995.666349,331038.000,51189,1,BV,1,100,4.13
1671981996.664260,332013.000,51330,1,BV,1,100,4.12
1671981997.664218,332990.000,51489,1,BV,1,100,4.13
1671981998.660082,333963.000,51637,1,BV,1,100,4.13
1671981999.651852,334932.000,51795,1,BV,1,100,4.12
1671982000.649763,335907.000,51937,1,BV,1,100,4.12
1671982001.646650,336881.000,52096,1,BV,1,100,4.12
1671982002.645585,337857.000,52238,1,BV,1,100,4.12
1671982003.645543,338834.000,52386,1,BV,1,100,4.12
1671982004.641407,339807.000,52545,1,BV,1,100,4.12
1671982005.641365,340784.000,52706,1,BV,1,100,4.12
1671982006.636205,341756.000,52850,1,BV,1,100,4.12
1671982007.635139,342732.000,53011,1,BV,1,100,4.12
1671982008.632027,343706.000,53176,1,BV,1,100,4.12
1671982009.630961,344682.000,53320,1,BV,1,100,4.12
1671982010.627849,345656.000,53466,1,BV,1,100,4.12
1671982011.624736,346630.000,53627,1,BV,1,100,4.12
1671982012.621624,347604.000,53787,1,BV,1,100,4.12
1671982013.615441,348575.000,53930,1,BV,1,100,4.12
1671982014.613352,349550.000,54079,1,BV,1,100,4.12
1671982015.611263,350525.000,54239,1,BV,1,100,4.12
1671982016.611221,351502.000,54382,1,BV,1,100,4.12
1671982017.609132,352477.000,54545,1,BV,1,100,4.12
1671982018.600902,353446.000,54705,1,BV,1,100,4.12
1671982019.602907,354425.000,54841,1,BV,1,100,4.12
1671982020.597747,355397.000,54985,1,BV,1,100,4.12
1671982021.593611,356370.000,55145,1,BV,1,100,4.12
1671982022.592546,357346.000,55305,1,BV,1,100,4.12
1671982023.588410,358319.000,55450,1,BV,1,100,4.12
1671982024.591438,359299.000,55582,1,BV,1,100,4.12
1671982025.588326,360273.000,55743,1,BV,1,100,4.12
1671982026.588284,361250.000,55903,1,BV,1,100,4.12
1671982027.584148,362223.000,56047,1,BV,1,100,4.12
1671982028.583082,363199.000,56208,1,BV,1,100,4.12
1671982029.584064,364177.000,56375,1,BV,1,100,4.12
1671982030.585045,365155.000,56503,1,BV,1,100,4.12
1671982031.582956,366130.000,56664,1,BV,1,100,4.12
1671982032.577796,367102.000,56824,1,BV,1,100,4.13
1671982033.576731,368078.000,56965,1,BV,1,100,4.12
1671982034.573618,369052.000,57126,1,BV,1,100,4.12
1671982035.572553,370028.000,57275,1,BV,1,100,4.12
1671982036.571487,371004.000,57437,1,BV,1,100,4.12
1671982037.572469,371982.000,57585,1,BV,1,100,4.12
1671982038.574474,372961.000,57745,1,BV,1,100,4.12
1671982039.568291,373932.000,57889,1,BV,1,100,4.12
1671982040.570296,374911.000,58042,1,BV,1,100,4.12
1671982041.569230,375887.000,58207,1,BV,1,100,4.12
1671982042.563047,376858.000,58369,1,BV,1,100,4.12
1671982043.565052,377837.000,58513,1,BV,1,100,4.12
1671982044.565010,378814.000,58676,1,BV,1,100,4.12
1671982045.561898,379788.000,58828,1,BV,1,100,4.12
1671982046.560832,380764.000,58974,1,BV,1,100,4.12
1671982047.560790,381741.000,59141,1,BV,1,100,4.12
1671982048.561772,382719.000,59307,1,BV,1,100,4.12
1671982049.560706,383695.000,59452,1,BV,1,100,4.12
1671982050.558617,384670.000,59617,1,BV,1,100,4.12
1671982051.556528,385645.000,59780,1,BV,1,100,4.12
1671982052.560580,386626.000,59928,1,BV,1,100,4.12
1671982053.553374,387596.000,60089,1,BV,1,100,4.12
1671982054.548214,388568.000,60235,1,BV,1,100,4.12
1671982055.548172,389545.000,60404,1,BV,1,100,4.12
1671982056.544036,390518.000,60542,1,BV,1,100,4.12
1671982057.547065,391498.000,60711,1,BV,1,100,4.12
1671982058.542928,392471.000,60871,1,BV,1,100,4.12
1671982059.541863,393447.000,61021,1,BV,1,100,4.12
1671982060.540797,394423.000,61174,1,BV,1,100,4.12
1671982061.534615,395394.000,61326,1,BV,1,100,4.12
1671982062.535596,396372.000,61472,1,BV,1,100,4.12
1671982063.528389,397342.000,61637,1,BV,1,100,4.12
1671982064.525277,398316.000,61799,1,BV,1,100,4.12
1671982065.524211,399292.000,61948,1,BV,1,100,4.12
1671982066.522122,400267.000,62101,1,BV,1,100,4.12
1671982067.520033,401242.000,62254,1,BV,1,100,4.12
1671982068.514874,402214.000,62418,1,BV,1,100,4.12
1671982069.512785,403189.000,62566,1,BV,1,100,4.12
1671982070.511719,404165.000,62730,1,BV,1,100,4.12
1671982071.515771,405146.000,62879,1,BV,1,100,4.12
1671982072.513682,406121.000,63032,1,BV,1,100,4.12
1671982073.509546,407094.000,63194,1,BV,1,100,4.12
1671982074.506434,408068.000,63342,1,BV,1,100,4.12
1671982075.501274,409040.000,63506,1,BV,1,100,4.12
1671982076.499185,410015.000,63628,1,BV,1,100,4.12
1671982077.498120,410991.000,63765,1,BV,1,100,4.12
1671982078.496031,411966.000,63932,1,BV,1,100,4.12
1671982079.497012,412944.000,64097,1,BV,1,100,4.12
1671982080.495947,413920.000,64245,1,BV,1,100,4.12
1671982081.496928,414898.000,64410,1,BV,1,100,4.12
1671982082.492792,415871.000,64566,1,BV,1,100,4.12
1671982083.487633,416843.000,64727,1,BV,1,100,4.12
1671982084.489638,417822.000,64879,1,BV,1,100,4.12
1671982085.487549,418797.000,65040,1,BV,1,100,4.12
1671982086.486483,419773.000,65202,1,BV,1,100,4.12
1671982087.484394,420748.000,65355,1,BV,1,100,4.12
1671982088.483328,421724.000,65505,1,BV,1,100,4.12
1671982089.481239,422699.000,136,1,BV,1,100,4.12
1671982090.480174,423675.000,300,1,BV,1,100,4.12
1671982091.481155,424653.000,449,1,BV,1,100,4.12
1671982092.483160,425632.000,612,1,BV,1,100,4.12
1671982093.483118,426609.000,766,1,BV,1,100,4.12
1671982094.476935,427580.000,930,1,BV,1,100,4.12
1671982095.475870,428556.000,1077,1,BV,1,100,4.12
1671982096.473781,429531.000,1242,1,BV,1,100,4.12
1671982097.469645,430504.000,1407,1,BV,1,100,4.12
1671982098.469603,431481.000,1564,1,BV,1,100,4.12
1671982099.467514,432456.000,1711,1,BV,1,100,4.12
1671982100.468495,433434.000,1878,1,BV,1,100,4.12
1671982101.462312,434405.000,2041,1,BV,1,100,4.12
1671982102.460223,435380.000,2187,1,BV,1,100,4.12
1671982103.457111,436354.000,2340,1,BV,1,100,4.12
