LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EL
1671981902.604753,240113.000,36568,2,EL,1,100,-2158.000000
1671981902.604753,240113.000,36568,2,EL,1,100,-2170.800049
1671981902.671280,240178.000,36584,1,EL,1,100,-2167.399902
1671981902.738831,240244.000,36600,2,EL,1,100,-2170.399902
1671981902.806382,240310.000,36600,2,EL,1,100,-2174.600098
1671981902.873933,240376.000,36620,1,EL,1,100,-2175.199951
1671981902.940460,240441.000,36634,2,EL,1,100,-2175.800049
1671981903.006988,240506.000,36634,2,EL,1,100,-2176.399902
1671981903.072492,240570.000,36650,1,EL,1,100,-2176.000000
1671981903.139019,240635.000,36668,2,EL,1,100,-2174.199951
1671981903.205546,240700.000,36668,2,EL,1,100,-2177.399902
1671981903.271562,240764.500,36684,2,EL,1,100,-2181.399902
1671981903.337578,240829.000,36684,2,EL,1,100,-2182.199951
1671981903.404105,240894.000,36699,1,EL,1,100,-2184.600098
1671981903.470633,240959.000,36715,2,EL,1,100,-2192.800049
1671981903.537160,241024.000,36715,2,EL,1,100,-2205.399902
1671981903.603687,241089.000,36730,1,EL,1,100,-2212.800049
1671981903.670982,241154.750,36752,4,EL,1,100,-2215.600098
1671981903.738277,241220.500,36752,4,EL,1,100,-2222.800049
1671981903.805573,241286.250,36752,4,EL,1,100,-2231.600098
1671981903.872867,241352.000,36752,4,EL,1,100,-2240.600098
1671981903.939395,241417.000,36770,1,EL,1,100,-2243.399902
1671981904.005922,241482.000,36786,2,EL,1,100,-2244.800049
1671981904.072450,241547.000,36786,2,EL,1,100,-2254.399902
1671981904.138465,241611.500,36803,2,EL,1,100,-2266.199951
1671981904.204481,241676.000,36803,2,EL,1,100,-2276.800049
1671981904.269985,241740.000,36818,1,EL,1,100,-2283.199951
1671981904.337024,241805.500,36834,2,EL,1,100,-2294.399902
1671981904.404063,241871.000,36834,2,EL,1,100,-2295.800049
1671981904.472637,241938.000,36852,1,EL,1,100,-2297.399902
1671981904.539677,242003.500,36869,2,EL,1,100,-2301.600098
1671981904.606716,242069.000,36869,2,EL,1,100,-2307.800049
1671981904.673243,242134.000,36884,1,EL,1,100,-2314.000000
1671981904.738747,242198.000,36901,2,EL,1,100,-2319.600098
1671981904.804251,242262.000,36901,2,EL,1,100,-2321.199951
1671981904.871802,242328.000,36918,1,EL,1,100,-2324.600098
1671981904.938841,242393.500,36933,2,EL,1,100,-2323.800049
1671981905.005880,242459.000,36933,2,EL,1,100,-2326.399902
1671981905.072407,242524.000,36948,1,EL,1,100,-2331.000000
1671981905.138935,242589.000,36965,2,EL,1,100,-2340.399902
1671981905.205462,242654.000,36965,2,EL,1,100,-2344.800049
1671981905.271478,242718.500,36982,2,EL,1,100,-2345.000000
1671981905.337494,242783.000,36982,2,EL,1,100,-2343.399902
1671981905.405045,242849.000,36998,1,EL,1,100,-2351.199951
1671981905.471060,242913.500,37013,2,EL,1,100,-2362.800049
1671981905.537076,242978.000,37013,2,EL,1,100,-2364.600098
1671981905.602580,243042.000,37031,1,EL,1,100,-2368.000000
1671981905.669107,243107.000,37046,2,EL,1,100,-2374.399902
1671981905.735635,243172.000,37046,2,EL,1,100,-2380.800049
1671981905.802162,243237.000,37063,1,EL,1,100,-2386.800049
1671981905.868178,243301.500,37081,2,EL,1,100,-2389.399902
1671981905.934193,243366.000,37081,2,EL,1,100,-2394.199951
1671981906.001744,243432.000,37097,1,EL,1,100,-2401.399902
1671981906.067760,243496.500,37115,2,EL,1,100,-2402.000000
1671981906.133775,243561.000,37115,2,EL,1,100,-2406.800049
1671981906.199791,243625.500,37131,2,EL,1,100,-2414.199951
1671981906.265807,243690.000,37131,2,EL,1,100,-2419.000000
1671981906.332334,243755.000,37148,1,EL,1,100,-2426.000000
1671981906.398862,243820.000,37166,2,EL,1,100,-2428.800049
1671981906.465389,243885.000,37166,2,EL,1,100,-2429.199951
1671981906.530893,243949.000,37181,1,EL,1,100,-2432.199951
1671981906.597932,244014.500,37197,2,EL,1,100,-2434.600098
1671981906.664971,244080.000,37197,2,EL,1,100,-2436.000000
1671981906.731498,244145.000,37212,1,EL,1,100,-2440.000000
1671981906.798026,244210.000,37232,2,EL,1,100,-2446.600098
1671981906.864553,244275.000,37232,2,EL,1,100,-2445.199951
1671981906.931081,244340.000,37247,1,EL,1,100,-2452.199951
1671981906.996585,244404.000,37263,2,EL,1,100,-2453.199951
1671981907.062088,244468.000,37263,2,EL,1,100,-2453.800049
1671981907.130151,244534.500,37279,2,EL,1,100,-2458.600098
1671981907.198214,244601.000,37279,2,EL,1,100,-2456.000000
1671981907.264741,244666.000,37295,1,EL,1,100,-2464.000000
1671981907.331269,244731.000,37309,2,EL,1,100,-2472.199951
1671981907.397796,244796.000,37309,2,EL,1,100,-2478.399902
1671981907.464324,244861.000,37326,1,EL,1,100,-2486.199951
1671981907.530339,244925.500,37341,2,EL,1,100,-2489.600098
1671981907.596355,244990.000,37341,2,EL,1,100,-2495.199951
1671981907.662882,245055.000,37359,2,EL,1,100,-2497.199951
1671981907.729409,245120.000,37359,2,EL,1,100,-2496.399902
1671981907.797984,245187.000,37375,1,EL,1,100,-2503.399902
1671981907.865023,245252.500,37392,2,EL,1,100,-2515.800049
1671981907.932062,245318.000,37392,2,EL,1,100,-2518.399902
1671981907.998590,245383.000,37407,1,EL,1,100,-2524.199951
1671981908.065117,245448.000,37428,2,EL,1,100,-2515.000000
1671981908.131644,245513.000,37428,2,EL,1,100,-2519.399902
1671981908.197148,245577.000,37443,1,EL,1,100,-2521.399902
1671981908.263676,245642.000,37458,2,EL,1,100,-2526.600098
1671981908.330203,245707.000,37458,2,EL,1,100,-2525.600098
1671981908.396730,245772.000,37473,1,EL,1,100,-2527.800049
1671981908.462234,245836.000,37490,2,EL,1,100,-2532.000000
1671981908.527738,245900.000,37490,2,EL,1,100,-2535.800049
1671981908.593754,245964.500,37505,2,EL,1,100,-2537.800049
1671981908.659770,246029.000,37505,2,EL,1,100,-2545.600098
1671981908.727320,246095.000,37521,1,EL,1,100,-2553.399902
1671981908.795383,246161.500,37538,2,EL,1,100,-2558.800049
1671981908.863446,246228.000,37538,2,EL,1,100,-2559.600098
1671981908.929973,246293.000,37554,1,EL,1,100,-2564.000000
1671981908.996160,246357.667,37573,3,EL,1,100,-2568.199951
1671981909.062346,246422.333,37573,3,EL,1,100,-2572.399902
1671981909.128532,246487.000,37573,3,EL,1,100,-2578.800049
1671981909.195059,246552.000,37591,1,EL,1,100,-2580.600098
1671981909.261587,246617.000,37606,2,EL,1,100,-2588.000000
1671981909.328114,246682.000,37606,2,EL,1,100,-2589.000000
1671981909.394641,246747.000,37622,1,EL,1,100,-2595.600098
1671981909.462704,246813.500,37637,2,EL,1,100,-2603.399902
1671981909.530767,246880.000,37637,2,EL,1,100,-2605.399902
1671981909.597294,246945.000,37657,1,EL,1,100,-2608.199951
1671981909.663822,247010.000,37672,2,EL,1,100,-2610.000000
1671981909.730349,247075.000,37672,2,EL,1,100,-2612.199951
1671981909.796876,247140.000,37689,1,EL,1,100,-2617.600098
1671981909.862892,247204.500,37705,2,EL,1,100,-2620.800049
1671981909.928908,247269.000,37705,2,EL,1,100,-2622.800049
1671981909.994923,247333.500,37721,2,EL,1,100,-2629.399902
1671981910.060939,247398.000,37721,2,EL,1,100,-2634.800049
1671981910.126443,247462.000,37739,1,EL,1,100,-2636.399902
1671981910.193482,247527.500,37755,2,EL,1,100,-2631.800049
1671981910.260521,247593.000,37755,2,EL,1,100,-2639.000000
1671981910.326025,247657.000,37770,1,EL,1,100,-2640.600098
1671981910.392553,247722.000,37788,2,EL,1,100,-2648.199951
1671981910.459080,247787.000,37788,2,EL,1,100,-2648.800049
1671981910.525607,247852.000,37803,1,EL,1,100,-2653.600098
1671981910.591623,247916.500,37819,2,EL,1,100,-2658.399902
1671981910.657639,247981.000,37819,2,EL,1,100,-2662.000000
1671981910.724166,248046.000,37836,1,EL,1,100,-2664.600098
1671981910.790693,248111.000,37855,2,EL,1,100,-2668.399902
1671981910.857221,248176.000,37855,2,EL,1,100,-2670.600098
1671981910.923748,248241.000,37869,2,EL,1,100,-2669.800049
1671981910.990276,248306.000,37869,2,EL,1,100,-2672.600098
1671981911.056803,248371.000,37887,1,EL,1,100,-2679.800049
1671981911.124866,248437.500,37903,2,EL,1,100,-2686.000000
1671981911.192928,248504.000,37903,2,EL,1,100,-2694.000000
1671981911.259456,248569.000,37919,1,EL,1,100,-2697.600098
1671981911.325471,248633.500,37935,2,EL,1,100,-2698.600098
1671981911.391487,248698.000,37935,2,EL,1,100,-2700.800049
1671981911.456991,248762.000,37952,1,EL,1,100,-2704.399902
1671981911.523518,248827.000,37967,2,EL,1,100,-2704.399902
1671981911.590046,248892.000,37967,2,EL,1,100,-2713.199951
1671981911.656573,248957.000,37983,1,EL,1,100,-2721.800049
1671981911.724636,249023.500,38001,2,EL,1,100,-2725.800049
1671981911.792698,249090.000,38001,2,EL,1,100,-2725.600098
1671981911.859226,249155.000,38020,2,EL,1,100,-2730.199951
1671981911.925753,249220.000,38020,2,EL,1,100,-2731.800049
1671981911.991257,249284.000,38035,1,EL,1,100,-2734.000000
1671981912.057785,249349.000,38052,2,EL,1,100,-2738.800049
1671981912.124312,249414.000,38052,2,EL,1,100,-2740.399902
1671981912.192886,249481.000,38067,1,EL,1,100,-2743.000000
1671981912.259414,249546.000,38082,2,EL,1,100,-2754.399902
1671981912.325941,249611.000,38082,2,EL,1,100,-2756.199951
1671981912.392468,249676.000,38097,1,EL,1,100,-2760.800049
1671981912.458996,249741.000,38116,2,EL,1,100,-2765.399902
1671981912.525523,249806.000,38116,2,EL,1,100,-2767.399902
1671981912.591027,249870.000,38131,1,EL,1,100,-2769.000000
1671981912.657555,249935.000,38147,2,EL,1,100,-2771.800049
1671981912.724082,250000.000,38147,2,EL,1,100,-2775.399902
1671981912.790609,250065.000,38164,2,EL,1,100,-2778.600098
1671981912.857137,250130.000,38164,2,EL,1,100,-2783.000000
1671981912.922641,250194.000,38182,1,EL,1,100,-2788.800049
1671981912.989168,250259.000,38197,2,EL,1,100,-2793.800049
1671981913.055696,250324.000,38197,2,EL,1,100,-2799.800049
1671981913.122223,250389.000,38214,1,EL,1,100,-2804.000000
1671981913.188750,250454.000,38230,2,EL,1,100,-2799.600098
1671981913.255278,250519.000,38230,2,EL,1,100,-2801.399902
1671981913.320781,250583.000,38246,1,EL,1,100,-2810.800049
1671981913.387309,250648.000,38264,2,EL,1,100,-2811.199951
1671981913.453836,250713.000,38264,2,EL,1,100,-2812.600098
1671981913.519340,250777.000,38280,1,EL,1,100,-2816.600098
1671981913.585356,250841.500,38295,2,EL,1,100,-2817.800049
1671981913.651371,250906.000,38295,2,EL,1,100,-2820.199951
1671981913.718922,250972.000,38311,2,EL,1,100,-2827.800049
1671981913.786473,251038.000,38311,2,EL,1,100,-2831.800049
1671981913.855048,251105.000,38330,1,EL,1,100,-2831.000000
1671981913.921575,251170.000,38346,2,EL,1,100,-2832.199951
1671981913.988102,251235.000,38346,2,EL,1,100,-2835.399902
1671981914.054630,251300.000,38361,1,EL,1,100,-2842.800049
1671981914.121157,251365.000,38377,2,EL,1,100,-2852.399902
1671981914.187685,251430.000,38377,2,EL,1,100,-2856.800049
1671981914.253871,251494.667,38402,3,EL,1,100,-2860.600098
1671981914.320057,251559.333,38402,3,EL,1,100,-2861.800049
1671981914.386243,251624.000,38402,3,EL,1,100,-2871.800049
1671981914.454818,251691.000,38418,1,EL,1,100,-2875.000000
1671981914.521857,251756.500,38435,2,EL,1,100,-2871.800049
1671981914.588896,251822.000,38435,2,EL,1,100,-2881.600098
1671981914.655423,251887.000,38450,1,EL,1,100,-2889.800049
1671981914.721951,251952.000,38469,2,EL,1,100,-2890.800049
1671981914.788478,252017.000,38469,2,EL,1,100,-2891.199951
1671981914.853982,252081.000,38488,1,EL,1,100,-2896.000000
1671981914.919998,252145.500,38505,2,EL,1,100,-2905.000000
1671981914.986013,252210.000,38505,2,EL,1,100,-2905.000000
1671981915.054588,252277.000,38520,1,EL,1,100,-2908.800049
1671981915.121627,252342.500,38537,2,EL,1,100,-2906.600098
1671981915.188666,252408.000,38537,2,EL,1,100,-2911.199951
1671981915.254682,252472.500,38554,2,EL,1,100,-2917.399902
1671981915.320698,252537.000,38554,2,EL,1,100,-2916.600098
1671981915.388248,252603.000,38570,1,EL,1,100,-2916.000000
1671981915.456311,252669.500,38585,2,EL,1,100,-2919.600098
1671981915.524374,252736.000,38585,2,EL,1,100,-2925.199951
1671981915.590901,252801.000,38601,1,EL,1,100,-2932.199951
1671981915.657429,252866.000,38616,2,EL,1,100,-2934.399902
1671981915.723956,252931.000,38616,2,EL,1,100,-2940.399902
1671981915.789460,252995.000,38633,1,EL,1,100,-2947.399902
1671981915.855475,253059.500,38651,2,EL,1,100,-2954.399902
1671981915.921491,253124.000,38651,2,EL,1,100,-2953.600098
1671981915.989042,253190.000,38667,1,EL,1,100,-2949.800049
1671981916.056593,253256.000,38683,2,EL,1,100,-2953.600098
1671981916.124144,253322.000,38683,2,EL,1,100,-2950.800049
1671981916.191695,253388.000,38699,1,EL,1,100,-2951.399902
1671981916.257881,253452.667,38714,3,EL,1,100,-2952.399902
1671981916.324067,253517.333,38714,3,EL,1,100,-2956.399902
1671981916.390253,253582.000,38714,3,EL,1,100,-2950.199951
1671981916.455757,253646.000,38731,2,EL,1,100,-2950.000000
1671981916.521261,253710.000,38731,2,EL,1,100,-2946.000000
1671981916.588812,253776.000,38746,1,EL,1,100,-2936.399902
1671981916.656363,253842.000,38761,2,EL,1,100,-2928.199951
1671981916.723914,253908.000,38761,2,EL,1,100,-2922.399902
1671981916.791465,253974.000,38777,1,EL,1,100,-2925.199951
1671981916.857992,254039.000,38795,2,EL,1,100,-2925.800049
1671981916.924520,254104.000,38795,2,EL,1,100,-2921.600098
1671981916.991047,254169.000,38810,1,EL,1,100,-2922.800049
1671981917.057063,254233.500,38826,2,EL,1,100,-2933.800049
1671981917.123078,254298.000,38826,2,EL,1,100,-2940.800049
1671981917.189606,254363.000,38841,1,EL,1,100,-2941.800049
1671981917.255621,254427.500,38857,2,EL,1,100,-2934.600098
1671981917.321637,254492.000,38857,2,EL,1,100,-2939.000000
1671981917.388164,254557.000,38873,2,EL,1,100,-2944.600098
1671981917.454692,254622.000,38873,2,EL,1,100,-2945.800049
1671981917.521219,254687.000,38889,1,EL,1,100,-2948.199951
1671981917.587747,254752.000,38903,2,EL,1,100,-2947.000000
1671981917.654274,254817.000,38903,2,EL,1,100,-2951.800049
1671981917.719778,254881.000,38919,1,EL,1,100,-2953.000000
1671981917.786305,254946.000,38939,2,EL,1,100,-2950.399902
1671981917.852833,255011.000,38939,2,EL,1,100,-2954.800049
1671981917.918337,255075.000,38955,1,EL,1,100,-2961.399902
1671981917.984864,255140.000,38970,2,EL,1,100,-2962.600098
1671981918.051391,255205.000,38970,2,EL,1,100,-2970.199951
1671981918.117407,255269.500,38986,2,EL,1,100,-2984.800049
1671981918.183423,255334.000,38986,2,EL,1,100,-2993.600098
1671981918.250973,255400.000,39001,1,EL,1,100,-2996.000000
1671981918.318524,255466.000,39017,2,EL,1,100,-3006.000000
1671981918.386075,255532.000,39017,2,EL,1,100,-3012.399902
1671981918.453626,255598.000,39033,1,EL,1,100,-3014.800049
1671981918.520154,255663.000,39050,2,EL,1,100,-3012.399902
1671981918.586681,255728.000,39050,2,EL,1,100,-3020.199951
1671981918.653208,255793.000,39065,1,EL,1,100,-3026.600098
1671981918.718201,255856.500,39084,2,EL,1,100,-3026.600098
1671981918.783193,255920.000,39084,2,EL,1,100,-3020.000000
1671981918.850744,255986.000,39103,1,EL,1,100,-3017.800049
1671981918.917271,256051.000,39118,2,EL,1,100,-3026.800049
1671981918.983799,256116.000,39118,2,EL,1,100,-3031.800049
1671981919.050326,256181.000,39133,1,EL,1,100,-3038.199951
1671981919.116853,256246.000,39152,2,EL,1,100,-3037.399902
1671981919.183381,256311.000,39152,2,EL,1,100,-3042.399902
1671981919.249396,256375.500,39167,2,EL,1,100,-3045.800049
1671981919.315412,256440.000,39167,2,EL,1,100,-3052.000000
1671981919.381939,256505.000,39183,1,EL,1,100,-3055.199951
1671981919.449490,256571.000,39208,3,EL,1,100,-3059.600098
1671981919.517041,256637.000,39208,3,EL,1,100,-3060.000000
1671981919.584592,256703.000,39208,3,EL,1,100,-3062.199951
1671981919.651119,256768.000,39223,1,EL,1,100,-3068.199951
1671981919.717647,256833.000,39239,2,EL,1,100,-3076.000000
1671981919.784174,256898.000,39239,2,EL,1,100,-3080.800049
1671981919.850702,256963.000,39258,2,EL,1,100,-3079.000000
1671981919.917229,257028.000,39258,2,EL,1,100,-3080.600098
1671981919.982733,257092.000,39274,1,EL,1,100,-3084.800049
1671981920.049260,257157.000,39290,2,EL,1,100,-3095.000000
1671981920.115788,257222.000,39290,2,EL,1,100,-3100.800049
1671981920.181292,257286.000,39306,1,EL,1,100,-3105.000000
1671981920.247819,257351.000,39322,2,EL,1,100,-3102.800049
1671981920.314346,257416.000,39322,2,EL,1,100,-3105.199951
1671981920.380874,257481.000,39338,1,EL,1,100,-3113.199951
1671981920.447401,257546.000,39356,2,EL,1,100,-3115.000000
1671981920.513929,257611.000,39356,2,EL,1,100,-3116.199951
1671981920.579944,257675.500,39372,2,EL,1,100,-3118.800049
1671981920.645960,257740.000,39372,2,EL,1,100,-3119.199951
1671981920.712487,257805.000,39387,1,EL,1,100,-3121.800049
1671981920.778503,257869.500,39405,2,EL,1,100,-3128.000000
1671981920.844519,257934.000,39405,2,EL,1,100,-3127.199951
1671981920.910022,257998.000,39420,1,EL,1,100,-3129.600098
1671981920.977062,258063.500,39436,2,EL,1,100,-3135.000000
1671981921.044101,258129.000,39436,2,EL,1,100,-3139.199951
1671981921.112675,258196.000,39452,1,EL,1,100,-3143.199951
1671981921.179714,258261.500,39467,2,EL,1,100,-3147.800049
1671981921.246753,258327.000,39467,2,EL,1,100,-3153.600098
1671981921.313281,258392.000,39482,1,EL,1,100,-3161.000000
1671981921.379808,258457.000,39501,2,EL,1,100,-3160.000000
1671981921.446336,258522.000,39501,2,EL,1,100,-3159.600098
1671981921.512351,258586.500,39516,2,EL,1,100,-3160.000000
1671981921.578367,258651.000,39516,2,EL,1,100,-3161.399902
1671981921.643871,258715.000,39532,1,EL,1,100,-3166.800049
1671981921.711934,258781.500,39547,2,EL,1,100,-3174.000000
1671981921.779996,258848.000,39547,2,EL,1,100,-3181.800049
1671981921.846524,258913.000,39567,1,EL,1,100,-3177.600098
1671981921.913051,258978.000,39582,2,EL,1,100,-3175.199951
1671981921.979578,259043.000,39582,2,EL,1,100,-3180.399902
1671981922.046106,259108.000,39598,1,EL,1,100,-3183.800049
1671981922.112633,259173.000,39613,2,EL,1,100,-3184.199951
1671981922.179161,259238.000,39613,2,EL,1,100,-3188.199951
1671981922.243641,259301.000,39629,1,EL,1,100,-3194.399902
1671981922.310680,259366.500,39646,2,EL,1,100,-3191.399902
1671981922.377719,259432.000,39646,2,EL,1,100,-3195.600098
