LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MZ
1671981902.592471,240101.000,36578,15,MZ,1,100,-27
1671981902.592471,240101.000,36578,15,MZ,1,100,-27
1671981902.592471,240101.000,36578,15,MZ,1,100,-27
1671981902.592471,240101.000,36578,15,MZ,1,100,-27
1671981902.592471,240101.000,36578,15,MZ,1,100,-28
1671981902.592471,240101.000,36578,15,MZ,1,100,-27
1671981902.592471,240101.000,36578,15,MZ,1,100,-25
1671981902.592471,240101.000,36578,15,MZ,1,100,-27
1671981902.592471,240101.000,36578,15,MZ,1,100,-27
1671981902.592471,240101.000,36578,15,MZ,1,100,-26
1671981902.592471,240101.000,36578,15,MZ,1,100,-26
1671981902.592471,240101.000,36578,15,MZ,1,100,-26
1671981902.592471,240101.000,36578,15,MZ,1,100,-26
1671981902.592471,240101.000,36578,15,MZ,1,100,-27
1671981902.592471,240101.000,36578,15,MZ,1,100,-26
1671981902.632046,240139.667,36594,3,MZ,1,100,-25
1671981902.671621,240178.333,36594,3,MZ,1,100,-27
1671981902.711197,240217.000,36594,3,MZ,1,100,-26
1671981902.752137,240257.000,36610,2,MZ,1,100,-26
1671981902.793077,240297.000,36610,2,MZ,1,100,-27
1671981902.833334,240336.333,36629,3,MZ,1,100,-25
1671981902.873592,240375.667,36629,3,MZ,1,100,-26
1671981902.913849,240415.000,36629,3,MZ,1,100,-26
1671981902.949331,240449.667,36644,3,MZ,1,100,-25
1671981902.984812,240484.333,36644,3,MZ,1,100,-26
1671981903.020293,240519.000,36644,3,MZ,1,100,-27
1671981903.060210,240558.000,36660,2,MZ,1,100,-27
1671981903.100126,240597.000,36660,2,MZ,1,100,-27
1671981903.140043,240636.000,36678,3,MZ,1,100,-27
1671981903.179959,240675.000,36678,3,MZ,1,100,-28
1671981903.219875,240714.000,36678,3,MZ,1,100,-26
1671981903.259109,240752.333,36694,3,MZ,1,100,-27
1671981903.298344,240790.667,36694,3,MZ,1,100,-26
1671981903.337578,240829.000,36694,3,MZ,1,100,-26
1671981903.377494,240868.000,36708,2,MZ,1,100,-26
1671981903.417411,240907.000,36708,2,MZ,1,100,-26
1671981903.457327,240946.000,36725,3,MZ,1,100,-26
1671981903.497243,240985.000,36725,3,MZ,1,100,-26
1671981903.537160,241024.000,36725,3,MZ,1,100,-26
1671981903.577076,241063.000,36740,2,MZ,1,100,-27
1671981903.616993,241102.000,36740,2,MZ,1,100,-28
1671981903.657421,241141.500,36762,6,MZ,1,100,-26
1671981903.697849,241181.000,36762,6,MZ,1,100,-27
1671981903.738277,241220.500,36762,6,MZ,1,100,-25
1671981903.778706,241260.000,36762,6,MZ,1,100,-25
1671981903.819134,241299.500,36762,6,MZ,1,100,-26
1671981903.859562,241339.000,36762,6,MZ,1,100,-25
1671981903.899478,241378.000,36779,3,MZ,1,100,-25
1671981903.939395,241417.000,36779,3,MZ,1,100,-23
1671981903.979311,241456.000,36779,3,MZ,1,100,-23
1671981904.019228,241495.000,36796,3,MZ,1,100,-22
1671981904.059144,241534.000,36796,3,MZ,1,100,-21
1671981904.099061,241573.000,36796,3,MZ,1,100,-22
1671981904.138465,241611.500,36813,2,MZ,1,100,-20
1671981904.177870,241650.000,36813,2,MZ,1,100,-21
1671981904.217786,241689.000,36828,3,MZ,1,100,-21
1671981904.257703,241728.000,36828,3,MZ,1,100,-21
1671981904.297619,241767.000,36828,3,MZ,1,100,-23
1671981904.337536,241806.000,36844,2,MZ,1,100,-23
1671981904.377452,241845.000,36844,2,MZ,1,100,-22
1671981904.418392,241885.000,36861,3,MZ,1,100,-23
1671981904.459332,241925.000,36861,3,MZ,1,100,-23
1671981904.500272,241965.000,36861,3,MZ,1,100,-23
1671981904.540188,242004.000,36879,2,MZ,1,100,-23
1671981904.580105,242043.000,36879,2,MZ,1,100,-24
1671981904.620021,242082.000,36894,3,MZ,1,100,-23
1671981904.659938,242121.000,36894,3,MZ,1,100,-23
