LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SA
1671981901.914915,239439,36614,1,SA,1,100,0.000272
1671981903.469609,240958,36780,1,SA,1,100,0.000233
1671981904.072450,241547,36845,1,SA,1,100,0.000192
1671981905.072407,242524,36976,1,SA,1,100,0.000064
1671981905.469525,242912,37025,1,SA,1,100,0.000008
1671981905.668084,243106,37075,1,SA,1,100,0.000058
1671981905.934193,243366,37108,1,SA,1,100,0.000034
1671981906.133775,243561,37159,1,SA,1,100,0.000090
1671981906.731498,244145,37226,1,SA,1,100,0.000031
1671981907.330245,244730,37353,1,SA,1,100,0.000119
1671981907.797984,245187,37421,1,SA,1,100,0.000099
1671981908.659770,246029,37585,1,SA,1,100,0.000159
1671981909.394641,246747,37651,1,SA,1,100,0.000047
1671981909.928908,247269,37732,1,SA,1,100,0.000058
1671981910.326025,247657,37781,1,SA,1,100,0.000037
1671981910.525607,247852,37830,1,SA,1,100,0.000041
1671981911.056803,248371,37929,1,SA,1,100,0.000086
1671981911.522495,248826,37994,1,SA,1,100,0.000104
1671981912.258390,249545,38110,1,SA,1,100,0.000054
1671981912.857137,250130,38224,1,SA,1,100,0.000103
1671981913.255278,250519,38257,1,SA,1,100,0.000046
1671981913.718922,250972,38324,1,SA,1,100,0.000020
1671981914.054630,251300,38396,1,SA,1,100,0.000088
1671981914.386243,251624,38429,1,SA,1,100,0.000016
1671981914.588896,251822,38462,1,SA,1,100,0.000046
1671981914.853982,252081,38499,1,SA,1,100,0.000045
1671981915.188666,252408,38548,1,SA,1,100,0.000031
1671981915.524374,252736,38645,1,SA,1,100,0.000146
1671981917.387141,254556,38932,1,SA,1,100,0.000042
1671981917.852833,255011,39044,1,SA,1,100,0.000302
1671981918.586681,255728,39077,1,SA,1,100,0.000032
1671981918.916248,256050,39145,1,SA,1,100,0.000058
1671981919.183381,256311,39202,1,SA,1,100,0.000087
1671981919.584592,256703,39252,1,SA,1,100,0.000095
1671981920.048237,257156,39316,1,SA,1,100,0.000051
1671981920.314346,257416,39349,1,SA,1,100,0.000041
1671981920.910022,257998,39494,1,SA,1,100,0.000161
1671981921.712445,258782,39561,1,SA,1,100,0.000040
1671981922.179161,259238,39640,1,SA,1,100,0.000032
1671981922.508727,259560,39723,1,SA,1,100,0.000092
1671981923.042993,260082,39835,1,SA,1,100,0.000192
1671981923.645834,260671,39872,1,SA,1,100,0.000047
1671981924.112549,261127,39937,1,SA,1,100,0.000028
1671981924.576194,261580,40025,1,SA,1,100,0.000078
1671981924.908831,261905,40091,1,SA,1,100,0.000109
1671981925.503484,262486,40234,1,SA,1,100,0.000223
1671981926.307953,263272,40302,1,SA,1,100,0.000076
1671981926.708141,263663,40353,1,SA,1,100,0.000060
1671981927.239337,264182,40450,1,SA,1,100,0.000089
1671981927.505446,264442,40467,1,SA,1,100,0.000056
1671981927.705029,264637,40549,1,SA,1,100,0.000136
1671981928.170720,265092,40583,1,SA,1,100,0.000026
1671981928.373373,265290,40633,1,SA,1,100,0.000067
1671981928.640506,265551,40651,1,SA,1,100,0.000032
1671981928.972120,265875,40718,1,SA,1,100,0.000054
1671981929.240276,266137,40784,1,SA,1,100,0.000081
1671981930.239211,267113,40936,1,SA,1,100,0.000079
1671981930.971012,267828,41051,1,SA,1,100,0.000072
1671981931.433634,268280,41132,1,SA,1,100,0.000103
1671981931.832798,268670,41199,1,SA,1,100,0.000103
1671981932.230939,269059,41232,1,SA,1,100,0.000032
1671981932.429497,269253,41250,1,SA,1,100,0.000029
1671981932.629080,269448,41303,1,SA,1,100,0.000096
1671981932.895189,269708,41335,1,SA,1,100,0.000013
1671981933.227826,270033,41399,1,SA,1,100,0.000045
1671981933.495983,270295,41451,1,SA,1,100,0.000112
1671981933.825549,270617,41501,1,SA,1,100,0.000074
1671981934.162280,270946,41550,1,SA,1,100,0.000062
1671981934.958562,271724,41665,1,SA,1,100,0.000020
1671981935.293246,272051,41704,1,SA,1,100,0.000006
1671981935.490781,272244,41771,1,SA,1,100,0.000121
1671981935.893016,272637,41819,1,SA,1,100,0.000071
1671981936.293204,273028,41886,1,SA,1,100,0.000023
1671981936.824400,273547,41952,1,SA,1,100,0.000026
1671981937.157037,273872,42017,1,SA,1,100,0.000066
1671981937.425193,274134,42081,1,SA,1,100,0.000099
1671981937.824358,274524,42133,1,SA,1,100,0.000052
1671981938.493726,275178,42214,1,SA,1,100,0.000051
1671981938.693308,275373,42266,1,SA,1,100,0.000069
1671981938.958394,275632,42316,1,SA,1,100,0.000044
1671981939.223480,275891,42332,1,SA,1,100,0.000044
1671981939.423062,276086,42398,1,SA,1,100,0.000117
1671981939.953234,276604,42481,1,SA,1,100,0.000125
1671981940.355469,276997,42522,1,SA,1,100,0.000049
1671981940.689130,277323,42573,1,SA,1,100,0.000038
1671981940.888712,277518,42639,1,SA,1,100,0.000136
1671981941.621537,278234,42721,1,SA,1,100,0.000047
1671981942.355385,278951,42850,1,SA,1,100,0.000111
1671981943.089234,279668,42979,1,SA,1,100,0.000110
1671981943.552879,280121,43030,1,SA,1,100,0.000078
1671981944.415688,280964,43160,1,SA,1,100,0.000035
1671981944.751395,281292,43211,1,SA,1,100,0.000071
1671981945.015458,281550,43275,1,SA,1,100,0.000096
1671981945.480126,282004,43365,1,SA,1,100,0.000132
1671981945.949912,282463,43398,1,SA,1,100,0.000079
1671981946.282549,282788,43447,1,SA,1,100,0.000037
1671981946.612115,283110,43516,1,SA,1,100,0.000100
1671981946.879248,283371,43580,1,SA,1,100,0.000125
1671981947.477995,283956,43742,1,SA,1,100,0.000271
1671981948.612031,285064,43826,1,SA,1,100,0.000045
1671981949.147321,285587,43890,1,SA,1,100,0.000037
1671981949.344856,285780,43941,1,SA,1,100,0.000058
1671981949.614036,286043,43974,1,SA,1,100,0.000018
1671981950.077681,286496,44058,1,SA,1,100,0.000048
1671981950.480939,286890,44107,1,SA,1,100,0.000024
1671981950.811529,287213,44182,1,SA,1,100,0.000057
1671981951.007018,287404,44230,1,SA,1,100,0.000137
1671981951.606788,287990,44299,1,SA,1,100,0.000055
1671981952.010046,288384,44395,1,SA,1,100,0.000114
1671981952.541242,288903,44430,1,SA,1,100,0.000021
1671981953.010004,289361,44543,1,SA,1,100,0.000152
1671981953.605680,289943,44659,1,SA,1,100,0.000201
1671981954.469513,290787,44725,1,SA,1,100,0.000023
1671981954.673189,290986,44760,1,SA,1,100,0.000033
1671981954.872771,291181,44793,1,SA,1,100,0.000044
1671981955.071330,291375,44826,1,SA,1,100,0.000031
1671981955.406014,291702,44878,1,SA,1,100,0.000040
1671981955.605596,291897,44928,1,SA,1,100,0.000077
1671981956.002714,292285,44977,1,SA,1,100,0.000024
1671981956.735538,293001,45096,1,SA,1,100,0.000015
1671981956.939215,293200,45130,1,SA,1,100,0.000050
1671981957.202254,293457,45211,1,SA,1,100,0.000130
1671981957.671016,293915,45246,1,SA,1,100,0.000051
1671981958.069157,294304,45344,1,SA,1,100,0.000116
1671981958.665857,294887,45395,1,SA,1,100,0.000021
1671981958.864415,295081,45428,1,SA,1,100,0.000032
1671981959.334201,295540,45526,1,SA,1,100,0.000084
1671981959.668885,295867,45578,1,SA,1,100,0.000100
1671981960.066002,296255,45627,1,SA,1,100,0.000022
1671981960.268655,296453,45660,1,SA,1,100,0.000059
1671981960.469261,296649,45693,1,SA,1,100,0.000047
1671981960.799851,296972,45775,1,SA,1,100,0.000078
1671981961.462054,297619,45833,1,SA,1,100,0.000040
1671981961.663683,297816,45884,1,SA,1,100,0.000110
1671981962.134493,298276,45948,1,SA,1,100,0.000075
1671981962.868341,298993,46095,1,SA,1,100,0.000136
1671981963.466064,299577,46159,1,SA,1,100,0.000034
1671981963.798701,299902,46211,1,SA,1,100,0.000039
1671981964.533573,300620,46356,1,SA,1,100,0.000134
1671981965.330878,301399,46485,1,SA,1,100,0.000077
1671981965.862074,301918,46554,1,SA,1,100,0.000105
1671981966.192664,302241,46618,1,SA,1,100,0.000151
1671981966.590805,302630,46641,1,SA,1,100,0.000121
1671981966.992016,303022,46724,1,SA,1,100,0.000103
1671981967.526283,303544,46807,1,SA,1,100,0.000138
1671981968.059525,304065,46874,1,SA,1,100,0.000045
1671981968.255013,304256,46938,1,SA,1,100,0.000160
1671981968.855807,304843,47006,1,SA,1,100,0.000080
1671981969.259065,305237,47103,1,SA,1,100,0.000106
1671981969.723734,305691,47139,1,SA,1,100,0.000058
1671981970.254929,306210,47221,1,SA,1,100,0.000085
1671981970.521039,306470,47351,1,SA,1,100,0.000216
1671981971.659169,307582,47457,1,SA,1,100,0.000183
1671981972.524025,308427,47570,1,SA,1,100,0.000094
1671981972.987670,308880,47684,1,SA,1,100,0.000173
1671981973.653968,309531,47782,1,SA,1,100,0.000159
1671981974.121706,309988,47816,1,SA,1,100,0.000018
1671981974.323336,310185,47864,1,SA,1,100,0.000098
1671981974.923106,310771,47932,1,SA,1,100,0.000037
1671981975.256766,311097,47996,1,SA,1,100,0.000050
1671981975.456348,311292,48064,1,SA,1,100,0.000134
1671981975.923064,311748,48145,1,SA,1,100,0.000128
1671981976.523857,312335,48194,1,SA,1,100,0.000026
1671981977.121580,312919,48318,1,SA,1,100,0.000114
1671981977.519721,313308,48350,1,SA,1,100,0.000062
1671981978.451105,314218,48498,1,SA,1,100,0.000035
1671981978.650687,314413,48534,1,SA,1,100,0.000048
1671981978.850269,314608,48583,1,SA,1,100,0.000121
1671981979.185977,314936,48616,1,SA,1,100,0.000037
1671981979.784723,315521,48716,1,SA,1,100,0.000051
1671981980.182864,315910,48766,1,SA,1,100,0.000057
1671981980.381423,316104,48830,1,SA,1,100,0.000104
1671981980.981193,316690,48915,1,SA,1,100,0.000040
1671981981.248326,316951,48947,1,SA,1,100,0.000046
1671981981.447908,317146,48981,1,SA,1,100,0.000041
1671981981.648514,317342,49033,1,SA,1,100,0.000100
1671981982.381339,318058,49119,1,SA,1,100,0.000020
1671981982.583992,318256,49172,1,SA,1,100,0.000063
1671981982.850101,318516,49252,1,SA,1,100,0.000154
1671981983.384367,319038,49285,1,SA,1,100,0.000100
1671981984.050665,319689,49385,1,SA,1,100,0.000014
1671981984.382278,320013,49433,1,SA,1,100,0.000016
1671981984.714915,320338,49502,1,SA,1,100,0.000023
1671981984.912451,320531,49519,1,SA,1,100,0.000028
1671981985.112033,320726,49553,1,SA,1,100,0.000049
1671981985.311615,320921,49603,1,SA,1,100,0.000048
1671981985.579772,321183,49636,1,SA,1,100,0.000028
1671981985.780377,321379,49671,1,SA,1,100,0.000028
1671981986.248116,321836,49737,1,SA,1,100,0.000050
1671981986.447698,322031,49787,1,SA,1,100,0.000097
1671981986.847886,322422,49856,1,SA,1,100,0.000125
1671981987.178476,322745,49888,1,SA,1,100,0.000028
1671981987.640074,323196,49960,1,SA,1,100,0.000009
1671981987.974758,323523,50027,1,SA,1,100,0.000151
1671981988.311489,323852,50060,1,SA,1,100,0.000062
1671981988.709630,324241,50176,1,SA,1,100,0.000225
1671981989.440408,324955,50242,1,SA,1,100,0.000033
1671981989.909170,325413,50499,1,SA,1,100,0.001541
1671981991.307269,326779,50612,1,SA,1,100,0.066379
1671981992.302109,327751,50708,1,SA,1,100,0.019506
1671982033.477452,367981,56969,1,SA,1,100,0.000032
1671982037.139529,371559,57517,1,SA,1,100,0.000007
1671982037.341158,371756,57567,1,SA,1,100,0.000141
1671982039.403508,373771,57891,1,SA,1,100,0.000016
1671982040.203883,374553,57995,1,SA,1,100,0.000020
1671982041.001189,375332,58157,1,SA,1,100,0.000072
1671982041.734014,376048,58255,1,SA,1,100,0.000007
1671982042.132154,376437,58306,1,SA,1,100,0.000112
1671982043.996969,378259,58596,1,SA,1,100,0.000017
1671982044.465731,378717,58694,1,SA,1,100,0.000179
1671982044.995903,379235,58744,1,SA,1,100,0.000056
1671982045.461595,379690,58811,1,SA,1,100,0.000070
1671982045.931381,380149,58942,1,SA,1,100,0.000180
1671982046.727663,380927,59027,1,SA,1,100,0.000070
1671982047.057229,381249,59059,1,SA,1,100,0.000050
1671982047.257835,381445,59123,1,SA,1,100,0.000201
1671982047.796195,381971,59190,1,SA,1,100,0.000057
1671982047.995777,382166,59207,1,SA,1,100,0.000087
1671982048.195359,382361,59243,1,SA,1,100,0.000047
1671982048.529020,382687,59340,1,SA,1,100,0.000074
1671982048.927161,383076,59373,1,SA,1,100,0.000057
1671982049.990576,384115,59567,1,SA,1,100,0.000145
1671982050.458314,384572,59627,1,SA,1,100,0.000074
1671982050.727494,384835,59644,1,SA,1,100,0.000024
1671982051.060131,385160,59694,1,SA,1,100,0.000010
1671982051.257667,385353,59729,1,SA,1,100,0.000037
1671982051.456225,385547,59763,1,SA,1,100,0.000132
1671982051.725405,385810,59812,1,SA,1,100,0.000061
1671982052.123546,386199,59879,1,SA,1,100,0.000142
1671982052.922899,386980,60010,1,SA,1,100,0.000149
1671982053.520622,387564,60125,1,SA,1,100,0.000126
1671982054.448935,388471,60238,1,SA,1,100,0.000031
1671982054.714021,388730,60305,1,SA,1,100,0.000075
1671982055.381342,389382,60387,1,SA,1,100,0.000051
1671982055.717049,389710,60443,1,SA,1,100,0.000082
1671982056.047639,390033,60495,1,SA,1,100,0.000137
1671982056.644339,390616,60577,1,SA,1,100,0.000062
1671982056.976976,390941,60643,1,SA,1,100,0.000096
1671982057.243085,391201,60677,1,SA,1,100,0.000021
1671982057.446762,391400,60693,1,SA,1,100,0.000048
1671982057.779399,391725,60760,1,SA,1,100,0.000055
1671982058.442626,392373,60889,1,SA,1,100,0.000072
1671982058.839743,392761,60922,1,SA,1,100,0.000069
1671982059.043419,392960,60971,1,SA,1,100,0.000096
1671982059.309529,393220,61004,1,SA,1,100,0.000090
1671982059.575639,393480,61027,1,SA,1,100,0.000034
1671982060.241936,394131,61156,1,SA,1,100,0.000100
1671982060.772108,394649,61222,1,SA,1,100,0.000028
1671982061.170249,395038,61294,1,SA,1,100,0.000069
1671982061.699398,395555,61374,1,SA,1,100,0.000073
1671982062.300191,396142,61475,1,SA,1,100,0.000087
1671982062.963418,396790,61589,1,SA,1,100,0.000202
1671982063.692149,397502,61688,1,SA,1,100,0.000056
1671982064.361517,398156,61801,1,SA,1,100,0.000087
1671982064.695178,398482,61852,1,SA,1,100,0.000073
1671982065.157799,398934,61916,1,SA,1,100,0.000126
1671982065.754498,399517,62016,1,SA,1,100,0.000081
1671982066.619355,400362,62121,1,SA,1,100,0.000091
1671982066.819960,400558,62155,1,SA,1,100,0.000119
1671982067.354227,401080,62236,1,SA,1,100,0.000053
1671982067.552785,401274,62304,1,SA,1,100,0.000208
1671982068.149485,401857,62370,1,SA,1,100,0.000099
1671982068.813735,402506,62484,1,SA,1,100,0.000212
1671982069.281474,402963,62548,1,SA,1,100,0.000081
1671982069.681662,403354,62600,1,SA,1,100,0.000043
1671982070.080827,403744,62712,1,SA,1,100,0.000202
1671982070.749171,404397,62764,1,SA,1,100,0.000018
1671982070.946706,404590,62799,1,SA,1,100,0.000043
1671982071.746058,405371,62935,1,SA,1,100,0.000082
1671982072.081766,405699,62983,1,SA,1,100,0.000029
1671982072.879071,406478,63161,1,SA,1,100,0.000239
1671982073.475771,407061,63197,1,SA,1,100,0.000068
1671982074.009013,407582,63277,1,SA,1,100,0.000047
1671982074.473682,408036,63360,1,SA,1,100,0.000083
1671982074.805295,408360,63394,1,SA,1,100,0.000094
1671982075.004878,408555,63426,1,SA,1,100,0.000112
1671982075.467499,409007,63508,1,SA,1,100,0.000072
1671982075.734632,409268,63543,1,SA,1,100,0.000072
1671982075.994601,409522,63578,1,SA,1,100,0.000173
1671982076.865598,410373,63684,1,SA,1,100,0.000033
