LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SF
1671981902.806382,240310.000,36595,1,SF,1,100,115.9060
1671981903.205546,240700.000,36663,1,SF,1,100,116.6474
1671981903.537160,241024.000,36710,1,SF,1,100,115.2980
1671981903.872867,241352.000,36747,1,SF,1,100,113.9642
1671981904.204481,241676.000,36798,1,SF,1,100,114.7281
1671981904.472637,241938.000,36847,1,SF,1,100,115.4832
1671981904.804251,242262.000,36896,1,SF,1,100,114.1473
1671981905.205462,242654.000,36960,1,SF,1,100,112.8268
1671981905.537076,242978.000,37008,1,SF,1,100,113.6039
1671981905.802162,243237.000,37058,1,SF,1,100,114.3720
1671981906.133775,243561.000,37110,1,SF,1,100,117.2134
1671981906.465389,243885.000,37161,1,SF,1,100,117.9397
1671981906.864553,244275.000,37225,1,SF,1,100,116.5754
1671981907.198214,244601.000,37274,1,SF,1,100,117.3091
1671981907.464324,244861.000,37321,1,SF,1,100,115.9521
1671981907.797984,245187.000,37370,1,SF,1,100,116.6930
1671981908.131644,245513.000,37423,1,SF,1,100,117.4253
1671981908.527738,245900.000,37485,1,SF,1,100,116.0669
1671981908.863446,246228.000,37533,1,SF,1,100,114.7243
1671981909.128532,246487.000,37568,1,SF,1,100,113.3971
1671981909.530767,246880.000,37632,1,SF,1,100,114.1676
1671981909.796876,247140.000,37684,1,SF,1,100,114.9291
1671981910.126443,247462.000,37734,1,SF,1,100,115.6819
1671981910.459080,247787.000,37783,1,SF,1,100,116.4259
1671981910.857221,248176.000,37850,1,SF,1,100,117.1613
1671981911.192928,248504.000,37898,1,SF,1,100,115.8060
1671981911.456991,248762.000,37947,1,SF,1,100,116.5486
1671981911.792698,249090.000,37996,1,SF,1,100,117.2826
1671981912.124312,249414.000,38047,1,SF,1,100,115.9259
1671981912.525523,249806.000,38109,1,SF,1,100,114.5848
1671981912.857137,250130.000,38159,1,SF,1,100,115.3416
1671981913.122223,250389.000,38209,1,SF,1,100,114.0073
1671981913.453836,250713.000,38259,1,SF,1,100,116.8530
1671981913.786473,251038.000,38306,1,SF,1,100,115.5012
1671981914.187685,251430.000,38372,1,SF,1,100,116.2473
1671981914.454818,251691.000,38413,1,SF,1,100,116.9848
1671981914.788478,252017.000,38464,1,SF,1,100,119.7960
1671981915.188666,252408.000,38532,1,SF,1,100,120.4925
1671981915.524374,252736.000,38580,1,SF,1,100,121.1809
1671981915.789460,252995.000,38628,1,SF,1,100,119.7790
1671981916.124144,253322.000,38678,1,SF,1,100,120.4757
1671981916.521261,253710.000,38726,1,SF,1,100,119.0820
1671981916.791465,253974.000,38772,1,SF,1,100,117.7045
1671981917.123078,254298.000,38821,1,SF,1,100,116.3428
1671981917.454692,254622.000,38868,1,SF,1,100,114.9970
1671981917.852833,255011.000,38934,1,SF,1,100,115.7489
1671981918.183423,255334.000,38981,1,SF,1,100,114.4100
1671981918.453626,255598.000,39028,1,SF,1,100,113.0864
1671981918.783193,255920.000,39079,1,SF,1,100,115.9428
1671981919.183381,256311.000,39147,1,SF,1,100,116.6838
1671981919.584592,256703.000,39201,1,SF,1,100,115.3340
1671981919.784174,256898.000,39234,1,SF,1,100,116.0820
1671981920.115788,257222.000,39285,1,SF,1,100,116.8214
1671981920.513929,257611.000,39351,1,SF,1,100,119.6346
1671981920.844519,257934.000,39400,1,SF,1,100,118.2506
1671981921.112675,258196.000,39447,1,SF,1,100,116.8827
1671981921.446336,258522.000,39496,1,SF,1,100,117.6128
1671981921.779996,258848.000,39542,1,SF,1,100,116.2523
1671981922.179161,259238.000,39608,1,SF,1,100,116.9897
1671981922.444247,259497.000,39658,1,SF,1,100,117.7186
1671981922.778931,259824.000,39704,1,SF,1,100,116.3568
1671981923.110544,260148.000,39757,1,SF,1,100,117.0931
1671981923.512779,260541.000,39819,1,SF,1,100,115.7385
1671981923.843369,260864.000,39874,1,SF,1,100,118.5642
1671981924.112549,261127.000,39921,1,SF,1,100,117.1926
1671981924.444163,261451.000,39969,1,SF,1,100,117.9192
1671981924.841280,261839.000,40024,1,SF,1,100,116.5551
1671981925.107390,262099.000,40075,1,SF,1,100,117.2890
1671981925.437980,262422.000,40124,1,SF,1,100,118.0145
1671981925.774711,262751.000,40170,1,SF,1,100,116.6493
1671981926.175922,263143.000,40236,1,SF,1,100,117.3821
1671981926.442032,263403.000,40286,1,SF,1,100,116.0242
1671981926.775692,263729.000,40334,1,SF,1,100,116.7643
1671981927.107306,264053.000,40387,1,SF,1,100,117.4958
1671981927.505446,264442.000,40452,1,SF,1,100,118.2189
1671981927.841154,264770.000,40502,1,SF,1,100,118.9335
1671981928.105217,265028.000,40551,1,SF,1,100,119.6400
1671981928.440924,265356.000,40599,1,SF,1,100,120.3382
1671981928.772537,265680.000,40653,1,SF,1,100,123.1106
1671981929.173749,266072.000,40717,1,SF,1,100,121.6865
