LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,B%
1672213103.494040,53159.000,6638,1,B%,1,100,67
1672213104.493085,54135.000,6807,1,B%,1,100,66
1672213105.487012,55106.000,6960,1,B%,1,100,65
1672213106.489128,56085.000,7133,1,B%,1,100,65
1672213107.483055,57056.000,7287,1,B%,1,100,65
1672213108.484147,58034.000,7439,1,B%,1,100,65
1672213109.479098,59006.000,7592,1,B%,1,100,66
1672213110.472002,59976.000,7715,1,B%,1,100,65
1672213111.474118,60955.000,7870,1,B%,1,100,65
1672213112.474186,61932.000,8041,1,B%,1,100,65
1672213113.473231,62908.000,8210,1,B%,1,100,66
1672213114.468182,63880.000,8364,1,B%,1,100,66
1672213115.465180,64854.000,8532,1,B%,1,100,66
1672213116.467296,65833.000,8692,1,B%,1,100,64
1672213117.463270,66806.000,8862,1,B%,1,100,64
1672213118.462315,67782.000,9013,1,B%,1,100,65
1672213119.460337,68757.000,9184,1,B%,1,100,65
1672213120.459382,69733.000,9354,1,B%,1,100,65
1672213121.455356,70706.000,9513,1,B%,1,100,65
1672213122.453378,71681.000,9681,1,B%,1,100,64
1672213123.453447,72658.000,9833,1,B%,1,100,65
1672213124.450444,73632.000,10004,1,B%,1,100,65
1672213125.451537,74610.000,10174,1,B%,1,100,64
1672213126.448535,75584.000,10327,1,B%,1,100,64
1672213127.448604,76561.000,10502,1,B%,1,100,65
1672213128.446625,77536.000,10673,1,B%,1,100,64
1672213129.443623,78510.000,10825,1,B%,1,100,64
1672213130.442668,79486.000,10996,1,B%,1,100,65
1672213131.438643,80459.000,11149,1,B%,1,100,65
1672213132.441782,81439.000,11325,1,B%,1,100,65
1672213133.434685,82409.000,11477,1,B%,1,100,65
1672213134.428612,83380.000,11648,1,B%,1,100,65
1672213135.427658,84356.000,11817,1,B%,1,100,64
1672213136.422608,85328.000,11970,1,B%,1,100,64
1672213137.423701,86306.000,12148,1,B%,1,100,65
1672213138.421722,87281.000,12318,1,B%,1,100,64
1672213139.419744,88256.000,12468,1,B%,1,100,64
1672213140.421860,89235.000,12639,1,B%,1,100,64
1672213141.416811,90207.000,12808,1,B%,1,100,63
1672213142.419950,91187.000,12968,1,B%,1,100,64
1672213143.423090,92167.000,13122,1,B%,1,100,64
1672213144.421111,93142.000,13293,1,B%,1,100,64
1672213145.421180,94119.000,13463,1,B%,1,100,64
1672213146.421249,95096.000,13616,1,B%,1,100,65
1672213147.417223,96069.000,13788,1,B%,1,100,65
1672213148.412174,97041.000,13948,1,B%,1,100,64
1672213149.410195,98016.000,14117,1,B%,1,100,64
1672213150.410264,98993.000,14269,1,B%,1,100,64
1672213151.414427,99974.000,14440,1,B%,1,100,64
1672213152.412449,100949.000,14610,1,B%,1,100,64
1672213153.406376,101920.000,14771,1,B%,1,100,64
1672213154.406445,102897.000,14921,1,B%,1,100,64
1672213155.405490,103873.000,15092,1,B%,1,100,65
1672213156.409653,104854.000,15262,1,B%,1,100,64
1672213157.408698,105830.000,15415,1,B%,1,100,64
1672213158.401601,106800.000,15576,1,B%,1,100,64
1672213159.401670,107777.000,15747,1,B%,1,100,64
1672213160.395597,108748.000,15917,1,B%,1,100,64
1672213161.394642,109724.000,16069,1,B%,1,100,64
1672213162.393687,110700.000,16240,1,B%,1,100,64
1672213163.389662,111673.000,16398,1,B%,1,100,65
1672213164.387683,112648.000,16569,1,B%,1,100,65
1672213165.381610,113619.000,16721,1,B%,1,100,64
1672213166.383726,114598.000,16890,1,B%,1,100,64
1672213167.381748,115573.000,17059,1,B%,1,100,65
1672213168.378746,116547.000,17212,1,B%,1,100,64
1672213169.380862,117526.000,17388,1,B%,1,100,64
1672213170.377860,118500.000,17540,1,B%,1,100,65
1672213171.377928,119477.000,17711,1,B%,1,100,65
1672213172.373903,120450.000,17879,1,B%,1,100,64
1672213173.369877,121423.000,18032,1,B%,1,100,65
1672213174.370970,122401.000,18208,1,B%,1,100,64
1672213175.366944,123374.000,18375,1,B%,1,100,65
1672213176.364965,124349.000,18527,1,B%,1,100,65
1672213177.361963,125323.000,18698,1,B%,1,100,65
1672213178.365103,126303.000,18852,1,B%,1,100,65
1672213179.363124,127278.000,19009,1,B%,1,100,65
1672213180.361146,128253.000,19179,1,B%,1,100,65
1672213181.359167,129228.000,19329,1,B%,1,100,64
1672213182.361283,130207.000,19498,1,B%,1,100,64
1672213183.364423,131187.000,19667,1,B%,1,100,64
1672213184.359374,132159.000,19827,1,B%,1,100,65
1672213185.357395,133134.000,19998,1,B%,1,100,63
1672213186.355417,134109.000,20150,1,B%,1,100,63
1672213187.349344,135080.000,20323,1,B%,1,100,64
1672213188.352483,136060.000,20491,1,B%,1,100,64
1672213189.350505,137035.000,20644,1,B%,1,100,64
