LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,DC
1672213103.317978,52987.000,6589,4,DC,2,100,EA
1672213103.317978,52987.000,6589,4,DC,2,100,1
1672213103.317978,52987.000,6589,4,DC,2,100,EL
1672213103.317978,52987.000,6589,4,DC,2,100,1
1672213103.344592,53013.000,6605,4,DC,2,100,EA
1672213103.371206,53039.000,6605,4,DC,2,100,2
1672213103.397820,53065.000,6605,4,DC,2,100,EL
1672213103.424434,53091.000,6605,4,DC,2,100,2
1672213103.450024,53116.000,6621,4,DC,2,100,EA
1672213103.475615,53141.000,6621,4,DC,2,100,1
1672213103.501205,53166.000,6621,4,DC,2,100,EL
1672213103.526795,53191.000,6621,4,DC,2,100,1
1672213103.552897,53216.500,6641,4,DC,2,100,EA
1672213103.579000,53242.000,6641,4,DC,2,100,2
1672213103.605102,53267.500,6641,4,DC,2,100,EL
1672213103.631204,53293.000,6641,4,DC,2,100,2
1672213103.656794,53318.000,6657,4,DC,2,100,EA
1672213103.682384,53343.000,6657,4,DC,2,100,2
1672213103.707975,53368.000,6657,4,DC,2,100,EL
1672213103.733565,53393.000,6657,4,DC,2,100,2
1672213103.759411,53418.250,6674,4,DC,2,100,EA
1672213103.785257,53443.500,6674,4,DC,2,100,1
1672213103.811104,53468.750,6674,4,DC,2,100,EL
1672213103.836950,53494.000,6674,4,DC,2,100,1
1672213103.863052,53519.500,6690,4,DC,2,100,EA
1672213103.889154,53545.000,6690,4,DC,2,100,2
1672213103.915256,53570.500,6690,4,DC,2,100,EL
1672213103.941358,53596.000,6690,4,DC,2,100,2
1672213103.966948,53621.000,6707,4,DC,2,100,EA
1672213103.992539,53646.000,6707,4,DC,2,100,1
1672213104.018129,53671.000,6707,4,DC,2,100,EL
1672213104.043719,53696.000,6707,4,DC,2,100,1
1672213104.069566,53721.250,6723,4,DC,2,100,EA
1672213104.095412,53746.500,6723,4,DC,2,100,2
1672213104.121258,53771.750,6723,4,DC,2,100,EL
1672213104.147104,53797.000,6723,4,DC,2,100,2
1672213104.172950,53822.250,6741,4,DC,2,100,EA
1672213104.198797,53847.500,6741,4,DC,2,100,1
1672213104.224643,53872.750,6741,4,DC,2,100,EL
1672213104.250489,53898.000,6741,4,DC,2,100,1
1672213104.276591,53923.500,6756,4,DC,2,100,EA
1672213104.302693,53949.000,6756,4,DC,2,100,2
1672213104.328795,53974.500,6756,4,DC,2,100,EL
1672213104.354897,54000.000,6756,4,DC,2,100,2
1672213104.380487,54025.000,6773,4,DC,2,100,EA
1672213104.406078,54050.000,6773,4,DC,2,100,1
1672213104.431668,54075.000,6773,4,DC,2,100,EL
1672213104.457258,54100.000,6773,4,DC,2,100,1
1672213104.483361,54125.500,6790,4,DC,2,100,EA
1672213104.509463,54151.000,6790,4,DC,2,100,2
1672213104.535565,54176.500,6790,4,DC,2,100,EL
1672213104.561667,54202.000,6790,4,DC,2,100,2
1672213104.587257,54227.000,6809,4,DC,2,100,EA
1672213104.612847,54252.000,6809,4,DC,2,100,2
1672213104.638438,54277.000,6809,4,DC,2,100,EL
1672213104.664028,54302.000,6809,4,DC,2,100,2
1672213104.689874,54327.250,6825,4,DC,2,100,EA
1672213104.715720,54352.500,6825,4,DC,2,100,1
1672213104.741567,54377.750,6825,4,DC,2,100,EL
1672213104.767413,54403.000,6825,4,DC,2,100,1
1672213104.794027,54429.000,6844,4,DC,2,100,EA
1672213104.820641,54455.000,6844,4,DC,2,100,2
1672213104.847255,54481.000,6844,4,DC,2,100,EL
1672213104.873868,54507.000,6844,4,DC,2,100,2
1672213104.898947,54531.500,6860,4,DC,2,100,EA
1672213104.924026,54556.000,6860,4,DC,2,100,1
1672213104.949104,54580.500,6860,4,DC,2,100,EL
1672213104.974182,54605.000,6860,4,DC,2,100,1
1672213105.000029,54630.250,6877,4,DC,2,100,EA
1672213105.025875,54655.500,6877,4,DC,2,100,2
1672213105.051721,54680.750,6877,4,DC,2,100,EL
1672213105.077567,54706.000,6877,4,DC,2,100,2
1672213105.103413,54731.250,6893,4,DC,2,100,EA
1672213105.129260,54756.500,6893,4,DC,2,100,1
1672213105.155106,54781.750,6893,4,DC,2,100,EL
1672213105.180952,54807.000,6893,4,DC,2,100,1
1672213105.207054,54832.500,6910,4,DC,2,100,EA
1672213105.233156,54858.000,6910,4,DC,2,100,2
1672213105.259258,54883.500,6910,4,DC,2,100,EL
1672213105.285360,54909.000,6910,4,DC,2,100,2
1672213105.310951,54934.000,6926,4,DC,2,100,EA
1672213105.336541,54959.000,6926,4,DC,2,100,2
1672213105.362131,54984.000,6926,4,DC,2,100,EL
1672213105.387722,55009.000,6926,4,DC,2,100,2
1672213105.413568,55034.250,6943,4,DC,2,100,EA
1672213105.439414,55059.500,6943,4,DC,2,100,1
1672213105.465260,55084.750,6943,4,DC,2,100,EL
1672213105.491106,55110.000,6943,4,DC,2,100,1
1672213105.517209,55135.500,6962,4,DC,2,100,EA
1672213105.543311,55161.000,6962,4,DC,2,100,2
1672213105.569413,55186.500,6962,4,DC,2,100,EL
1672213105.595515,55212.000,6962,4,DC,2,100,2
1672213105.621105,55237.000,6979,4,DC,2,100,EA
1672213105.646695,55262.000,6979,4,DC,2,100,1
1672213105.672286,55287.000,6979,4,DC,2,100,EL
1672213105.697876,55312.000,6979,4,DC,2,100,1
1672213105.739332,55352.500,6998,4,DC,2,100,EA
1672213105.780788,55393.000,6998,4,DC,2,100,3
1672213105.822245,55433.500,6998,4,DC,2,100,EL
1672213105.863701,55474.000,6998,4,DC,2,100,3
1672213105.889291,55499.000,7015,4,DC,2,100,EA
1672213105.914882,55524.000,7015,4,DC,2,100,1
1672213105.940472,55549.000,7015,4,DC,2,100,EL
1672213105.966062,55574.000,7015,4,DC,2,100,1
1672213105.991909,55599.250,7030,4,DC,2,100,EA
1672213106.017755,55624.500,7030,4,DC,2,100,2
1672213106.043601,55649.750,7030,4,DC,2,100,EL
1672213106.069447,55675.000,7030,4,DC,2,100,2
1672213106.095293,55700.250,7047,4,DC,2,100,EA
1672213106.121140,55725.500,7047,4,DC,2,100,1
1672213106.146986,55750.750,7047,4,DC,2,100,EL
1672213106.172832,55776.000,7047,4,DC,2,100,1
1672213106.198934,55801.500,7064,4,DC,2,100,EA
1672213106.225036,55827.000,7064,4,DC,2,100,2
1672213106.251138,55852.500,7064,4,DC,2,100,EL
1672213106.277240,55878.000,7064,4,DC,2,100,2
1672213106.302830,55903.000,7081,4,DC,2,100,EA
1672213106.328421,55928.000,7081,4,DC,2,100,1
1672213106.354011,55953.000,7081,4,DC,2,100,EL
1672213106.379601,55978.000,7081,4,DC,2,100,1
1672213106.405704,56003.500,7096,4,DC,2,100,EA
1672213106.431806,56029.000,7096,4,DC,2,100,2
1672213106.457908,56054.500,7096,4,DC,2,100,EL
1672213106.484010,56080.000,7096,4,DC,2,100,2
1672213106.510112,56105.500,7116,4,DC,2,100,EA
1672213106.536214,56131.000,7116,4,DC,2,100,1
1672213106.562316,56156.500,7116,4,DC,2,100,EL
1672213106.588418,56182.000,7116,4,DC,2,100,1
1672213106.621686,56214.500,7134,4,DC,2,100,EA
1672213106.654953,56247.000,7134,4,DC,2,100,3
1672213106.688221,56279.500,7134,4,DC,2,100,EL
1672213106.721488,56312.000,7134,4,DC,2,100,3
1672213106.747334,56337.250,7151,4,DC,2,100,EA
1672213106.773180,56362.500,7151,4,DC,2,100,1
1672213106.799026,56387.750,7151,4,DC,2,100,EL
1672213106.824872,56413.000,7151,4,DC,2,100,1
1672213106.850975,56438.500,7168,4,DC,2,100,EA
1672213106.877077,56464.000,7168,4,DC,2,100,2
1672213106.903179,56489.500,7168,4,DC,2,100,EL
1672213106.929281,56515.000,7168,4,DC,2,100,2
1672213106.954871,56540.000,7185,4,DC,2,100,EA
1672213106.980462,56565.000,7185,4,DC,2,100,1
1672213107.006052,56590.000,7185,4,DC,2,100,EL
1672213107.031642,56615.000,7185,4,DC,2,100,1
1672213107.057488,56640.250,7200,4,DC,2,100,EA
1672213107.083335,56665.500,7200,4,DC,2,100,2
1672213107.109181,56690.750,7200,4,DC,2,100,EL
1672213107.135027,56716.000,7200,4,DC,2,100,2
1672213107.160873,56741.250,7218,4,DC,2,100,EA
1672213107.186719,56766.500,7218,4,DC,2,100,1
1672213107.212566,56791.750,7218,4,DC,2,100,EL
