LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BI
1672411490.342183,24804,1784,1,BI,1,100,1600
1672411492.245495,26663,2090,1,BI,1,100,1880
1672411493.821179,28202,2345,1,BI,1,100,1560
1672411495.235098,29583,2565,1,BI,1,100,1400
1672411496.349032,30671,2738,1,BI,1,100,1120
1672411499.088818,33347,3164,1,BI,1,100,2720
1672411503.081780,37247,3811,1,BI,1,100,3960
1672411506.380581,40469,4352,1,BI,1,100,3280
1672411510.541453,44533,5015,1,BI,1,100,4120
1672411513.641630,47561,5525,1,BI,1,100,3080
1672411515.212195,49095,5777,1,BI,1,100,1560
1672411516.782760,50629,6033,1,BI,1,100,1560
1672411519.036224,52830,6390,1,BI,1,100,2240
1672411520.442975,54204,6629,1,BI,1,100,1400
1672411523.917876,57598,7150,1,BI,1,100,3440
1672411526.777452,60391,7599,1,BI,1,100,2840
1672411529.146609,62705,7960,1,BI,1,100,2360
1672411530.755056,64276,8219,1,BI,1,100,1600
1672411531.771726,65269,8368,1,BI,1,100,1000
1672411534.636420,68067,8832,1,BI,1,100,2840
1672411535.352082,68766,8947,1,BI,1,100,720
1672411537.219560,70590,9246,1,BI,1,100,1840
1672411539.111610,72438,9538,1,BI,1,100,1880
1672411540.028967,73334,9675,1,BI,1,100,920
1672411542.930520,76168,10129,1,BI,1,100,2880
1672411545.194222,78379,10489,1,BI,1,100,2240
1672411548.167443,81283,10960,1,BI,1,100,2960
1672411549.980658,83054,11241,1,BI,1,100,1800
1672411551.910589,84939,11534,1,BI,1,100,1920
1672411554.572564,87539,11965,1,BI,1,100,2640
1672411555.985459,88919,12168,1,BI,1,100,1400
1672411556.721597,89638,12286,1,BI,1,100,720
1672411559.089731,91951,12659,1,BI,1,100,2360
1672411560.419694,93250,12874,1,BI,1,100,1320
1672411566.265801,98960,13769,1,BI,1,100,5800
1672411567.194420,99867,13921,1,BI,1,100,920
1672411567.957179,100612,14033,1,BI,1,100,760
