LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TL
1672411492.151302,26571.000,2071,1,TL,1,100,2022-12-30_15-44-52-142302
1672411497.377987,31676.000,2875,1,TL,1,100,2022-12-30_15-44-52-285398
1672411497.428155,31725.000,2878,1,TL,1,100,2022-12-30_15-44-57-407284
1672411502.607744,36784.000,3723,1,TL,1,100,2022-12-30_15-44-57-464270
1672411502.643578,36819.000,3726,1,TL,1,100,2022-12-30_15-45-02-623715
1672411507.838525,41893.000,4572,1,TL,1,100,2022-12-30_15-45-02-729101
1672411507.872311,41926.000,4575,1,TL,1,100,2022-12-30_15-45-07-854150
1672411513.067257,47000.000,5419,1,TL,1,100,2022-12-30_15-45-07-953448
1672411513.090806,47023.000,5422,1,TL,1,100,2022-12-30_15-45-13-076433
1672411518.316467,52127.000,6287,1,TL,1,100,2022-12-30_15-45-13-233771
1672411523.546224,57235.000,7096,1,TL,1,100,2022-12-30_15-45-18-469794
1672411523.574891,57263.000,7098,1,TL,1,100,2022-12-30_15-45-18-502445
1672411523.633250,57320.000,7101,1,TL,1,100,2022-12-30_15-45-23-621342
1672411528.781100,62348.000,7905,1,TL,1,100,2022-12-30_15-45-23-721730
1672411528.855840,62421.000,7908,1,TL,1,100,2022-12-30_15-45-28-841892
1672411534.012904,67458.000,8726,1,TL,1,100,2022-12-30_15-45-28-895948
1672411534.089692,67533.000,8729,1,TL,1,100,2022-12-30_15-45-34-066428
1672411539.242661,72566.000,9558,1,TL,1,100,2022-12-30_15-45-34-126591
1672411539.311258,72633.000,9561,1,TL,1,100,2022-12-30_15-45-39-289323
1672411544.470370,77672.000,10371,1,TL,1,100,2022-12-30_15-45-39-345268
1672411544.528728,77729.000,10374,1,TL,1,100,2022-12-30_15-45-44-508660
1672411549.702174,82782.000,11187,1,TL,1,100,2022-12-30_15-45-44-559687
1672411549.751318,82830.000,11190,1,TL,1,100,2022-12-30_15-45-49-734755
1672411554.933979,87892.000,12015,1,TL,1,100,2022-12-30_15-45-49-827099
1672411554.973908,87931.000,12018,1,TL,1,100,2022-12-30_15-45-54-950230
1672411560.161688,92998.000,12819,1,TL,1,100,2022-12-30_15-45-55-056410
1672411560.201617,93037.000,12822,1,TL,1,100,2022-12-30_15-46-00-178949
1672411565.384277,98099.000,13631,1,TL,1,100,2022-12-30_15-46-00-280604
1672411565.406802,98121.000,13634,1,TL,1,100,2022-12-30_15-46-05-382280
1672411570.636559,103229.000,14456,1,TL,1,100,2022-12-30_15-46-05-462698
1672411570.659083,103251.000,14459,1,TL,1,100,2022-12-30_15-46-10-633383
1672411575.893959,108364.000,15258,1,TL,1,100,2022-12-30_15-46-10-724487
1672411575.973818,108442.000,15261,1,TL,1,100,2022-12-30_15-46-15-947394
1672411581.123716,113472.000,16076,1,TL,1,100,2022-12-30_15-46-16-009185
1672411581.202551,113549.000,16079,1,TL,1,100,2022-12-30_15-46-21-173198
1672411586.353472,118580.000,16897,1,TL,1,100,2022-12-30_15-46-21-264278
1672411586.422069,118647.000,16900,1,TL,1,100,2022-12-30_15-46-26-393337
1672411591.583229,123688.000,17719,1,TL,1,100,2022-12-30_15-46-26-450786
1672411591.650802,123754.000,17722,1,TL,1,100,2022-12-30_15-46-31-615283
1672411596.837558,128820.000,18526,1,TL,1,100,2022-12-30_15-46-31-678643
1672411596.872368,128854.000,18529,1,TL,1,100,2022-12-30_15-46-36-838731
1672411602.063219,133924.000,19290,1,TL,1,100,2022-12-30_15-46-36-941156
1672411607.309357,139048.000,20113,1,TL,1,100,2022-12-30_15-46-42-161256
1672411607.327786,139066.000,20115,1,TL,1,100,2022-12-30_15-46-42-207887
1672411607.413789,139150.000,20118,1,TL,1,100,2022-12-30_15-46-47-383953
1672411612.549352,144166.000,20950,1,TL,1,100,2022-12-30_15-46-47-441851
1672411612.631259,144246.000,20953,1,TL,1,100,2022-12-30_15-46-52-608213
1672411617.771942,149267.000,21772,1,TL,1,100,2022-12-30_15-46-52-659510
1672411617.858968,149352.000,21775,1,TL,1,100,2022-12-30_15-46-57-828805
1672411623.001699,154375.000,22601,1,TL,1,100,2022-12-30_15-46-57-885678
1672411623.025247,154398.000,22604,1,TL,1,100,2022-12-30_15-47-02-999334
1672411628.238622,159490.000,23425,1,TL,1,100,2022-12-30_15-47-03-053192
1672411628.309267,159559.000,23428,1,TL,1,100,2022-12-30_15-47-08-276192
1672411633.489880,164619.000,24246,1,TL,1,100,2022-12-30_15-47-08-370106
