RD,TS_received,TS_sent,AK,RoundTrip,
26553,26571,2022-12-30_15-44-52-142302,26575,18,
31682,31725,2022-12-30_15-44-57-407284,31728,43,
36789,36819,2022-12-30_15-45-02-623715,36823,30,
41898,41926,2022-12-30_15-45-07-854150,41928,28,
47003,47023,2022-12-30_15-45-13-076433,47026,20,
52131,57235,2022-12-30_15-45-18-469794,57248,5104,
57268,57320,2022-12-30_15-45-23-621342,57324,52,
62354,62421,2022-12-30_15-45-28-841892,62424,67,
67463,67533,2022-12-30_15-45-34-066428,67536,70,
72571,72633,2022-12-30_15-45-39-289323,72637,62,
77678,77729,2022-12-30_15-45-44-508660,77732,51,
82787,82830,2022-12-30_15-45-49-734755,82835,43,
87897,87931,2022-12-30_15-45-54-950230,87934,34,
93003,93037,2022-12-30_15-46-00-178949,93039,34,
98102,98121,2022-12-30_15-46-05-382280,98129,19,
103232,103251,2022-12-30_15-46-10-633383,103254,19,
108370,108442,2022-12-30_15-46-15-947394,108445,72,
113478,113549,2022-12-30_15-46-21-173198,113556,71,
118586,118647,2022-12-30_15-46-26-393337,118649,61,
123694,123754,2022-12-30_15-46-31-615283,123757,60,
128825,128854,2022-12-30_15-46-36-838731,128857,29,
133928,139048,2022-12-30_15-46-42-161256,139056,5120,
139072,139150,2022-12-30_15-46-47-383953,139153,78,
144171,144246,2022-12-30_15-46-52-608213,144249,75,
149271,149352,2022-12-30_15-46-57-828805,149355,81,
154378,154398,2022-12-30_15-47-02-999334,154402,20,
159495,159559,2022-12-30_15-47-08-276192,159564,64,
164625,164652,2022-12-30_15-47-13-495787,164654,27,
169776,169796,2022-12-30_15-47-18-754595,169799,20,
174929,174963,2022-12-30_15-47-24-044433,174966,34,
180036,180062,2022-12-30_15-47-29-263250,180065,26,
185169,185194,2022-12-30_15-47-34-511595,185197,25,
190279,190299,2022-12-30_15-47-39-742778,190302,20,
195392,195469,2022-12-30_15-47-45-035253,195471,77,
200494,200565,2022-12-30_15-47-50-258134,200568,71,
205617,210758,2022-12-30_15-47-55-748809,210766,5141,
210782,215901,2022-12-30_15-48-00-941471,215917,5119,
215938,215959,2022-12-30_15-48-06-027809,215962,21,
221007,221028,2022-12-30_15-48-11-215820,221031,21,
226133,226173,2022-12-30_15-48-16-477035,226178,40,
231240,231263,2022-12-30_15-48-21-688703,231266,23,
236369,236476,2022-12-30_15-48-27-021289,241499,107,
241521,241579,2022-12-30_15-48-32-244585,241584,58,
246606,246680,2022-12-30_15-48-37-464983,246683,74,
251732,251793,2022-12-30_15-48-42-691147,251799,61,
256860,256901,2022-12-30_15-48-47-912682,256906,41,
261983,0,,267128,-261983,
267150,267196,2022-12-30_15-48-58-460100,267201,46,
272241,272270,2022-12-30_15-49-03-671831,272273,29,
277377,277396,2022-12-30_15-49-08-908790,277399,19,
282501,282520,2022-12-30_15-49-14-157417,282523,19,
287609,287630,2022-12-30_15-49-19-381420,287633,21,
292733,292807,2022-12-30_15-49-24-680982,292813,74,
297902,297994,2022-12-30_15-49-29-997018,297997,92,
303019,303040,2022-12-30_15-49-35-159327,303043,21,
308132,308207,2022-12-30_15-49-40-447195,308210,75,
313244,313304,2022-12-30_15-49-45-665521,313307,60,
318353,318403,2022-12-30_15-49-50-888155,318406,50,
323496,323515,2022-12-30_15-49-56-125624,323518,19,
328618,328638,2022-12-30_15-50-01-363705,328641,20,
333795,333815,2022-12-30_15-50-06-659947,333818,20,
338899,338918,2022-12-30_15-50-11-889047,338923,19,
344006,344026,2022-12-30_15-50-17-127103,344029,20,
349114,349133,2022-12-30_15-50-22-351648,349137,19,
354254,354312,2022-12-30_15-50-27-650869,354315,58,
359397,359418,2022-12-30_15-50-32-875049,359420,21,
364516,364543,2022-12-30_15-50-38-124041,364546,27,
369623,369643,2022-12-30_15-50-43-343052,369646,20,
374732,374752,2022-12-30_15-50-48-574929,374755,20,
379862,379916,2022-12-30_15-50-53-866690,379919,54,
385002,385021,2022-12-30_15-50-59-099652,385024,19,
390140,390160,2022-12-30_15-51-04-358533,390163,20,
395253,395273,2022-12-30_15-51-09-585610,395276,20,
400388,400412,2022-12-30_15-51-14-848452,400415,24,
405494,405518,2022-12-30_15-51-20-079228,405521,24,
410598,410713,2022-12-30_15-51-25-402691,415705,115,
415726,415816,2022-12-30_15-51-30-626062,415819,90,
420844,420864,2022-12-30_15-51-35-794103,420867,20,
425965,425986,2022-12-30_15-51-41-037317,425989,21,
431083,431124,2022-12-30_15-51-46-293323,431127,41,
436190,436225,2022-12-30_15-51-51-518314,436228,35,
441324,441422,2022-12-30_15-51-56-832059,441425,98,
446479,446538,2022-12-30_15-52-02-070999,446543,59,
451598,451629,2022-12-30_15-52-07-288714,451638,31,
456702,456724,2022-12-30_15-52-12-508511,456728,22,
461841,461860,2022-12-30_15-52-17-764915,461863,19,
467004,467031,2022-12-30_15-52-23-058579,467034,27,
472152,472238,2022-12-30_15-52-28-382387,472243,86,
477258,477326,2022-12-30_15-52-33-603355,477332,68,
482364,482431,2022-12-30_15-52-38-825400,482434,67,
487466,487488,2022-12-30_15-52-44-000766,487492,22,
492618,492643,2022-12-30_15-52-49-275750,492646,25,
497727,497833,2022-12-30_15-52-54-591761,502852,106,
502865,502883,2022-12-30_15-52-59-766992,502886,18,
507976,508027,2022-12-30_15-53-05-038219,508030,51,
513116,513138,2022-12-30_15-53-10-264739,513140,22,
518224,518250,2022-12-30_15-53-15-494891,518253,26,
523362,523431,2022-12-30_15-53-20-802425,523435,69,
528462,528540,2022-12-30_15-53-26-031833,528545,78,
533574,533594,2022-12-30_15-53-31-199955,533597,20,
538691,538733,2022-12-30_15-53-36-469023,538736,42,
543921,543941,2022-12-30_15-53-41-804979,543944,20,
549025,549143,2022-12-30_15-53-47-126824,554162,118,
554176,554240,2022-12-30_15-53-52-349347,554242,64,
559273,559293,2022-12-30_15-53-57-529184,559297,20,
564427,564447,2022-12-30_15-54-02-799245,564450,20,
569581,569600,2022-12-30_15-54-08-075348,569603,19,
574689,574743,2022-12-30_15-54-13-341753,574746,54,
579847,579867,2022-12-30_15-54-18-583847,579869,20,
584997,585057,2022-12-30_15-54-23-891036,585062,60,
590103,590153,2022-12-30_15-54-29-112347,590159,50,
595214,595259,2022-12-30_15-54-34-336977,595262,45,
600321,600358,2022-12-30_15-54-39-556836,600361,37,
605431,605450,2022-12-30_15-54-44-778597,605453,19,
610557,610583,2022-12-30_15-54-50-029349,610585,26,
615664,615752,2022-12-30_15-54-55-323242,615757,88,
620788,620808,2022-12-30_15-55-00-509241,620811,20,
625897,625917,2022-12-30_15-55-05-738077,625920,20,
631028,631048,2022-12-30_15-55-10-988972,631063,20,
636167,636187,2022-12-30_15-55-16-249846,636190,20,
641289,641362,2022-12-30_15-55-21-543813,641367,73,
646426,646464,2022-12-30_15-55-26-764857,646467,38,
651524,651561,2022-12-30_15-55-31-982696,651564,37,
656651,656671,2022-12-30_15-55-37-214678,656674,20,
661804,661877,2022-12-30_15-55-42-534468,661882,73,
666936,666974,2022-12-30_15-55-47-759315,666980,38,
672066,672085,2022-12-30_15-55-52-996868,672088,19,
677184,677205,2022-12-30_15-55-58-243682,677208,21,
682305,682365,2022-12-30_15-56-03-529506,682368,60,
687440,687460,2022-12-30_15-56-08-742576,687463,20,
692560,692579,2022-12-30_15-56-13-987397,692583,19,
697681,697702,2022-12-30_15-56-19-221227,697705,21,
702820,702877,2022-12-30_15-56-24-519254,702882,57,
707964,707986,2022-12-30_15-56-29-757043,707988,22,
713074,713095,2022-12-30_15-56-34-982067,713097,21,
718183,718203,2022-12-30_15-56-40-207945,718206,20,
723296,723315,2022-12-30_15-56-45-446064,723317,19,
728411,728491,2022-12-30_15-56-50-738090,728495,80,
733694,733787,2022-12-30_15-56-56-161768,733790,93,
738801,738822,2022-12-30_15-57-01-315566,738824,21,
743945,743985,2022-12-30_15-57-06-606604,743988,40,
