LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PG
1673992022.235373,16915.000,566,1,PG,1,100,13096
1673992022.275291,16954.000,580,2,PG,1,100,13093
1673992022.315208,16993.000,580,2,PG,1,100,13085
1673992022.355126,17032.000,595,3,PG,1,100,13084
1673992022.395043,17071.000,595,3,PG,1,100,13071
1673992022.434961,17110.000,595,3,PG,1,100,13062
1673992022.474878,17149.000,613,2,PG,1,100,13064
1673992022.514796,17188.000,613,2,PG,1,100,13069
1673992022.554372,17226.667,631,3,PG,1,100,13062
1673992022.593949,17265.333,631,3,PG,1,100,13060
1673992022.633525,17304.000,631,3,PG,1,100,13055
1673992022.673442,17343.000,646,3,PG,1,100,13049
1673992022.713360,17382.000,646,3,PG,1,100,13050
1673992022.753277,17421.000,646,3,PG,1,100,13043
1673992022.794218,17461.000,663,2,PG,1,100,13055
1673992022.835160,17501.000,663,2,PG,1,100,13046
1673992022.875077,17540.000,677,3,PG,1,100,13049
1673992022.914994,17579.000,677,3,PG,1,100,13055
1673992022.954912,17618.000,677,3,PG,1,100,13050
1673992022.994829,17657.000,693,2,PG,1,100,13055
1673992023.034747,17696.000,693,2,PG,1,100,13056
1673992023.074664,17735.000,709,3,PG,1,100,13061
1673992023.114582,17774.000,709,3,PG,1,100,13061
1673992023.154500,17813.000,709,3,PG,1,100,13039
1673992023.194417,17852.000,725,2,PG,1,100,13033
1673992023.234334,17891.000,725,2,PG,1,100,13019
1673992023.278346,17934.000,741,3,PG,1,100,13015
1673992023.322358,17977.000,741,3,PG,1,100,13008
1673992023.366369,18020.000,741,3,PG,1,100,12999
1673992023.406287,18059.000,757,2,PG,1,100,12995
1673992023.446204,18098.000,757,2,PG,1,100,12991
1673992023.485440,18136.333,775,3,PG,1,100,12983
1673992023.524675,18174.667,775,3,PG,1,100,12981
1673992023.563910,18213.000,775,3,PG,1,100,12978
1673992023.603827,18252.000,793,3,PG,1,100,12975
1673992023.643745,18291.000,793,3,PG,1,100,12973
