LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EM
1673995940.770137,1226227.000,60192,4,EM,1,100,RS
1673995940.770137,1226227.000,60192,4,EM,1,100,RB
1673995940.770137,1226227.000,60192,4,EM,1,100,2023-01-17_23-52-20-169724.csv
1673995940.770137,1226227.000,60192,4,EM,1,100,PS
1673995940.828487,1226284.000,60207,4,EM,1,100,RS
1673995940.886837,1226341.000,60207,4,EM,1,100,RB
1673995940.945186,1226398.000,60207,4,EM,1,100,2023-01-17_23-52-20-169724.csv
1673995941.003536,1226455.000,60207,4,EM,1,100,PS
1673995941.054976,1226505.250,60239,4,EM,1,100,RS
1673995941.106416,1226555.500,60239,4,EM,1,100,RB
1673995941.157856,1226605.750,60239,4,EM,1,100,2023-01-17_23-52-20-169724.csv
1673995941.209296,1226656.000,60239,4,EM,1,100,PS
1673995941.260736,1226706.250,60271,4,EM,1,100,RS
1673995941.312176,1226756.500,60271,4,EM,1,100,RB
1673995941.363615,1226806.750,60271,4,EM,1,100,2023-01-17_23-52-20-169724.csv
1673995941.415055,1226857.000,60271,4,EM,1,100,PS
1673995941.466751,1226907.500,60301,4,EM,1,100,RS
1673995941.518447,1226958.000,60301,4,EM,1,100,RB
1673995941.570143,1227008.500,60301,4,EM,1,100,2023-01-17_23-52-20-169724.csv
1673995941.621839,1227059.000,60301,4,EM,1,100,PS
1673995941.673023,1227109.000,60335,4,EM,1,100,RS
1673995941.724207,1227159.000,60335,4,EM,1,100,RB
1673995941.775391,1227209.000,60335,4,EM,1,100,2023-01-17_23-52-20-169724.csv
1673995941.826575,1227259.000,60335,4,EM,1,100,PS
1673995941.878015,1227309.250,60368,4,EM,1,100,RS
1673995941.929454,1227359.500,60368,4,EM,1,100,RB
1673995941.980894,1227409.750,60368,4,EM,1,100,2023-01-17_23-52-20-169724.csv
1673995942.032334,1227460.000,60368,4,EM,1,100,PS
1673995942.101433,1227527.500,60399,4,EM,1,100,RS
1673995942.170531,1227595.000,60399,4,EM,1,100,RB
1673995942.239630,1227662.500,60399,4,EM,1,100,2023-01-17_23-52-20-169724.csv
1673995942.308728,1227730.000,60399,4,EM,1,100,PS
1673995942.360424,1227780.500,60431,4,EM,1,100,RS
1673995942.412119,1227831.000,60431,4,EM,1,100,RB
1673995942.463815,1227881.500,60431,4,EM,1,100,2023-01-17_23-52-20-169724.csv
1673995942.515511,1227932.000,60431,4,EM,1,100,PS
1673995942.566695,1227982.000,60465,4,EM,1,100,RS
1673995942.617879,1228032.000,60465,4,EM,1,100,RB
1673995942.669063,1228082.000,60465,4,EM,1,100,2023-01-17_23-52-20-169724.csv
1673995942.720247,1228132.000,60465,4,EM,1,100,PS
1673995942.771687,1228182.250,60497,4,EM,1,100,RS
1673995942.823127,1228232.500,60497,4,EM,1,100,RB
1673995942.874567,1228282.750,60497,4,EM,1,100,2023-01-17_23-52-20-169724.csv
1673995942.926007,1228333.000,60497,4,EM,1,100,PS
1673995942.977447,1228383.250,60529,4,EM,1,100,RS
1673995943.028887,1228433.500,60529,4,EM,1,100,RB
1673995943.080327,1228483.750,60529,4,EM,1,100,2023-01-17_23-52-20-169724.csv
1673995943.131766,1228534.000,60529,4,EM,1,100,PS
1673995943.183206,1228584.250,60559,4,EM,1,100,RS
1673995943.234646,1228634.500,60559,4,EM,1,100,RB
1673995943.286086,1228684.750,60559,4,EM,1,100,2023-01-17_23-52-20-169724.csv
1673995943.337526,1228735.000,60559,4,EM,1,100,PS
1673995943.408928,1228804.750,60596,4,EM,1,100,RS
1673995943.480329,1228874.500,60596,4,EM,1,100,RB
1673995943.551731,1228944.250,60596,4,EM,1,100,2023-01-17_23-52-20-169724.csv
1673995943.623133,1229014.000,60596,4,EM,1,100,PS
1673995943.674573,1229064.250,60630,4,EM,1,100,RS
1673995943.726012,1229114.500,60630,4,EM,1,100,RB
1673995943.777452,1229164.750,60630,4,EM,1,100,2023-01-17_23-52-20-169724.csv
1673995943.828892,1229215.000,60630,4,EM,1,100,PS
1673995943.880332,1229265.250,60662,4,EM,1,100,RS
1673995943.931772,1229315.500,60662,4,EM,1,100,RB
1673995943.983212,1229365.750,60662,4,EM,1,100,2023-01-17_23-52-20-169724.csv
1673995944.034652,1229416.000,60662,4,EM,1,100,PS
1673995944.086092,1229466.250,60694,4,EM,1,100,RS
1673995944.137532,1229516.500,60694,4,EM,1,100,RB
1673995944.188972,1229566.750,60694,4,EM,1,100,2023-01-17_23-52-20-169724.csv
1673995944.240412,1229617.000,60694,4,EM,1,100,PS
1673995944.291852,1229667.250,60726,4,EM,1,100,RS
1673995944.343292,1229717.500,60726,4,EM,1,100,RB
1673995944.394732,1229767.750,60726,4,EM,1,100,2023-01-17_23-52-20-169724.csv
1673995944.446171,1229818.000,60726,4,EM,1,100,PS
1673995944.497611,1229868.250,60756,4,EM,1,100,RS
1673995944.549051,1229918.500,60756,4,EM,1,100,RB
1673995944.600491,1229968.750,60756,4,EM,1,100,2023-01-17_23-52-20-169724.csv
1673995944.651931,1230019.000,60756,4,EM,1,100,PS
1673995944.703371,1230069.250,60790,4,EM,1,100,RS
1673995944.754811,1230119.500,60790,4,EM,1,100,RB
1673995944.806251,1230169.750,60790,4,EM,1,100,2023-01-17_23-52-20-169724.csv
1673995944.857691,1230220.000,60790,4,EM,1,100,PS
1673995944.909131,1230270.250,60821,4,EM,1,100,RS
1673995944.960571,1230320.500,60821,4,EM,1,100,RB
1673995945.012010,1230370.750,60821,4,EM,1,100,2023-01-17_23-52-20-169724.csv
1673995945.063450,1230421.000,60821,4,EM,1,100,PS
1673995945.114890,1230471.250,60852,4,EM,1,100,RS
1673995945.166330,1230521.500,60852,4,EM,1,100,RB
1673995945.217770,1230571.750,60852,4,EM,1,100,2023-01-17_23-52-20-169724.csv
1673995945.269210,1230622.000,60852,4,EM,1,100,PS
1673995945.320650,1230672.250,60883,4,EM,1,100,RS
1673995945.372090,1230722.500,60883,4,EM,1,100,RB
1673995945.423530,1230772.750,60883,4,EM,1,100,2023-01-17_23-52-20-169724.csv
1673995945.474970,1230823.000,60883,4,EM,1,100,PS
1673995945.526410,1230873.250,60916,4,EM,1,100,RS
1673995945.577849,1230923.500,60916,4,EM,1,100,RB
1673995945.629289,1230973.750,60916,4,EM,1,100,2023-01-17_23-52-20-169724.csv
1673995945.680729,1231024.000,60916,4,EM,1,100,PS
1673995945.732169,1231074.250,60947,4,EM,1,100,RS
1673995945.783609,1231124.500,60947,4,EM,1,100,RB
1673995945.835049,1231174.750,60947,4,EM,1,100,2023-01-17_23-52-20-169724.csv
1673995945.886489,1231225.000,60947,4,EM,1,100,PS
1673995945.937929,1231275.250,60979,4,EM,1,100,RS
1673995945.989369,1231325.500,60979,4,EM,1,100,RB
1673995946.040809,1231375.750,60979,4,EM,1,100,2023-01-17_23-52-20-169724.csv
1673995946.092249,1231426.000,60979,4,EM,1,100,PS
1673995946.143688,1231476.250,61010,4,EM,1,100,RS
1673995946.195128,1231526.500,61010,4,EM,1,100,RB
1673995946.246568,1231576.750,61010,4,EM,1,100,2023-01-17_23-52-20-169724.csv
1673995946.298008,1231627.000,61010,4,EM,1,100,PS
1673995946.349448,1231677.250,61041,4,EM,1,100,RS
1673995946.400888,1231727.500,61041,4,EM,1,100,RB
1673995946.452328,1231777.750,61041,4,EM,1,100,2023-01-17_23-52-20-169724.csv
1673995946.503768,1231828.000,61041,4,EM,1,100,PS
1673995946.555208,1231878.250,61077,4,EM,1,100,RS
1673995946.606648,1231928.500,61077,4,EM,1,100,RB
1673995946.658088,1231978.750,61077,4,EM,1,100,2023-01-17_23-52-20-169724.csv
1673995946.709527,1232029.000,61077,4,EM,1,100,PS
1673995946.760967,1232079.250,61107,4,EM,1,100,RS
1673995946.812407,1232129.500,61107,4,EM,1,100,RB
1673995946.863847,1232179.750,61107,4,EM,1,100,2023-01-17_23-52-20-169724.csv
1673995946.915287,1232230.000,61107,4,EM,1,100,PS
1673995946.966727,1232280.250,61139,4,EM,1,100,RS
1673995947.018167,1232330.500,61139,4,EM,1,100,RB
1673995947.069607,1232380.750,61139,4,EM,1,100,2023-01-17_23-52-20-169724.csv
1673995947.121047,1232431.000,61139,4,EM,1,100,PS
1673995947.172999,1232481.750,61171,4,EM,1,100,RS
1673995947.224950,1232532.500,61171,4,EM,1,100,RB
1673995947.276902,1232583.250,61171,4,EM,1,100,2023-01-17_23-52-20-169724.csv
1673995947.328854,1232634.000,61171,4,EM,1,100,PS
1673995947.380294,1232684.250,61201,4,EM,1,100,RS
1673995947.431734,1232734.500,61201,4,EM,1,100,RB
1673995947.483174,1232784.750,61201,4,EM,1,100,2023-01-17_23-52-20-169724.csv
1673995947.534614,1232835.000,61201,4,EM,1,100,PS
1673995947.586053,1232885.250,61237,4,EM,1,100,RS
1673995947.637493,1232935.500,61237,4,EM,1,100,RB
1673995947.688933,1232985.750,61237,4,EM,1,100,2023-01-17_23-52-20-169724.csv
1673995947.740373,1233036.000,61237,4,EM,1,100,PS
1673995947.792581,1233087.000,61267,4,EM,1,100,RS
1673995947.844789,1233138.000,61267,4,EM,1,100,RB
1673995947.896996,1233189.000,61267,4,EM,1,100,2023-01-17_23-52-20-169724.csv
1673995947.949204,1233240.000,61267,4,EM,1,100,PS
1673995948.000644,1233290.250,61299,4,EM,1,100,RS
1673995948.052084,1233340.500,61299,4,EM,1,100,RB
1673995948.103523,1233390.750,61299,4,EM,1,100,2023-01-17_23-52-20-169724.csv
1673995948.154963,1233441.000,61299,4,EM,1,100,PS
1673995948.206403,1233491.250,61330,4,EM,1,100,RS
1673995948.257843,1233541.500,61330,4,EM,1,100,RB
1673995948.309283,1233591.750,61330,4,EM,1,100,2023-01-17_23-52-20-169724.csv
1673995948.360723,1233642.000,61330,4,EM,1,100,PS
1673995948.412163,1233692.250,61363,4,EM,1,100,RS
1673995948.463603,1233742.500,61363,4,EM,1,100,RB
1673995948.515043,1233792.750,61363,4,EM,1,100,2023-01-17_23-52-20-169724.csv
1673995948.566483,1233843.000,61363,4,EM,1,100,PS
1673995948.636349,1233911.250,61387,4,EM,1,100,RS
1673995948.706215,1233979.500,61387,4,EM,1,100,RB
1673995948.776081,1234047.750,61387,4,EM,1,100,2023-01-17_23-52-20-169724.csv
1673995948.845948,1234116.000,61387,4,EM,1,100,PS
1673995948.897387,1234166.250,61419,4,EM,1,100,RS
1673995948.948827,1234216.500,61419,4,EM,1,100,RB
1673995949.000267,1234266.750,61419,4,EM,1,100,2023-01-17_23-52-20-169724.csv
1673995949.051707,1234317.000,61419,4,EM,1,100,PS
1673995949.103147,1234367.250,61450,4,EM,1,100,RS
1673995949.154587,1234417.500,61450,4,EM,1,100,RB
1673995949.206027,1234467.750,61450,4,EM,1,100,2023-01-17_23-52-20-169724.csv
1673995949.257467,1234518.000,61450,4,EM,1,100,PS
1673995949.309930,1234569.250,61483,4,EM,1,100,RS
1673995949.362394,1234620.500,61483,4,EM,1,100,RB
1673995949.414858,1234671.750,61483,4,EM,1,100,2023-01-17_23-52-20-169724.csv
1673995949.467321,1234723.000,61483,4,EM,1,100,PS
1673995949.518505,1234773.000,61516,4,EM,1,100,RS
1673995949.569689,1234823.000,61516,4,EM,1,100,RB
1673995949.620873,1234873.000,61516,4,EM,1,100,2023-01-17_23-52-20-169724.csv
1673995949.672057,1234923.000,61516,4,EM,1,100,PS
1673995949.723497,1234973.250,61548,4,EM,1,100,RS
1673995949.774937,1235023.500,61548,4,EM,1,100,RB
1673995949.826377,1235073.750,61548,4,EM,1,100,2023-01-17_23-52-20-169724.csv
1673995949.877817,1235124.000,61548,4,EM,1,100,PS
1673995949.929257,1235174.250,61579,4,EM,1,100,RS
1673995949.980697,1235224.500,61579,4,EM,1,100,RB
1673995950.032136,1235274.750,61579,4,EM,1,100,2023-01-17_23-52-20-169724.csv
1673995950.083576,1235325.000,61579,4,EM,1,100,PS
1673995950.135016,1235375.250,61610,4,EM,1,100,RS
1673995950.186456,1235425.500,61610,4,EM,1,100,RB
1673995950.237896,1235475.750,61610,4,EM,1,100,2023-01-17_23-52-20-169724.csv
1673995950.289336,1235526.000,61610,4,EM,1,100,PS
1673995950.340776,1235576.250,61643,4,EM,1,100,RS
1673995950.392216,1235626.500,61643,4,EM,1,100,RB
1673995950.443656,1235676.750,61643,4,EM,1,100,2023-01-17_23-52-20-169724.csv
1673995950.495096,1235727.000,61643,4,EM,1,100,PS
1673995950.546535,1235777.250,61677,4,EM,1,100,RS
1673995950.597975,1235827.500,61677,4,EM,1,100,RB
1673995950.649415,1235877.750,61677,4,EM,1,100,2023-01-17_23-52-20-169724.csv
1673995950.700855,1235928.000,61677,4,EM,1,100,PS
1673995950.752295,1235978.250,61707,4,EM,1,100,RS
