LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PI
1673995940.862268,1226317.000,60193,4,PI,1,100,165455
1673995940.862268,1226317.000,60193,4,PI,1,100,165470
1673995940.862268,1226317.000,60193,4,PI,1,100,165473
1673995940.862268,1226317.000,60193,4,PI,1,100,165494
1673995940.901509,1226355.333,60209,3,PI,1,100,165527
1673995940.940750,1226393.667,60209,3,PI,1,100,165533
1673995940.979991,1226432.000,60209,3,PI,1,100,165472
1673995941.020938,1226472.000,60224,3,PI,1,100,165372
1673995941.061886,1226512.000,60224,3,PI,1,100,165311
1673995941.102833,1226552.000,60224,3,PI,1,100,165299
1673995941.142756,1226591.000,60240,2,PI,1,100,165315
1673995941.182680,1226630.000,60240,2,PI,1,100,165331
1673995941.222604,1226669.000,60256,3,PI,1,100,165351
1673995941.262527,1226708.000,60256,3,PI,1,100,165365
1673995941.302450,1226747.000,60256,3,PI,1,100,165355
1673995941.342374,1226786.000,60272,3,PI,1,100,165340
1673995941.382298,1226825.000,60272,3,PI,1,100,165348
1673995941.422221,1226864.000,60272,3,PI,1,100,165367
1673995941.462145,1226903.000,60287,2,PI,1,100,165381
1673995941.502068,1226942.000,60287,2,PI,1,100,165419
1673995941.541309,1226980.333,60303,3,PI,1,100,165441
1673995941.580550,1227018.667,60303,3,PI,1,100,165455
1673995941.619791,1227057.000,60303,3,PI,1,100,165476
1673995941.660738,1227097.000,60320,2,PI,1,100,165507
1673995941.701686,1227137.000,60320,2,PI,1,100,165521
1673995941.741950,1227176.333,60338,3,PI,1,100,165561
1673995941.782215,1227215.667,60338,3,PI,1,100,165598
1673995941.822480,1227255.000,60338,3,PI,1,100,165644
1673995941.862403,1227294.000,60353,3,PI,1,100,165665
1673995941.902327,1227333.000,60353,3,PI,1,100,165595
1673995941.942250,1227372.000,60353,3,PI,1,100,165486
1673995941.982174,1227411.000,60370,2,PI,1,100,165404
1673995942.022097,1227450.000,60370,2,PI,1,100,165383
1673995942.069187,1227496.000,60384,2,PI,1,100,165404
1673995942.116276,1227542.000,60384,2,PI,1,100,165409
1673995942.156456,1227581.250,60401,4,PI,1,100,165432
1673995942.196635,1227620.500,60401,4,PI,1,100,165436
1673995942.236814,1227659.750,60401,4,PI,1,100,165433
1673995942.276994,1227699.000,60401,4,PI,1,100,165439
1673995942.316235,1227737.333,60416,3,PI,1,100,165441
1673995942.355476,1227775.667,60416,3,PI,1,100,165471
1673995942.394717,1227814.000,60416,3,PI,1,100,165497
1673995942.434299,1227852.667,60432,3,PI,1,100,165528
1673995942.473881,1227891.333,60432,3,PI,1,100,165554
1673995942.513464,1227930.000,60432,3,PI,1,100,165534
1673995942.553387,1227969.000,60448,2,PI,1,100,165514
1673995942.593311,1228008.000,60448,2,PI,1,100,165503
1673995942.634258,1228048.000,60466,3,PI,1,100,165489
1673995942.675205,1228088.000,60466,3,PI,1,100,165513
1673995942.716152,1228128.000,60466,3,PI,1,100,165511
1673995942.756588,1228167.500,60482,2,PI,1,100,165556
1673995942.797023,1228207.000,60482,2,PI,1,100,165560
1673995942.836946,1228246.000,60498,3,PI,1,100,165537
1673995942.876870,1228285.000,60498,3,PI,1,100,165437
1673995942.916794,1228324.000,60498,3,PI,1,100,165224
1673995942.956035,1228362.333,60514,3,PI,1,100,165091
1673995942.995276,1228400.667,60514,3,PI,1,100,165034
1673995943.034517,1228439.000,60514,3,PI,1,100,164861
1673995943.073929,1228477.500,60530,2,PI,1,100,164832
1673995943.113340,1228516.000,60530,2,PI,1,100,164846
1673995943.153264,1228555.000,60544,3,PI,1,100,164843
1673995943.193187,1228594.000,60544,3,PI,1,100,164790
1673995943.233111,1228633.000,60544,3,PI,1,100,164745
1673995943.274058,1228673.000,60561,2,PI,1,100,164767
1673995943.315005,1228713.000,60561,2,PI,1,100,164789
1673995943.355611,1228752.667,60576,3,PI,1,100,164781
1673995943.396217,1228792.333,60576,3,PI,1,100,164816
1673995943.436823,1228832.000,60576,3,PI,1,100,164808
