LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PR
1673995940.862268,1226317.000,60194,4,PR,1,100,144531
1673995940.862268,1226317.000,60194,4,PR,1,100,144538
1673995940.862268,1226317.000,60194,4,PR,1,100,144540
1673995940.862268,1226317.000,60194,4,PR,1,100,144546
1673995940.901509,1226355.333,60210,3,PR,1,100,144564
1673995940.940750,1226393.667,60210,3,PR,1,100,144567
1673995940.979991,1226432.000,60210,3,PR,1,100,144532
1673995941.020938,1226472.000,60225,3,PR,1,100,144481
1673995941.061886,1226512.000,60225,3,PR,1,100,144474
1673995941.102833,1226552.000,60225,3,PR,1,100,144480
1673995941.142756,1226591.000,60241,2,PR,1,100,144481
1673995941.182680,1226630.000,60241,2,PR,1,100,144496
1673995941.222604,1226669.000,60257,3,PR,1,100,144505
1673995941.262527,1226708.000,60257,3,PR,1,100,144509
1673995941.302450,1226747.000,60257,3,PR,1,100,144512
1673995941.342374,1226786.000,60273,3,PR,1,100,144497
1673995941.382298,1226825.000,60273,3,PR,1,100,144505
1673995941.422221,1226864.000,60273,3,PR,1,100,144520
1673995941.462145,1226903.000,60288,2,PR,1,100,144526
1673995941.502068,1226942.000,60288,2,PR,1,100,144540
1673995941.541309,1226980.333,60304,3,PR,1,100,144540
1673995941.580550,1227018.667,60304,3,PR,1,100,144560
1673995941.619791,1227057.000,60304,3,PR,1,100,144574
1673995941.660738,1227097.000,60321,2,PR,1,100,144583
1673995941.701686,1227137.000,60321,2,PR,1,100,144595
1673995941.741950,1227176.333,60339,3,PR,1,100,144613
1673995941.782215,1227215.667,60339,3,PR,1,100,144627
1673995941.822480,1227255.000,60339,3,PR,1,100,144657
1673995941.862403,1227294.000,60354,3,PR,1,100,144653
1673995941.902327,1227333.000,60354,3,PR,1,100,144624
1673995941.942250,1227372.000,60354,3,PR,1,100,144578
1673995941.982174,1227411.000,60371,2,PR,1,100,144548
1673995942.022097,1227450.000,60371,2,PR,1,100,144546
1673995942.069187,1227496.000,60385,2,PR,1,100,144549
1673995942.116276,1227542.000,60385,2,PR,1,100,144562
1673995942.156456,1227581.250,60402,4,PR,1,100,144563
1673995942.196635,1227620.500,60402,4,PR,1,100,144576
1673995942.236814,1227659.750,60402,4,PR,1,100,144581
1673995942.276994,1227699.000,60402,4,PR,1,100,144578
1673995942.316235,1227737.333,60417,3,PR,1,100,144584
1673995942.355476,1227775.667,60417,3,PR,1,100,144594
1673995942.394717,1227814.000,60417,3,PR,1,100,144611
1673995942.434299,1227852.667,60433,3,PR,1,100,144627
1673995942.473881,1227891.333,60433,3,PR,1,100,144638
1673995942.513464,1227930.000,60433,3,PR,1,100,144626
1673995942.553387,1227969.000,60449,2,PR,1,100,144617
1673995942.593311,1228008.000,60449,2,PR,1,100,144620
1673995942.634258,1228048.000,60467,3,PR,1,100,144605
1673995942.675205,1228088.000,60467,3,PR,1,100,144614
1673995942.716152,1228128.000,60467,3,PR,1,100,144620
1673995942.756588,1228167.500,60483,2,PR,1,100,144648
1673995942.797023,1228207.000,60483,2,PR,1,100,144654
1673995942.836946,1228246.000,60499,3,PR,1,100,144646
1673995942.876870,1228285.000,60499,3,PR,1,100,144599
1673995942.916794,1228324.000,60499,3,PR,1,100,144489
1673995942.956035,1228362.333,60515,3,PR,1,100,144450
1673995942.995276,1228400.667,60515,3,PR,1,100,144418
1673995943.034517,1228439.000,60515,3,PR,1,100,144315
1673995943.073929,1228477.500,60531,2,PR,1,100,144313
1673995943.113340,1228516.000,60531,2,PR,1,100,144331
1673995943.153264,1228555.000,60545,3,PR,1,100,144322
1673995943.193187,1228594.000,60545,3,PR,1,100,144303
1673995943.233111,1228633.000,60545,3,PR,1,100,144270
1673995943.274058,1228673.000,60562,2,PR,1,100,144275
1673995943.315005,1228713.000,60562,2,PR,1,100,144280
1673995943.355611,1228752.667,60577,3,PR,1,100,144273
1673995943.396217,1228792.333,60577,3,PR,1,100,144272
1673995943.436823,1228832.000,60577,3,PR,1,100,144265
1673995943.480073,1228874.250,60599,4,PR,1,100,144259
1673995943.523324,1228916.500,60599,4,PR,1,100,144272
1673995943.566574,1228958.750,60599,4,PR,1,100,144262
1673995943.609825,1229001.000,60599,4,PR,1,100,144252
1673995943.649748,1229040.000,60616,3,PR,1,100,144243
1673995943.689672,1229079.000,60616,3,PR,1,100,144247
1673995943.729595,1229118.000,60616,3,PR,1,100,144244
1673995943.769519,1229157.000,60632,2,PR,1,100,144228
1673995943.809443,1229196.000,60632,2,PR,1,100,144235
1673995943.848684,1229234.333,60649,3,PR,1,100,144200
1673995943.887925,1229272.667,60649,3,PR,1,100,144129
1673995943.927166,1229311.000,60649,3,PR,1,100,144106
1673995943.967089,1229350.000,60665,2,PR,1,100,144082
1673995944.007013,1229389.000,60665,2,PR,1,100,144070
1673995944.046936,1229428.000,60680,3,PR,1,100,144050
1673995944.086860,1229467.000,60680,3,PR,1,100,144054
1673995944.126783,1229506.000,60680,3,PR,1,100,144057
1673995944.166707,1229545.000,60696,3,PR,1,100,144062
1673995944.206630,1229584.000,60696,3,PR,1,100,144095
1673995944.246554,1229623.000,60696,3,PR,1,100,144139
1673995944.286477,1229662.000,60712,2,PR,1,100,144186
1673995944.326401,1229701.000,60712,2,PR,1,100,144266
1673995944.365983,1229739.667,60728,3,PR,1,100,144291
1673995944.405566,1229778.333,60728,3,PR,1,100,144315
1673995944.445148,1229817.000,60728,3,PR,1,100,144342
1673995944.484047,1229855.000,60742,2,PR,1,100,144350
1673995944.522947,1229893.000,60742,2,PR,1,100,144385
1673995944.562871,1229932.000,60759,3,PR,1,100,144398
1673995944.602794,1229971.000,60759,3,PR,1,100,144410
1673995944.642718,1230010.000,60759,3,PR,1,100,144433
1673995944.682642,1230049.000,60776,3,PR,1,100,144452
1673995944.722565,1230088.000,60776,3,PR,1,100,144482
1673995944.762488,1230127.000,60776,3,PR,1,100,144489
1673995944.808554,1230172.000,60792,2,PR,1,100,144429
1673995944.854620,1230217.000,60792,2,PR,1,100,144411
1673995944.895055,1230256.500,60807,2,PR,1,100,144390
1673995944.935490,1230296.000,60807,2,PR,1,100,144406
1673995944.976438,1230336.000,60823,3,PR,1,100,144422
1673995945.017385,1230376.000,60823,3,PR,1,100,144438
1673995945.058332,1230416.000,60823,3,PR,1,100,144455
1673995945.098255,1230455.000,60838,3,PR,1,100,144431
1673995945.138179,1230494.000,60838,3,PR,1,100,144407
1673995945.178102,1230533.000,60838,3,PR,1,100,144392
1673995945.218026,1230572.000,60854,2,PR,1,100,144390
1673995945.257950,1230611.000,60854,2,PR,1,100,144406
1673995945.297191,1230649.333,60870,3,PR,1,100,144398
1673995945.336432,1230687.667,60870,3,PR,1,100,144397
1673995945.375673,1230726.000,60870,3,PR,1,100,144396
1673995945.416620,1230766.000,60885,2,PR,1,100,144387
1673995945.457567,1230806.000,60885,2,PR,1,100,144409
1673995945.497832,1230845.333,60900,3,PR,1,100,144396
1673995945.538096,1230884.667,60900,3,PR,1,100,144382
1673995945.578361,1230924.000,60900,3,PR,1,100,144375
1673995945.618285,1230963.000,60919,2,PR,1,100,144372
1673995945.658208,1231002.000,60919,2,PR,1,100,144378
1673995945.698132,1231041.000,60934,3,PR,1,100,144374
1673995945.738055,1231080.000,60934,3,PR,1,100,144342
1673995945.777979,1231119.000,60934,3,PR,1,100,144291
1673995945.817561,1231157.667,60949,3,PR,1,100,144265
1673995945.857143,1231196.333,60949,3,PR,1,100,144282
1673995945.896726,1231235.000,60949,3,PR,1,100,144302
1673995945.936137,1231273.500,60965,2,PR,1,100,144315
1673995945.975549,1231312.000,60965,2,PR,1,100,144354
1673995946.016496,1231352.000,60981,3,PR,1,100,144338
1673995946.057443,1231392.000,60981,3,PR,1,100,144345
1673995946.098391,1231432.000,60981,3,PR,1,100,144362
1673995946.138314,1231471.000,60996,2,PR,1,100,144350
1673995946.178238,1231510.000,60996,2,PR,1,100,144379
1673995946.222597,1231553.333,61013,3,PR,1,100,144383
1673995946.266957,1231596.667,61013,3,PR,1,100,144409
1673995946.311316,1231640.000,61013,3,PR,1,100,144432
1673995946.351240,1231679.000,61027,2,PR,1,100,144425
1673995946.391163,1231718.000,61027,2,PR,1,100,144436
1673995946.431087,1231757.000,61045,3,PR,1,100,144431
1673995946.471010,1231796.000,61045,3,PR,1,100,144439
1673995946.510934,1231835.000,61045,3,PR,1,100,144438
1673995946.550857,1231874.000,61061,2,PR,1,100,144442
1673995946.590781,1231913.000,61061,2,PR,1,100,144462
1673995946.630704,1231952.000,61079,3,PR,1,100,144459
1673995946.670628,1231991.000,61079,3,PR,1,100,144442
1673995946.710551,1232030.000,61079,3,PR,1,100,144389
1673995946.749792,1232068.333,61093,3,PR,1,100,144351
1673995946.789033,1232106.667,61093,3,PR,1,100,144340
1673995946.828274,1232145.000,61093,3,PR,1,100,144335
1673995946.868198,1232184.000,61110,3,PR,1,100,144342
1673995946.908121,1232223.000,61110,3,PR,1,100,144350
1673995946.948045,1232262.000,61110,3,PR,1,100,144359
1673995946.987968,1232301.000,61125,2,PR,1,100,144359
1673995947.027892,1232340.000,61125,2,PR,1,100,144357
1673995947.067816,1232379.000,61141,3,PR,1,100,144335
1673995947.107739,1232418.000,61141,3,PR,1,100,144353
1673995947.147663,1232457.000,61141,3,PR,1,100,144341
1673995947.187245,1232495.667,61157,3,PR,1,100,144341
1673995947.226827,1232534.333,61157,3,PR,1,100,144363
1673995947.266409,1232573.000,61157,3,PR,1,100,144373
1673995947.305650,1232611.333,61173,3,PR,1,100,144383
1673995947.344892,1232649.667,61173,3,PR,1,100,144385
1673995947.384133,1232688.000,61173,3,PR,1,100,144397
1673995947.423544,1232726.500,61187,2,PR,1,100,144398
1673995947.462956,1232765.000,61187,2,PR,1,100,144394
1673995947.502879,1232804.000,61205,3,PR,1,100,144400
1673995947.542803,1232843.000,61205,3,PR,1,100,144416
1673995947.582726,1232882.000,61205,3,PR,1,100,144396
1673995947.630328,1232928.500,61223,2,PR,1,100,144356
1673995947.677929,1232975.000,61223,2,PR,1,100,144319
1673995947.718876,1233015.000,61239,2,PR,1,100,144319
1673995947.759823,1233055.000,61239,2,PR,1,100,144313
1673995947.799747,1233094.000,61253,3,PR,1,100,144316
1673995947.839670,1233133.000,61253,3,PR,1,100,144322
1673995947.879594,1233172.000,61253,3,PR,1,100,144330
1673995947.919517,1233211.000,61270,3,PR,1,100,144323
1673995947.959441,1233250.000,61270,3,PR,1,100,144304
1673995947.999364,1233289.000,61270,3,PR,1,100,144311
1673995948.039288,1233328.000,61285,2,PR,1,100,144315
1673995948.079211,1233367.000,61285,2,PR,1,100,144312
1673995948.118793,1233405.667,61301,3,PR,1,100,144336
1673995948.158376,1233444.333,61301,3,PR,1,100,144336
1673995948.197958,1233483.000,61301,3,PR,1,100,144355
1673995948.237370,1233521.500,61317,2,PR,1,100,144369
1673995948.276781,1233560.000,61317,2,PR,1,100,144366
1673995948.317729,1233600.000,61332,3,PR,1,100,144369
1673995948.358676,1233640.000,61332,3,PR,1,100,144377
