LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,RD
1673995943.514623,1228908.000,60593,2,RD,1,100,TL
1673995943.514623,1228908.000,60593,2,RD,1,100,TU
1673995946.127566,1231460.500,61384,2,RD,1,100,TL
1673995948.740508,1234013.000,61384,2,RD,1,100,TU
1673995951.377508,1236589.000,62178,2,RD,1,100,TL
1673995954.014507,1239165.000,62178,2,RD,1,100,TU
1673995956.626938,1241717.000,62921,2,RD,1,100,TL
1673995959.239369,1244269.000,62921,2,RD,1,100,TU
1673995961.864596,1246833.500,63726,2,RD,1,100,TL
1673995964.489823,1249398.000,63726,2,RD,1,100,TU
1673995967.115050,1251962.500,64530,2,RD,1,100,TL
1673995969.740277,1254527.000,64530,2,RD,1,100,TU
1673995972.377788,1257103.500,65336,2,RD,1,100,TL
1673995975.015300,1259680.000,65336,2,RD,1,100,TU
1673995977.642574,1262246.500,604,2,RD,1,100,TL
1673995980.269848,1264813.000,604,2,RD,1,100,TU
1673995982.884327,1267367.000,1410,2,RD,1,100,TL
1673995985.498805,1269921.000,1410,2,RD,1,100,TU
1673995988.139899,1272501.000,2232,2,RD,1,100,TL
1673995990.780993,1275081.000,2232,2,RD,1,100,TU
1673995993.391889,1277631.500,3033,2,RD,1,100,TL
1673995996.002784,1280182.000,3033,2,RD,1,100,TU
1673995998.637736,1282756.000,3838,2,RD,1,100,TL
1673996001.272688,1285330.000,3838,2,RD,1,100,TU
1673996003.907640,1287904.000,4657,2,RD,1,100,TL
1673996006.542592,1290478.000,4657,2,RD,1,100,TU
1673996009.156047,1293031.000,5462,2,RD,1,100,TL
1673996011.769502,1295584.000,5462,2,RD,1,100,TU
1673996014.399335,1298153.000,6282,2,RD,1,100,TL
1673996017.029169,1300722.000,6282,2,RD,1,100,TU
1673996019.639041,1303271.500,7085,2,RD,1,100,TL
1673996022.248912,1305821.000,7085,2,RD,1,100,TU
1673996024.863391,1308375.000,7888,2,RD,1,100,TL
1673996027.477869,1310929.000,7888,2,RD,1,100,TU
1673996030.092860,1313483.500,8693,2,RD,1,100,TL
1673996032.707850,1316038.000,8693,2,RD,1,100,TU
1673996035.326423,1318596.000,9494,2,RD,1,100,TL
1673996037.944996,1321154.000,9494,2,RD,1,100,TU
1673996040.555380,1323704.000,10298,2,RD,1,100,TL
1673996043.165763,1326254.000,10298,2,RD,1,100,TU
1673996045.780241,1328808.000,11104,2,RD,1,100,TL
1673996048.394720,1331362.000,11104,2,RD,1,100,TU
1673996051.024554,1333931.000,11903,2,RD,1,100,TL
1673996053.654387,1336500.000,11903,2,RD,1,100,TU
1673996056.268354,1339053.500,12701,2,RD,1,100,TL
1673996058.882320,1341607.000,12701,2,RD,1,100,TU
1673996061.512154,1344176.000,13491,2,RD,1,100,TL
1673996064.141987,1346745.000,13491,2,RD,1,100,TU
1673996066.756466,1349299.000,14298,2,RD,1,100,TL
1673996069.370944,1351853.000,14298,2,RD,1,100,TU
1673996071.990541,1354412.000,15105,2,RD,1,100,TL
1673996074.610138,1356971.000,15105,2,RD,1,100,TU
1673996077.218986,1359519.500,15908,2,RD,1,100,TL
1673996079.827834,1362068.000,15908,2,RD,1,100,TU
1673996082.457156,1364636.500,16710,2,RD,1,100,TL
1673996085.086478,1367205.000,16710,2,RD,1,100,TU
1673996087.741391,1369798.500,17515,2,RD,1,100,TL
1673996090.396305,1372392.000,17515,2,RD,1,100,TU
1673996092.994405,1374930.000,18305,2,RD,1,100,TL
1673996095.592504,1377468.000,18305,2,RD,1,100,TU
1673996098.210053,1380025.000,19111,2,RD,1,100,TL
1673996100.827603,1382582.000,19111,2,RD,1,100,TU
1673996103.442081,1385136.000,19914,2,RD,1,100,TL
1673996106.056560,1387690.000,19914,2,RD,1,100,TU
1673996108.671038,1390244.000,20720,2,RD,1,100,TL
1673996111.285517,1392798.000,20720,2,RD,1,100,TU
1673996113.900507,1395352.500,21527,2,RD,1,100,TL
1673996116.515497,1397907.000,21527,2,RD,1,100,TU
1673996119.128440,1400459.500,22331,2,RD,1,100,TL
1673996121.741383,1403012.000,22331,2,RD,1,100,TU
1673996124.375311,1405585.000,23143,2,RD,1,100,TL
1673996127.009239,1408158.000,23143,2,RD,1,100,TU
1673996129.627812,1410716.000,23948,2,RD,1,100,TL
1673996132.246385,1413274.000,23948,2,RD,1,100,TU
1673996134.857793,1415825.000,24752,2,RD,1,100,TL
1673996137.469200,1418376.000,24752,2,RD,1,100,TU
1673996140.105176,1420951.000,25572,2,RD,1,100,TL
1673996142.741151,1423526.000,25572,2,RD,1,100,TU
1673996145.382757,1426106.500,26391,2,RD,1,100,TL
1673996148.024363,1428687.000,26391,2,RD,1,100,TU
1673996150.638330,1431240.500,27193,2,RD,1,100,TL
1673996153.252296,1433794.000,27193,2,RD,1,100,TU
1673996155.870869,1436352.000,27986,2,RD,1,100,TL
1673996158.489443,1438910.000,27986,2,RD,1,100,TU
1673996161.119276,1441479.000,28791,2,RD,1,100,TL
1673996163.749110,1444048.000,28791,2,RD,1,100,TU
1673996166.388156,1446626.000,29594,2,RD,1,100,TL
1673996169.027203,1449204.000,29594,2,RD,1,100,TU
1673996171.663179,1451779.000,30368,2,RD,1,100,TL
1673996174.299155,1454354.000,30368,2,RD,1,100,TU
1673996176.914656,1456909.000,31167,2,RD,1,100,TL
1673996179.530159,1459464.000,31167,2,RD,1,100,TU
1673996182.170741,1462043.500,31985,2,RD,1,100,TL
1673996184.811323,1464623.000,31985,2,RD,1,100,TU
1673996187.438086,1467189.000,32800,2,RD,1,100,TL
1673996190.064848,1469755.000,32800,2,RD,1,100,TU
1673996192.680862,1472310.500,33603,2,RD,1,100,TL
1673996195.296876,1474866.000,33603,2,RD,1,100,TU
1673996197.912378,1477421.000,34393,2,RD,1,100,TL
1673996200.527880,1479976.000,34393,2,RD,1,100,TU
1673996203.152083,1482539.500,35196,2,RD,1,100,TL
1673996205.776287,1485103.000,35196,2,RD,1,100,TU
1673996208.399978,1487666.000,36000,2,RD,1,100,TL
1673996211.023670,1490229.000,36000,2,RD,1,100,TU
1673996213.651456,1492796.000,36801,2,RD,1,100,TL
1673996216.279242,1495363.000,36801,2,RD,1,100,TU
1673996218.893721,1497917.000,37603,2,RD,1,100,TL
1673996221.508199,1500471.000,37603,2,RD,1,100,TU
1673996224.137521,1503039.500,38408,2,RD,1,100,TL
1673996226.766842,1505608.000,38408,2,RD,1,100,TU
1673996229.390022,1508170.500,39209,2,RD,1,100,TL
1673996232.013202,1510733.000,39209,2,RD,1,100,TU
1673996234.641500,1513300.500,40014,2,RD,1,100,TL
1673996237.269798,1515868.000,40014,2,RD,1,100,TU
1673996239.891442,1518429.000,40819,2,RD,1,100,TL
1673996242.513086,1520990.000,40819,2,RD,1,100,TU
1673996245.132683,1523549.000,41624,2,RD,1,100,TL
1673996247.752280,1526108.000,41624,2,RD,1,100,TU
1673996250.381090,1528676.000,42429,2,RD,1,100,TL
1673996253.009900,1531244.000,42429,2,RD,1,100,TU
1673996255.623354,1533797.000,43218,2,RD,1,100,TL
1673996258.236809,1536350.000,43218,2,RD,1,100,TU
1673996260.862036,1538914.500,44019,2,RD,1,100,TL
1673996263.487263,1541479.000,44019,2,RD,1,100,TU
1673996266.103789,1544035.000,44805,2,RD,1,100,TL
1673996268.720315,1546591.000,44805,2,RD,1,100,TU
1673996271.334281,1549144.500,45608,2,RD,1,100,TL
1673996273.948248,1551698.000,45608,2,RD,1,100,TU
1673996276.585247,1554274.000,46367,2,RD,1,100,TL
1673996279.222246,1556850.000,46367,2,RD,1,100,TU
1673996281.847473,1559414.500,47172,2,RD,1,100,TL
1673996284.472700,1561979.000,47172,2,RD,1,100,TU
1673996287.088714,1564534.500,47978,2,RD,1,100,TL
1673996289.704728,1567090.000,47978,2,RD,1,100,TU
1673996292.331491,1569656.000,48783,2,RD,1,100,TL
1673996294.958253,1572222.000,48783,2,RD,1,100,TU
1673996297.588087,1574791.000,49574,2,RD,1,100,TL
1673996300.217921,1577360.000,49574,2,RD,1,100,TU
1673996302.815508,1579897.500,50357,2,RD,1,100,TL
1673996305.413096,1582435.000,50357,2,RD,1,100,TU
1673996308.037299,1584998.500,51160,2,RD,1,100,TL
1673996310.661502,1587562.000,51160,2,RD,1,100,TU
1673996313.292360,1590132.000,51963,2,RD,1,100,TL
1673996315.923217,1592702.000,51963,2,RD,1,100,TU
1673996318.547420,1595265.500,52768,2,RD,1,100,TL
1673996321.171624,1597829.000,52768,2,RD,1,100,TU
1673996323.796339,1600393.000,53570,2,RD,1,100,TL
1673996326.421054,1602957.000,53570,2,RD,1,100,TU
1673996329.103607,1605577.500,54373,2,RD,1,100,TL
1673996331.786160,1608198.000,54373,2,RD,1,100,TU
1673996334.408828,1610760.000,55176,2,RD,1,100,TL
1673996337.031496,1613322.000,55176,2,RD,1,100,TU
1673996339.655187,1615885.000,55976,2,RD,1,100,TL
1673996342.278879,1618448.000,55976,2,RD,1,100,TU
1673996344.907689,1621016.000,56779,2,RD,1,100,TL
1673996347.536499,1623584.000,56779,2,RD,1,100,TU
1673996350.158143,1626145.000,57581,2,RD,1,100,TL
1673996352.779787,1628706.000,57581,2,RD,1,100,TU
1673996355.404502,1631270.000,58386,2,RD,1,100,TL
1673996358.029217,1633834.000,58386,2,RD,1,100,TU
1673996360.649326,1636393.500,59190,2,RD,1,100,TL
1673996363.269435,1638953.000,59190,2,RD,1,100,TU
1673996365.896197,1641519.000,59993,2,RD,1,100,TL
1673996368.522960,1644085.000,59993,2,RD,1,100,TU
1673996371.135391,1646637.000,60782,2,RD,1,100,TL
1673996373.747822,1649189.000,60782,2,RD,1,100,TU
1673996376.359229,1651740.000,61575,2,RD,1,100,TL
1673996378.970636,1654291.000,61575,2,RD,1,100,TU
1673996381.653190,1656911.500,62348,2,RD,1,100,TL
1673996384.335743,1659532.000,62348,2,RD,1,100,TU
1673996386.949197,1662085.000,63124,2,RD,1,100,TL
1673996389.562652,1664638.000,63124,2,RD,1,100,TU
